{'短评内容': '性价比不错的宾馆！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很舒适的宾馆！适合商旅出行，周边交通也方便，餐饮购物都有，价格很亲民，来这里真是不错的选择，性价比高。', '短评打分': 5}
{'短评内容': '舒适整洁，交通方便。', '短评打分': 5}
{'短评内容': '其他啥都还凑合吧，就是前台服务员太他妈坑人了，房卡刷卡两次尽然开不了门，我就郁闷死了，本来好好的心情一下子给我搞的郁闷至极，', '短评打分': 4}
{'短评内容': '酒店干净整洁，前台服务和好，经济实惠。', '短评打分': 5}
{'短评内容': '整体还不错  就是离市区有点远', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '价格很实惠。', '短评打分': 4}
{'短评内容': '挺好的除了地方有点偏，别的都挺好', '短评打分': 3}
{'短评内容': '不错 性价比高！位置也好可以。', '短评打分': 3}
{'短评内容': '前台态度一点不好，问什么都感觉不知道似的。垃圾的一次入住', '短评打分': 3}
{'短评内容': '位置比较偏，吃饭出行也不算特别方便', '短评打分': 3}
{'短评内容': '基本对得起这个价格，周围吃饭买东西也还算方便，就是唯一不太满意的就是无线信号不太好。比较飘忽', '短评打分': 3}
{'短评内容': '还可以的????????????????', '短评打分': 5}
{'短评内容': '强烈推荐，除了有点远。什么都还可以！！！！！！！！！！', '短评打分': 5}
