{'短评内容': '各方面都还好吧，', '短评打分': 5}
{'短评内容': '还不错，', '短评打分': 5}
{'短评内容': '房间较小，设施设备都比较老，酒店里的食品有些都过期了。不过离火车站蛮近，赶时间的朋友可以选择入住，周边有个购物广场，买东西很方便', '短评打分': 4}
{'短评内容': '房间挺好。卫生干净。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间还不错，隔音不是很好。', '短评打分': 5}
{'短评内容': '不太入主流', '短评打分': 3}
{'短评内容': '经济实惠，房间干净。就是WiFi太差', '短评打分': 5}
{'短评内容': '火车太吵了  里面洗澡也没有关的  不舒服', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店设施陈旧，洗手池漏水一天无人修理，吊顶上老鼠打架，比敲鼓还响，不停的掉灰', '短评打分': 3}
{'短评内容': '服务态度好，设施比较陈旧，上网有点麻烦，不能用路由器，只能用酒店提供的IP。吃饭比较方便，旁边整条街都是火锅和炒菜。门口就很很多执勤的警察，非常安全。提供免费停车，如果能从新装修一下，会更好。', '短评打分': 5}
{'短评内容': '设施旧，服务好', '短评打分': 3}
