{'短评内容': '我订138元标间服务以及配套设施还不如80元的小店。', '短评打分': 3}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '环境不错，离火车站比较近，态度也很好，就是周围吃东西有点不方便，隔音效果不太好，总的来说还是很不错的', '短评打分': 5}
{'短评内容': ' 条件不错，服务态度也非常好，离火车站很近，下次还选他！', '短评打分': 3}
{'短评内容': '酒店还不错，地址稍微有点偏。我只是匆匆而过。', '短评打分': 5}
{'短评内容': '房间小，有异味，隔音差，空调象飞机，网络前台也说是坏的。', '短评打分': 3}
{'短评内容': '环境还可以，价位也不错，有家的感觉，服务态度也不错。', '短评打分': 5}
{'短评内容': '離火車站走路二十分鐘,偏僻,房間不乾靜,吃飯不方便晚上很少可逛性', '短评打分': 1}
{'短评内容': '环境还挺不错 地方是偏了一点点 价格也还过得去', '短评打分': 5}
{'短评内容': '还不错！就是离火车站有点远，周边买东西、吃饭不是很方便。', '短评打分': 5}
{'短评内容': '感觉还不错~~很舒服~~离火车站也很近~~价格也很实惠', '短评打分': 5}
{'短评内容': '还好 就是有些偏僻.........其他的还都好的', '短评打分': 5}
{'短评内容': '房间有异味，周围就餐不方便，去的时候在修路，地理位子也难找', '短评打分': 1}
{'短评内容': '卫生间有点小，其他还行，宾馆位置和其他宾馆不在紫阳路，感觉晚上独自走有点不安全', '短评打分': 5}
{'短评内容': '总体还好，离火车站不远。设施也行。就是我住的那间房没有窗，很闷。还有就是隔音不好。隔壁从凌晨三点把我吵醒了。一直到六点半。听动静好像是3P。你说叫人怎么受得了！！！！', '短评打分': 5}
{'短评内容': '酒店不错，值得一住，跟同价位的相比有他的优势。不错', '短评打分': 5}
{'短评内容': '价格低一点，但是没有窗户，卫生，热水都还可以，位置有点偏，周边就餐麻烦。', '短评打分': 5}
{'短评内容': '位置靠近火车站，但比较偏，不容易找到。条件一般，只是有电脑宽带这点还不错，其次价格适中。', '短评打分': 5}
{'短评内容': '不错，商务大床房床超大，热水也很大，电脑上网也很方便。推荐', '短评打分': 3}
{'短评内容': '房间设施还不错，但是房间里的插座少了，就两个，还有一个被电视占着呢\n我住的标准间，没有窗户很郁闷，房间有点小！卫生间感觉就像板房虽然看起来不错\n隔音效果很不好，左边房间听见别人看电视，右边房间听别人ML....', '短评打分': 5}
{'短评内容': '离车站比较近，很方便，就是房间里面没窗户，空气不好。', '短评打分': 5}
{'短评内容': '条件还不错  就是位置有点偏 第一次去不好找啊 ', '短评打分': 5}
{'短评内容': '房间硬件设施很齐全，床垫很软和，睡着舒服，房门很厚实，安全方面做的很到位，位置也还可以，走路10分钟就能到火车站，出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店是欧式的装修风格，看起来很豪华，大气，铺的是地毯和墙纸，感觉很华贵，设计的很好，房间里布置的很温馨，卫生条件很好，住着很放心', '短评打分': 5}
{'短评内容': '酒店在武昌火车站附近，出行比较方便，房间卫生条件很好，打扫的蛮干净，住着放心', '短评打分': 5}
{'短评内容': '价格相对较低，位置离火车站很近，但没去过武汉的人比较不容易找，到处修路，房子设施还不错，但有点异味和潮湿，特别好玩的是卫生间地板感觉下面是空的，很怪。服务一般。总之把它作为临时休息还可以。', '短评打分': 5}
{'短评内容': '虽然位置不太好找但是里面的装潢很舒服，尤其是床，特别软，床单被罩都很新很干净~住的很舒服，就是隔音太差啦~有待改进哦~', '短评打分': 5}
{'短评内容': '满意。', '短评打分': 5}
{'短评内容': '设施还不错。。隔音不太好。总的来说还行吧。。。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨的，很干净，安全性也很高，住的挺舒适挺放心的。', '短评打分': 5}
{'短评内容': '洗澡的时候水温一会儿热一会儿冷。', '短评打分': 5}
{'短评内容': '太垃圾的酒店了 太垃圾了 服务超级差  纯粹无语  而且位置非常偏  还不如去网吧包夜', '短评打分': 1}
{'短评内容': '酒店离火车挺近的，步行就能到达，赶火车还是比较方便的。', '短评打分': 5}
{'短评内容': '酒店大堂装修的很豪华，房间里很干净，床很舒适，感觉休息的很好。', '短评打分': 5}
{'短评内容': '总体来说还好。', '短评打分': 5}
{'短评内容': '隔音太差了！', '短评打分': 1}
