{'短评内容': '涵盖范围广泛的？', '短评打分': 5}
{'短评内容': '服务真的不敢恭维，感觉欠了前台服务员钱一样', '短评打分': 3}
{'短评内容': '卫生好，服务好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '早餐还行，就是卫生间窗户漏冷风。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '酒店可以不可以，住了就知道了哈。第一次京东预定酒店，看看就知道了哟。', '短评打分': 5}
{'短评内容': '房间设施还可以，早餐一般', '短评打分': 4}
{'短评内容': '酒店不错，属于高档型，房间有地毯，一次性刮胡刀。酒店自带餐厅，海鲜做的不错，主要是服务特别好，赞赞赞赞', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '前台效率低退房慢，房间有异味', '短评打分': 3}
{'短评内容': '清洁方便，体贴', '短评打分': 5}
{'短评内容': '第二次来了，不过护照不能入住，什么意思呢？', '短评打分': 5}
{'短评内容': '卫生环境及设施很好，位置交通也非常方便！', '短评打分': 5}
{'短评内容': '不错，位置很好也很干净。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '房间还是很好的，价格便宜，设施不算老，最主要的是干净！', '短评打分': 5}
{'短评内容': '很好??', '短评打分': 5}
{'短评内容': '很好??', '短评打分': 5}
{'短评内容': '一般，一般，非常一般，前台服务员服务态度不好！酒店楼层服务员居然还有开错房门的情况，房间面积小，洗手间也小，根本不配4星级，极其不推荐！！！', '短评打分': 1}
{'短评内容': '酒店很新，大堂很气派，应是为高档海鲜餐饮而配，所以房间很小，特别是大床房，后换改订双床的，就还行', '短评打分': 5}
{'短评内容': '服务很好 空间不错 总之价位合理 值得考虑入住', '短评打分': 5}
{'短评内容': '酒店非常棒！装修和酒店的设施都非常好！下次去沈阳还选择这个酒店！', '短评打分': 5}
{'短评内容': '环境不错，房间卫生干净，值得推荐，周边环境也不错，服务很好', '短评打分': 5}
{'短评内容': '距离太原街大概一公里，购物较方便。房间不大，但是装修的还可以，性价比较高。', '短评打分': 5}
{'短评内容': '相较标准大床房，房内空间大多了，住著不嫌窄小，也有配沙发，比较符合酒店应有的配置，其它就较新，感觉OK', '短评打分': 5}
{'短评内容': '酒店大厅气派豪华，但房间相比之下小的可怜，在不像书桌的横条板上办公搭上椅子就很难与床间没过道可走人了，你说这样的动线合适吗？住得太憋屈了，不值', '短评打分': 1}
{'短评内容': '很气派，房间也不错', '短评打分': 3}
{'短评内容': '房间大 电视大 床软软的 配套设施完善 服务周到 物超所值 入住绝对不后悔', '短评打分': 3}
{'短评内容': '非常不错，各方面都很满意，以后还会选择这里！', '短评打分': 5}
{'短评内容': '真的很干净哦~浴室很不错、 住着舒适位置也很好 离太原街不远、就是可能酒店开业时间不够长  偶尔打车回来司机不知道、  服务很周到！！！让我和闺蜜感觉下次来沈阳还要住在这里！', '短评打分': 5}
{'短评内容': '环境很好，值得入住！', '短评打分': 3}
{'短评内容': '不错，下次还回去住的 价格不贵，装修不错', '短评打分': 5}
{'短评内容': '不错，但房间隔音有点差，晚上可以听到隔壁房间的现场直播。建议如果是最好与异性同住，不然晚上睡不好觉的。', '短评打分': 5}
{'短评内容': '酒店不错 很合适 准五星的 感觉  唯一不好的 就是 早上十点他们会过来打扫卫生\n', '短评打分': 5}
{'短评内容': '酒店装修不错太长了，房间很好。但是前台结账时间，45分钟，太夸张了！', '短评打分': 5}
{'短评内容': '酒店较新，非常干净。房间有点小，没有沙发。', '短评打分': 5}
{'短评内容': '酒店环境不错，设备很新，离大使馆很近，下次还会入住。', '短评打分': 5}
{'短评内容': '总体还不错 环境很好 就是房间内部吃的种类少些 还有配套服务不是很好 ', '短评打分': 5}
{'短评内容': '酒店豪华单人间有点小，其他方面都还好…', '短评打分': 3}
{'短评内容': '酒店很不错。', '短评打分': 3}
{'短评内容': '酒店是新装修的，整体环境都不错，房间也很干净，价格偏高。', '短评打分': 5}
{'短评内容': '挺好的挺好的挺好的挺好的挺好的\n凑满20字老子容易么\n', '短评打分': 5}
{'短评内容': '房间装修的甲醛味太浓很刺鼻，屋里很热，中央空调控制器不好用，没法自己设定温度。晚上根本睡不好觉。', '短评打分': 1}
{'短评内容': '酒店是新开的  设备新   就是有点气味  空调开的很好  开窗户也不冷    早餐也还成   市中心 下次还会去', '短评打分': 5}
{'短评内容': '酒店是新装修的，整体环境都不错，房间也很干净，唯一就是早餐太简单了，离机场大巴总站很近，去机场很方便，值得入住。', '短评打分': 5}
{'短评内容': '新开的设施都很新，房间干净舒服，就是电梯有点晕，总体不错。这次又定了这', '短评打分': 5}
