{'descr': '位置比较偏 ，不是很好！', 'star': 4}
{'descr': '', 'star': 5}
{'descr': '不错，挺好的，早餐也还行', 'star': 5}
{'descr': '性价比很高', 'star': 5}
{'descr': '酒店在天山海世界附近，很干净安静，早餐不错，离雅思考点打的5分钟，很推荐。', 'star': 5}
{'descr': '房间不错，挺干净的!大家比较喜欢!', 'star': 5}
{'descr': '酒店还可以，就是居然在酒店门口停车还要收费，一晚上十几块钱，前台德服务员态度太差，居然不知道怎么收费，办完入住我问了一句早餐在哪，居然反问我订的这个含早餐吗，狗眼看人低吗？瞧不起客人还是瞧不起携程，差评', 'star': 4}
{'descr': '交通、环境、感觉程度各方面都还不错，出差很适合...........................', 'star': 5}
{'descr': '酒店还算可以吧，不过感觉不像四星。早餐还算丰富，不过由于是去跑马拉松，所以也没吃什么。', 'star': 4}
{'descr': '还不错，第一次住，服务员热情，早餐丰富！下次还会来住！唯一的遗憾就是电视机不好用！希望改进，谢谢！加油', 'star': 5}
{'descr': '11月12日正定参加正定马拉松，选了这家酒店。带着孩子去前台办入住，排了半天队，最后竟然给后来的人先办理，我质疑为什么出现这种情况，竟然找借口说别人早就来过，当我傻吗?作为服务行业从业者，承认自己工作中的错误有这么难吗?前台秩序一片混乱，这种业务能力配得上四星酒店吗?失望至极，再也不会来这个酒店。早知道石家庄雾霾严重，这次带着汉王霾表去的，房间里甲醛超标，想怀孕的人慎选。最后，想告诫服务员白娟，你', 'star': 3}
{'descr': '去的时候没有暖气，我就直接走了，钱打水漂了', 'star': 2}
{'descr': '环境好，，交通方便。。。。。。。', 'star': 5}
{'descr': '酒店的前台服务还好，房间也还可以，但是早餐太差，豆浆根本不叫豆浆', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '周围比较荒。', 'star': 4}
{'descr': ' 酒店较干净，但没有独立淋浴房，不太方便!', 'star': 3}
{'descr': '坏境只能说还可以，服务态度算不错的了，也比较干净，点餐的饺子特别好吃', 'star': 5}
{'descr': '第二次入住，比较安静！服务也不错!环境总体不错！', 'star': 5}
{'descr': '住过得酒店 实在太多。没见过这么糟糕的。 吹风机借不到。。。说借完了。。\n早餐。。8点半去了。。还不如不去。。。我这边有6张票。。。 绝对把渣滓堆在一起也不够6个人吃的。。。。。。冷， 大唐接待 你见过穿着 棉衣的么？ 11月初。。。。。', 'star': 1}
{'descr': '服务、环境都很好', 'star': 3}
