{'短评内容': '好，，，，，，，，', '短评打分': 5}
{'短评内容': '位置很好，服务态度很好', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '酒店位置离地铁非常近。', '短评打分': 5}
{'短评内容': '距离地铁很很近，很方便！', '短评打分': 5}
{'短评内容': '离地铁很近，周围吃的很多，房间也很安静', '短评打分': 5}
{'短评内容': '交通方便，房间干净', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '距离地铁口很近，前台服务很好，交通便利。下次来了还住。', '短评打分': 5}
{'短评内容': '房间味道很大，设施陈旧发霉，再也不住了', '短评打分': 1}
{'短评内容': '哈哈哈哈哈哈哈哈哈斤斤计较基金会', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '啊啊啊啊啊', '短评打分': 5}
{'短评内容': '来过几次了，挺满意的！', '短评打分': 5}
{'短评内容': '非常不错的一次旅行  住宿条件好', '短评打分': 5}
{'短评内容': '）hhhhhhhhhhh', '短评打分': 5}
{'短评内容': '给公婆订的。上次是自主大床房，这个是普通大床房，我订的时候看面积是比上次的小的，但是公婆说据这次和上次一样的房间。不知道什么原因。订的仓促，木有什么优惠。但是也算性价比还成吧。', '短评打分': 5}
{'短评内容': '给公公婆婆订的，据说房间还可以，我木有去。京东上比携程之类的便宜，当时还用了酒店满减券，价格很美丽。', '短评打分': 5}
{'短评内容': '离地铁非常近，就是房间水流太小了', '短评打分': 5}
{'短评内容': '酒店设施不好，隔音效果太差，半夜吵醒好几次，去前台验证订单的时候，酒店系统出了故障，让我等了一个小时，结果没有任何补助和优惠......', '短评打分': 3}
{'短评内容': '还是住的这个店，方便快捷，去办事也方便，出门10米不到就是地铁，没有再方便的了，周边吃饭购物都很方便，价格不贵', '短评打分': 5}
{'短评内容': '还不错的，性价比挺高的，超赞，位置好找，挨着地铁方便，周边饭店挺多，而且饭店饭菜价格不贵，适合生活，挺好的确实', '短评打分': 5}
{'短评内容': '联系住了几天、卫生不太好', '短评打分': 2}
{'短评内容': '最大卖点:地铁站口，方便极佳！除此之外无一优点，设施陈旧、还木有洗漱用品。最夸张的是:因为知道是夜班航班到达担心没有房间而提交了资金担保，结果去了地依然告诉我预定的房间没了，需要加30元弄成电脑房！！！携程，你的资金担保有个暖用啊！！！就算我不住，钱是打给你的，结果呢！！！失望，转移去哪儿好了', '短评打分': 3}
{'短评内容': '房间有异味，隔音效果一般', '短评打分': 3}
{'短评内容': '好得很真的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行 住了好几次了', '短评打分': 5}
