{'短评内容': '一般般，房间有味道', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '比较整洁干净，可能是部队招待所的原因吧！', '短评打分': 5}
{'短评内容': '                  还可以。                             ', '短评打分': 4}
{'短评内容': '环境好，装修好，内饰好', '短评打分': 5}
{'短评内容': '各方面还可以，只是床头没插座，不能充电玩手机•', '短评打分': 4}
{'短评内容': '各方面还可以，只是床头没插座，不能充电玩手机•', '短评打分': 4}
{'短评内容': '规划和风格各异好好过个哥哥过法国 v 个环境换个哥哥哥哥哥哥 v 哥哥 v 个广告', '短评打分': 5}
{'短评内容': '不错挺好，便宜，交通方便', '短评打分': 3}
{'短评内容': '烂，烂，烂，烂，简直就烂到不行。', '短评打分': 1}
{'短评内容': '不满意，环境比较差！', '短评打分': 1}
{'短评内容': '交通很方便，在市中心，就房间有点陈旧。', '短评打分': 3}
{'短评内容': '不想多说，一个字，差！非常的差！ 不信的可以来体验下被坑的感觉！', '短评打分': 1}
{'短评内容': '我们住的房间空气不好，太闷太臭，换了间房空气还是不好，晚上没睡好…', '短评打分': 3}
{'短评内容': '地理位置较好,很方便.', '短评打分': 3}
{'短评内容': '很好的，各方面都很好，但洗澡没有热水，这方面有点差。', '短评打分': 5}
{'短评内容': '＋热水太慢，靠路边有点吵，房间还是挺干净', '短评打分': 3}
{'短评内容': '一家老酒店了，设施需要更新了，服务和卫生做得还不错，价格上还算公道。', '短评打分': 3}
{'短评内容': '服务质量挺好，卫生不错，设施需要改进了。', '短评打分': 3}
{'短评内容': '设施老化了，服务态度挺好，价格上还算合理。', '短评打分': 3}
{'短评内容': '＋房间不错。', '短评打分': 3}
{'短评内容': '酒店位置挺好，周边交通挺便利的，内部环境有些老旧，卫生打扫的还不错，整体感觉还好。', '短评打分': 3}
{'短评内容': '    “三无酒店”-----无热水（热水器的水非常冷）、无一次性拖鞋、无空调。房间设施非常陈旧。', '短评打分': 1}
{'短评内容': '酒店周边环境很好，空气清新，房间有些老了，硬件比较齐全，卫生还好，其他都比较一般', '短评打分': 3}
{'短评内容': '酒店位置还可以，距离商业区走15分钟左右就到了，周边吃饭购物都很方便，新装修的房间还可以，隔音效果不错，卫生也还可以，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店价位比较经济实惠，服务员态度还可以，比较周到热情，卫生还可以，硬件有些陈旧，但较齐全，其他都很一般', '短评打分': 3}
