{'短评内容': '相当不错，而且离地铁口比较近，出行挺方便的。', '短评打分': 5}
{'短评内容': '不错的环境，不错的价格，卫生，便捷。不错的环境，不错的价格，卫生，便捷', '短评打分': 5}
{'短评内容': '还不错哦 000000000000000000000000000000000', '短评打分': 5}
{'短评内容': '不错，距离地铁站很近，到机场也比较方便。', '短评打分': 5}
{'短评内容': '不错，距离地铁站很近，到机场也比较方便。', '短评打分': 5}
{'短评内容': '还算不错   下次来还住这里   离车站也比较近   顶', '短评打分': 5}
{'短评内容': '服务态度，环境都不错。离机场近。下次有机会还可作为考虑对象。', '短评打分': 5}
{'短评内容': '都还行，前台姐姐态度不错。只是酒店感觉比较老了。去机场非常方便。', '短评打分': 5}
{'短评内容': ' 很近地铁站，地铁十号线出來步行五分钟就到，房间较小，设备简单但干净，这价钱住一两天还是值得的。', '短评打分': 3}
{'短评内容': '\n房间在同等价位的酒店里算是大的，设施也可以，挺干净\n房间在同等价位的酒店里算是大的，设施也可以，挺干净', '短评打分': 5}
{'短评内容': '十住宿条件一般，交通很方便，态度很多。', '短评打分': 3}
{'短评内容': '一直住这酒店，不错', '短评打分': 3}
{'短评内容': '不错，没觉得不干净，交通便利，挺方便的，酒店房间设施能满足一般需求。', '短评打分': 5}
{'短评内容': '环境说不上好，但交通便利，地铁站旁，性价比高。', '短评打分': 5}
{'短评内容': '   房间挺好的.我会再来.', '短评打分': 3}
{'短评内容': '酒店的位置很不错，出门5分钟就能做上10号地铁的，价格也合适', '短评打分': 5}
{'短评内容': '好，不错~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '舒适,总体不错.推荐入住.', '短评打分': 3}
{'短评内容': '环境还行就是不含早餐；169有点贵', '短评打分': 3}
{'短评内容': '很不错的宾馆。第二次预约了。服务态度也好。', '短评打分': 3}
{'短评内容': '交通方便，环境不错。', '短评打分': 3}
{'短评内容': '要去机场，提前一天入住，第二天10号线10来分钟就到机场了，旁边是动物园，位置将就，房间也还宽敞，不错', '短评打分': 5}
{'短评内容': '交通便利，环境优雅，前台服务好，就是没有见客房服务员、总体85分，', '短评打分': 5}
{'短评内容': '离机场和地铁都近，房间也感觉不错，沐浴的水有点小。', '短评打分': 5}
{'短评内容': '相当不错！下次还会住这，离动物园很近呀还有一号线，相当便利', '短评打分': 5}
{'短评内容': '酒店很干净.不错不错.', '短评打分': 3}
{'短评内容': '距离铁很近，周边环境一般，服务员很热情，房间干净整洁', '短评打分': 5}
{'短评内容': '当时本来订的别的酒店，可是冒着大热天找了半天也没找着，头上冒火呢，关键时刻这家酒店就在眼皮底下，然后当下决定立马改订这家~~~结果我的选择是对的哈哈，酒店非常不错，房间很亮，关键是离地铁站很久， 离上海动物园也近，步行几分钟就好了，楼下吃的也多，就是，好像房间没有吹风机', '短评打分': 5}
{'短评内容': '客房整洁，感觉比较舒服，但是相对来说，隔音效果比较差，数次被别人开门声打扰。', '短评打分': 5}
{'短评内容': '   位置好,距离地铁站100多米, 房间设施太旧,服务一般.', '短评打分': 5}
{'短评内容': '精心布置，环境上佳，精致典雅。大厅和走廊很有老上海滩的异国情调。', '短评打分': 5}
{'短评内容': '不错 去机场、动车站交通方便 去动物园方便', '短评打分': 5}
{'短评内容': '订了标准大床房，除了灯光有些暗，其它都不错。', '短评打分': 3}
{'短评内容': '很满意，装修很好，房间不会太小。这个价格很合算', '短评打分': 3}
{'短评内容': '酒店离虹桥机场很近.对赶早班飞机比较方便.酒店其他很一般.没什么特点。', '短评打分': 5}
{'短评内容': '离机场很近，还有早饭卖，房间比较干净，晚上也安静', '短评打分': 5}
