{'短评内容': '一般，交通便利，离市政府很近', '短评打分': 2}
{'短评内容': '服务员太懒了，卫生不打扫，日常用品都没有，差……', '短评打分': 2}
{'短评内容': '一般般吧，价格贵，和七天连锁酒店是一家，附近有其它酒店可选的', '短评打分': 2}
{'短评内容': '价格高了点，房间有气味，服务一般的，和七天连锁酒店是一家，周围交通便利吧', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '超级超级差，团购99也不算便宜了，房间连个水壶就没有，要了也没见送去，门口环境有图有真相，第一次入住以后再也不会住这个酒店了', '短评打分': 1}
{'短评内容': '还行，老地方，老酒店，老服务！', '短评打分': 3}
{'短评内容': '各方面还行，老地方，老酒店，老的服务！', '短评打分': 3}
{'短评内容': '特价房，挺值，环境挺好', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '环境好，设施齐全，舒适价格便宜！', '短评打分': 5}
{'短评内容': '房间很大，有窗户，符合快捷酒店的标准', '短评打分': 3}
{'短评内容': '不错不错  今天才想起来评论  明年再来  呵呵', '短评打分': 5}
{'短评内容': '挺不错的啊   物美价廉  呵呵  明天9月19-20又要来亳州住了', '短评打分': 5}
