{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '性价比一般，很小的房间，', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐比较简单，但米粉味道不错。房间设施良好。交通比较便利。有停车场。可能由于地铁施工，也许是窗户隔音效果不好，晚间噪音较大。长沙普遍实行洗漱用品有偿使用，注意自备或准备好银子。', '短评打分': 4}
{'短评内容': '真心不怎么样，酒店设施比较老旧，早餐厅还在装修，性价比不高.', '短评打分': 3}
{'短评内容': '房间不算大，但是还算比较整洁，由于临近街道，晚上有点吵闹。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间蛮大的，就是用的东西大概只有三星标准，相对来说还是可以的，只是来往电梯晚上的时候容易人员复杂，而且前台的接待偶尔很热心，偶尔就特别冷淡', '短评打分': 4}
{'短评内容': '位置很好，隔壁就是电影院和小吃店，在三一大道和车站北路交界的地方，只是酒店有娱乐会所…所以对环境要求高的慎入', '短评打分': 5}
{'短评内容': '还可以，不过可以更好', '短评打分': 4}
{'短评内容': '房间还好，对的起这个价格', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以吧，', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '车站附近，交通方便，卫生干净。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间很大，靠窗视野也不错…如果没带电脑，酒店没有公用电脑，附近也没网吧，这比较麻烦', '短评打分': 3}
{'短评内容': '设施陈旧了，要求不高可以住啊。附近不是很方便。', '短评打分': 1}
{'短评内容': '房間整體很不錯，大床很軟很舒服！', '短评打分': 3}
{'短评内容': '总的来说还可以  就是酒店用的纸巾好差  都感染过敏了  ', '短评打分': 5}
{'短评内容': '有大浴缸和舒服的床，干湿分离的卫浴，房间很不错。满意！', '短评打分': 3}
{'短评内容': '环境很好，服务态度也不错！。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住了一个星期，大床房稍小了点，床很高也舒适，房间略点，早餐一般，总的来说不错。', '短评打分': 5}
{'短评内容': '酒店在长沙北部的开福区，地处十字路口但不吵，酒店硬件条件较好，大床房间较小，不过一人住也够了，惊喜的是带小浴缸，不过龙头手柄掉', '短评打分': 3}
{'短评内容': '＋酒店很干净，设施也全，服务态度好，装修不错！', '短评打分': 3}
{'短评内容': '每次来长沙都住在这里 除了早餐比较简单外其他都还满意', '短评打分': 5}
{'短评内容': '还可以 已经住过很多次了 现在拖鞋等用品都要单独收费了 网络不理想', '短评打分': 5}
{'短评内容': '位置很好，离国防科大巨近，因为是去那边办事所以很方便。房间设施比较新，面积有点小，服务员都着迷彩服，这个。。。', '短评打分': 5}
{'短评内容': '旁边的世纪延年已经悄悄涨价到400多，相比之下，按五星级标准建造的天都竞争力更加凸显。', '短评打分': 5}
{'短评内容': '酒店房间内的设施还说的过去，早餐的质量太差了。', '短评打分': 1}
{'短评内容': '还好，比较舒适', '短评打分': 3}
{'短评内容': '硬件设施还未达到五星级标准   服务水平有待提高', '短评打分': 5}
{'短评内容': '会所形式的酒店，前台服务感觉还跟不上。之前去长沙基本会选择住在天都，但是就在天都旁边开了另外一家新酒店之后，两相比较，天都的接待以及价位就没有了竞争的优势。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '很好,干净,整洁,床很高,舒服,很精致的酒店,但没有什么娱乐项目.', '短评打分': 5}
{'短评内容': '新酒店还可以，就是大唐小了点，房间也小了一些，喜欢新酒店，所以订了，价格将来可能还要便宜点才行\n', '短评打分': 5}
{'短评内容': '好贵', '短评打分': 3}
{'短评内容': '新酒店还可以，就是大唐小了点，房间也小了一些，喜欢新酒店，所以订了，价格将来可能还要便宜点才行', '短评打分': 5}
