{'descr': '方便快捷地理位置优越', 'star': 5}
{'descr': '房间很大，服务不错，离繁华商圈很近，有停车场。', 'star': 5}
{'descr': '没吃早餐', 'star': 5}
{'descr': '都还可以过得去', 'star': 4}
{'descr': '在闹市区，环境不错，房间不是一般快捷的简单装饰，房间整体和卫生都比快捷酒店好。', 'star': 5}
{'descr': '不错的环境，干净整洁', 'star': 5}
{'descr': '还算不错！', 'star': 4}
{'descr': '住的挺舒服', 'star': 5}
{'descr': '偶尔会住', 'star': 4}
{'descr': '前台服务热情。', 'star': 5}
{'descr': '设施有点陈旧，服务还行，出行有些不方便', 'star': 4}
{'descr': '酒店比较老，不过免费洗浴！手机充电口不科学，我也挺倒霉房间的床头柜电源开关全坏！！！！', 'star': 3}
{'descr': '优点：交通便利，环境优雅，价格适中，干净卫生，能洗浴，赠送毛巾。缺点：服务态度较差，结账时必须审核账单，否则容易被多收钱，早餐品种单调', 'star': 4}
{'descr': '不错，性价比', 'star': 5}
{'descr': '前台姑娘脑子比较死板。在携程预订的房子要加一天非要让我打电话给携程客服，这是在别的酒店从没遇到过的事情，否则不能按携程给的价格。', 'star': 3}
{'descr': '也就是离办事地点近其他的也没什么亮点。', 'star': 3}
{'descr': '设施旧 房间味道大 就是洗浴中心 住了一晚就搬了', 'star': 1}
{'descr': '中规中矩的，设施较陈旧，服务凑合，离高考的学校很近。', 'star': 5}
{'descr': '中规中矩的，设施较陈旧，服务凑合，离高考的学校很近。', 'star': 5}
{'descr': '很不错,已经住了很多次了，下次还会住，就是希望折扣能再低一些', 'star': 5}
{'descr': '很不错,已经住了很多次了，下次还会住，就是希望折扣能再低一些', 'star': 5}
{'descr': '有蟑螂，卫浴设备相对陈旧。 \n其他的还可以\n地下停车场进出难度系数比较高，新手可以考虑不去', 'star': 1}
{'descr': '有蟑螂，卫浴设备相对陈旧。 \n其他的还可以\n地下停车场进出难度系数比较高，新手可以考虑不去', 'star': 1}
{'descr': '我已入住太原纺织宾馆感觉还可以', 'star': 3}
{'descr': '我已入住太原纺织宾馆感觉还可以', 'star': 3}
{'descr': '房间设施很差。对面的格林豪泰比它又便宜，又好。勉强住了一晚，就搬到对面了。', 'star': 1}
{'descr': '房间设施很差。对面的格林豪泰比它又便宜，又好。勉强住了一晚，就搬到对面了。', 'star': 1}
{'descr': '垃圾的很垃圾的很垃圾的很垃圾的很垃圾的很垃圾的很垃圾的很垃圾的很垃圾的很垃圾的很垃圾的很', 'star': 1}
