{'短评内容': '很好哦', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置好找 房间环境一般吧 显得很陈旧 风格没什么特点', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店位置好，离地铁站很近。挺方便的。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '非常不错的一家！连住了一个星期', '短评打分': 5}
{'短评内容': '没有窗户。不过也没太大关系。是中央空调不能调节温度。墙角处发霉。最主要的是住了一天我在房间里的时候接到两个诈骗电话，是房间里的座机响了我去接的，一个说我身份证怎么怎么的，一个说顺丰快递怎么怎么的，对于这个问题，我感觉是打电话的人知道我回房间了就打的，因为第一接就是我刚刚开门坐下，具体怎么知道的，想想就后怕。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '可以的，夜半还有小夜曲', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '国博有展会，竟然一路都订不上酒店，房间很小，将就睡一觉', '短评打分': 4}
{'短评内容': '酒店近地铁站，出行比较方便，设施少了点。', '短评打分': 4}
{'短评内容': '房间潮气味太重，装修好，管理差，卫生打扫不干净，', '短评打分': 2}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很好，环境很不错，服务也很好，交通方便，160元的标准间，三个人住也很划算，总之很满意，会介绍给朋友', '短评打分': 5}
{'短评内容': '这个价位住这样的房很值，满意', '短评打分': 3}
{'短评内容': '房间味道不好,', '短评打分': 3}
{'短评内容': '环境还不错，住了两次了，也方便', '短评打分': 3}
{'短评内容': '为了图便宜订了这个没有窗的房间，一直有味道不说，房间也小，住着很憋气……\n真的不如多花20住个有窗的房间！', '短评打分': 1}
{'短评内容': '临时住一晚还行，条件实在不怎么好，优点就只有位置好，除此之外一无是处', '短评打分': 1}
{'短评内容': '位置很好，房间也还算干净，性价比算不错的了，总体来说不错！', '短评打分': 5}
{'短评内容': '房间有点小环境一般般，没有什么特点。最最主要的是我住的很不爽。。。', '短评打分': 5}
{'短评内容': '很干净，离武昌火车站不远。5月28日下午的三楼服务员很热情，咨询她市内出行线路，介绍的非常细致，好员工！就是房间没窗户，闷！', '短评打分': 5}
{'短评内容': '入住两晚京汉之星感觉还可以。', '短评打分': 3}
{'短评内容': '环境不好，热水壶也是坏的！什么都是坏的！很不好！。。。。。。', '短评打分': 1}
{'短评内容': '酒店交通很便利，卫生条件还可以，临街的房间有点吵，建议入住者最好住不临街的房间哈', '短评打分': 5}
{'短评内容': '挺好的  再次入住 干净整齐  不错 不错', '短评打分': 5}
{'短评内容': '性价比还可以，房间不是很大，不足是没有窗户，透气性一般。', '短评打分': 5}
{'短评内容': '还不错，只不过硬件有点问题，网络很差!烧水壶也是坏的，不过卫生间很好，洗澡的设施都还不错@', '短评打分': 5}
{'短评内容': '半夜突然有电话打来。不知道是谁打的。吓人。\n早上还在房间里10点45.外面服务员来敲门，问退不退房，甚至听到有拿房卡开门的声音。还好关了门插销。不知道怎么还会有这样的服务。不知道假如我没有反锁住门，服务员是不是准备就这样进来了！！！\n但是设施卫生还可以。', '短评打分': 1}
{'短评内容': '房间还是比较干净的。布局大同小异。但是屋子里总有臭脚丫味儿~挥之不去！希望改进。', '短评打分': 5}
{'短评内容': '干净舒适，服务热情.对我们也都很照顾，整体印象还是非常不错的.', '短评打分': 5}
{'短评内容': '客房配置都挺不错的，不过临着电梯口，隔音不是很好，好在舒适度不错还是可以安然入睡.', '短评打分': 5}
{'短评内容': '环境还算是不错，服务也就是中等吧。就是洗澡水不是很舒服，卫生间的灯是坏的', '短评打分': 5}
{'短评内容': '舒适自然，通风采光都非常好，服务人员办事效率也很快.', '短评打分': 5}
{'短评内容': '客房干净整洁，而且客房通透性也非常好，住着感觉还可以.', '短评打分': 5}
{'短评内容': '还可以,通风设备效果不算好,卫生条件有待改善.其他信价比还是不错的.', '短评打分': 3}
{'短评内容': '在武汉火车站附近，出行挺方便的，而且配置设施也很齐全，使用方便.', '短评打分': 5}
{'短评内容': '京汉还蛮不错的。\n我向来对住的地方要求就是干净、整洁。总觉得这样会跟着让自己的心情变好。京汉房间虽然不是很大，但很干净，整洁。除了隔音不是很好（可能是因为我住楼梯附近），对其他的基本算是满意的。\n下次再有机会来武汉玩，应该还会选择这家。离火车站比较近，交通蛮方便的。', '短评打分': 5}
{'短评内容': '服务还可以，服务员办事效率较快，房间打扫的很干净，硬件设施一般，住宿条件还可以', '短评打分': 5}
{'短评内容': '房间比较通风，温度很适宜，空调效果很好，卫生条件不错，干净整洁，服务一般', '短评打分': 3}
