{'短评内容': '不错，位置很好，繁荣', '短评打分': 4}
{'短评内容': '还算蛮干净', '短评打分': 4}
{'短评内容': '有停车场，就是要十块钱', '短评打分': 5}
{'短评内容': '如家肯定好了！这个没得说的！', '短评打分': 5}
{'短评内容': '早餐没吃，出差人员，房间环境不错，床也干净', '短评打分': 4}
{'短评内容': '如家很干净，很整洁，服务热情周到，满意。唯一缺憾房间电视机太小了，二十几吋的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '這是入住如家連鎖酒店以來感覺最好的酒店了，服務衛生都很好，早餐是最實惠的一家了⋯⋯以後去還會住這裡', '短评打分': 5}
{'短评内容': '卫生可以，房间够大', '短评打分': 4}
{'短评内容': '电话也不可以打，然后网络也联不上，这就是所谓的如家酒店，还有房间里有味道！！！', '短评打分': 3}
{'短评内容': '非常不错的一家酒店，就是比较偏。不过三楼服务你值得体验', '短评打分': 5}
{'短评内容': '卫生差点！', '短评打分': 4}
{'短评内容': '无线网络一个字差', '短评打分': 5}
{'短评内容': '无线网络信号差差差', '短评打分': 5}
{'短评内容': '可以，方便！', '短评打分': 5}
{'短评内容': '房间不错就是无线网络信号差', '短评打分': 5}
{'短评内容': '前前后后住了几十天，个人还是比较满意。', '短评打分': 5}
