{'短评内容': '住过很多酒店 这个酒店很无语 无线网根本不好用 三楼保洁大妈 一叫打扫房间就拉着脸 而且根本没打扫 就换个垃圾袋 床褥走时什么样回来就是什么样 真无语 选择这个酒店可要慎重', '短评打分': 1}
{'短评内容': '这价位的房子也算很不错了，毕竟只是普通的商务宾馆，附近餐饮不少，算是吃什么方便，离火车站也不远，交通方便', '短评打分': 5}
{'短评内容': '酒店位置便利，有自己的停车场，虽然是国庆期间，但是停车毫无压力，周围饭店也挺多的，方便，主要还是酒店卫生很不错，新的被子，盖上去有一种淡淡的海藻味道，作为外地旅游者，突然感到这就是日照，海滨城市，酒店前台服务很周到，带着我们一块去看房间，看我们带了三个小孩子，主动说可以帮我们换三人间，同样的价格，这令我很感动，服务那么周到，还有什么理由不好评呢。', '短评打分': 5}
{'短评内容': '位置很好找，下了车就看到了，另外去灯塔景区步行十分钟路程，也方便，酒店服务也很好，好评！', '短评打分': 5}
{'短评内容': '插座数量太少 位置也不合适 其它一般 能住而已！', '短评打分': 3}
{'短评内容': '服务非常好。价格实惠。', '短评打分': 5}
{'短评内容': '无论环境和卫生都是和网上订时是一样的，非常不错，期待下次再来日照游玩', '短评打分': 5}
{'短评内容': '不怎么样，住的不舒服，真差劲！', '短评打分': 1}
{'短评内容': '离海边很近，去海边很方便，公交车也挺多，很方便！', '短评打分': 5}
{'短评内容': '有点儿像儿时的招待所！', '短评打分': 2}
{'短评内容': '设施太陈旧了！', '短评打分': 2}
{'短评内容': '该翻新一下了，有点儿旧！', '短评打分': 2}
{'短评内容': '档次不是很高，不过适合自己消费时入住，开店时间短，设施还算比较新！', '短评打分': 5}
