{'短评内容': '不错挺好，去机场很方便', '短评打分': 5}
{'短评内容': '不错的宾馆', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，早餐丰富。民航大巴停车点就在隔壁。去机场方便', '短评打分': 5}
{'短评内容': '每次都住在这里，出行很方便，环境好好，服务员态度不错，床品很干净，机场大巴就在门口，下次来还会住在这里。', '短评打分': 5}
{'短评内容': '服务一般，设施齐全', '短评打分': 4}
{'短评内容': '坐飞机挺方便', '短评打分': 4}
{'短评内容': '很不错的入住体验，虽然有一些设备故障，前台和服务员的态度和解决办法都很积极，可以值得去', '短评打分': 5}
{'短评内容': '就是机场大巴停靠站，很不错的入住体验，虽然有一些设备故障，前台和服务员的态度和解决办法都很积极，可以值得去', '短评打分': 5}
{'短评内容': '很不错的入住体验，虽然有一些设备故障，前台和服务员的态度和解决办法都很积极，可以值得去，下次再去还会定', '短评打分': 5}
{'短评内容': '很不错的入住体验，虽然有一些设备故障，前台和服务员的态度和解决办法都很积极，可以值得去', '短评打分': 5}
{'短评内容': '选这个宾馆只是因为方便，机场大巴就在楼下，一步都不用多走，去机场最早的大巴也只有这里才有，要赶早班飞机还真没有别的选择，房间中规中矩，和这个价位比起来只能说还可以，有早餐，不过睡过头了也没吃，看朋友发的照片似乎很一般。', '短评打分': 4}
{'短评内容': '服务好，环境干净整洁，下次还住这家酒店', '短评打分': 5}
{'短评内容': '酒店有些旧旧的，其他都好', '短评打分': 5}
{'短评内容': '总体还是可以的', '短评打分': 5}
{'短评内容': '不错经常住 床很软', '短评打分': 5}
{'短评内容': '5分\n请至少填写一件商品的评价', '短评打分': 5}
{'短评内容': '不错，门口就是机场大巴，就是房间有点小', '短评打分': 5}
{'短评内容': '很方便，服务不错', '短评打分': 4}
{'短评内容': '很放便，可以机场大巴接送，最贴心的一点可以免费借用当地公交卡用', '短评打分': 4}
{'短评内容': '干净方便', '短评打分': 4}
{'短评内容': '除了房間地毯有點髒，其他都很不錯。做為商務出差很不錯，門口就是酒店大巴，酒店對面的肉夾饃很好吃。下次出差沒意外還會住這，很棒的選擇', '短评打分': 5}
{'短评内容': '帮老人订的，坐机场巴士方便。不错。房间设施也满意。', '短评打分': 5}
{'短评内容': '位置佳。有机场巴士，很方便', '短评打分': 5}
{'短评内容': '大巴很方便，房间也挺好的', '短评打分': 5}
{'短评内容': '环境 服务很好～交通也很方便。是在市中心，离附近的城墙，钟楼，鼓楼，回民街等西安景区都很近的。主要的是机场大巴的始发站！', '短评打分': 5}
{'短评内容': '离机场实在太远了。搭机场巴士足足走了1个小时30分钟。  想去西安旅游到是方便的。转机的就别去那里了。  很老的酒店了。早餐单调不好吃。', '短评打分': 3}
{'短评内容': '服务还行，位置还行，就是装修太陈旧', '短评打分': 3}
{'短评内容': '有点小贵在地域方面讲的话', '短评打分': 5}
{'短评内容': '座飞机很方便，价格也比较合理，不错', '短评打分': 5}
