{'短评内容': '环境很高，老板很热情，距离四方街很近。', '短评打分': 5}
{'短评内容': '客栈小妹态度很好，但客栈设施差强人意，与240元一晚不匹配，后来去了忆江南，价格基本在一个档次但服务、设施好很多！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境不错，特别是院子感觉到很舒服，老板人不错，小妹也很好，衣服没空洗，他们还帮忙洗掉凉干，现在真想赖在这不走了，哈哈，赞了', '短评打分': 5}
{'短评内容': '地处南门，位置不错，房间干净，不闹，老板还可以。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '说好包含双早，我们四个人，人均是五元，可是他们说买了22块，问我们要两元，有时不是钱多钱少的问题，但是是做生意的准则，再说要了这两元，能让你发财吗？', '短评打分': 1}
{'短评内容': '客栈的环境很好，是典型的纳西式风格，设施也挺有特色的。', '短评打分': 5}
{'短评内容': '地带很好，周边美食也很多，酒店价格也不错，住的挺舒适的，值得推荐。', '短评打分': 5}
{'短评内容': '位置很不错，感觉周边环境很安静，休息的很好。', '短评打分': 5}
{'短评内容': '位置非常不错，靠近万子桥那边，走路很快就到，而且院内都很干净。', '短评打分': 5}
{'短评内容': '位置挺好，在古城内，靠近南门那边，进出古城都很方便。', '短评打分': 5}
{'短评内容': '我觉得环境很好，价格很适合。值得推荐一下。', '短评打分': 5}
{'短评内容': '位置很好，离古城挺近的，周边环境也显得很安静，睡眠质量很好。', '短评打分': 5}
{'短评内容': '各方面都挺好的，老板热情好客，服务员态度也很好，感觉很贴心。', '短评打分': 5}
{'短评内容': '服务人员态度很好，很热情，服务业很周到，感觉很亲切。', '短评打分': 5}
{'短评内容': '我觉得这家店的老板真是非常热情，而且很守信用，提供接机服务，做得很周到。', '短评打分': 5}
