{'短评内容': '卫生有待加强……', '短评打分': 4}
{'短评内容': '国庆期间没有提供早餐，房间宽敞可以加床，非常适合带小孩老人出来游玩，位置也非常不错，过马路就到公园，不过就是酒店卫生一般，洗手盆下有死蟑螂……', '短评打分': 4}
{'短评内容': '有亲子房，酒店位置佳，有停车场。', '短评打分': 4}
{'短评内容': '酒店地理位置还行，但基础设施一般，设施比较老旧，特别是卫生间不太干净，早餐品种较少，服务员服务一般，', '短评打分': 4}
{'短评内容': '房间较大，卫生间和其他设施一般，但这个价位在景区里也还实惠！', '短评打分': 4}
{'短评内容': '位置离正街不远，出行方便，安静。设施和卫生不错。在携程预付的，入住时酒店因为与携程价格未谈妥而拒绝客人入住，虽然很快与携程达成一致，但给客人的感觉不好。', '短评打分': 5}
{'短评内容': '服务不错！', '短评打分': 4}
{'短评内容': '房间大气上档次，室内干净几乎没有潮味，适合长住，可晾晒。所处位置也特别方便，距景点大巴停靠点不到200米。尤其是早餐便宜好吃又丰富。', '短评打分': 5}
{'短评内容': '房间的灯坏掉的。电热水器要烧水只能接淋浴器的水。我订的家庭间，房间只有两条浴巾，我们有孩子，让再多要一条浴巾，都不肯。', '短评打分': 1}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '酒店位置挺好，位于茨坪核心区域，离公交站很近，去景区方便。房间卫生还算干净，就是设施太旧了点，酒店环境也一般。  ', '短评打分': 4}
{'短评内容': '酒店位置不错，离博物馆很近，参观很方便，只是宾馆停车不太方便。房间还算干净，也够宽，就是设施有点陈旧，下次如果不开车来的话，还可以考虑再住这。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位置还行，就在景区附近，到井冈山博物馆很近。但设施就是太旧了，房间有种味道，卫生也有待提高。服务员态度还行，早餐很单调，餐厅很拥挤。', '短评打分': 3}
{'短评内容': '位置不错，门口饭店菜品好，可惜黄金周哪哪的人多', '短评打分': 4}
{'短评内容': '位置好,位于中心区,房间较大,卫生条件不错,服务态度好,早歺丰富.', '短评打分': 5}
{'短评内容': '感觉还不错，那天去还有停车，不过很拥挤，但井冈山就是这个样。', '短评打分': 5}
{'短评内容': '太次!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1', '短评打分': 1}
{'短评内容': '价格太贵了，多要一个牙刷还要收费。不过，早餐还可以。', '短评打分': 1}
{'短评内容': '房间不大，设施较新，三星标准吧，停车场糟糕，服务态度不错', '短评打分': 3}
{'短评内容': '房间不错，出门很方便，就是玻璃太薄晚上有点吵，如果价格再低两百块每天 信价比就很高了。', '短评打分': 3}
{'短评内容': '不错，物有所值，而且非常干净，清爽!下次还会再来', '短评打分': 5}
{'短评内容': '地理位置相当好，性价比高，并且很安静，其他四星的酒店周围环境相当糟糕，价位也很公道，很喜欢', '短评打分': 5}
{'短评内容': '比较新 而且很方便\n就是可能在酒店看不到山水\n风格就是欧式 一般酒店风格时尚简约 浴巾很厚 暂时没有浴袍\n早点看起来还干净。', '短评打分': 5}
