{'短评内容': '卫生还可以，就是没有放纸，这个我很搞不懂', '短评打分': 5}
{'短评内容': '服务态度差而且酒店在装修环境不好', '短评打分': 2}
{'短评内容': '整体还可以，就是去的时候周围都在装修，有点……', '短评打分': 3}
{'短评内容': '脏乱差，被子没换，空调效果差', '短评打分': 4}
{'短评内容': '写这是138，到店就要188，最后砍价158，做生意诚信呢？非常生气，没有能力做这个生意就别接这个单，害的人家跑几百公里到了后就涨价，耍流氓啊。地毯真脏，随手用餐巾纸擦了一个地方就是一大把头发丝和灰尘。', '短评打分': 1}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '有点坑，里面的矿泉水没消费，非得说是我消费的。我自己带的水都没喝完，会去消费？', '短评打分': 2}
{'短评内容': '第二次住了，雖然不是十分的好，但勝在地理位置優越', '短评打分': 5}
{'短评内容': '那么好的位置，那么差的服务和设施，真的是浪费', '短评打分': 3}
{'短评内容': '续房了两天，但是续房卫生不怎么做，没有主动的询问顾客做卫生，做了卫生纸巾都没放', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境还行，只是看着前台门口地面卫生不怎么样，可能是电梯共用的原因，人多走了就脏了，房间枕套很旧，不是很干净。', '短评打分': 4}
{'短评内容': '还行，交通方便，价格合理，', '短评打分': 4}
{'短评内容': '就是旧点，牙具都没有，其他还好，交通方便', '短评打分': 4}
{'短评内容': '外面看上去还有点失望的，里面进去才发现相当不错。挺满意的', '短评打分': 5}
{'短评内容': '离各景点很近，豪华房间里的液晶电脑上网速度很快，液晶电视也很好\n就是不太隔音', '短评打分': 5}
{'短评内容': '离黄兴步行街很近，出行很方便，就是没有早餐供应', '短评打分': 5}
{'短评内容': '不错，特别是液晶电脑上网和液晶电视，就是晚上小卡片塞的多些', '短评打分': 5}
