{'descr': '卫生设施不错。就是小了点', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '因为有事不能入住，居然不能取消预定，大堂经理态度傲慢无理，算自己倒霉，还好没有住这样的酒店', 'star': 1}
{'descr': '就是没窗子，其它都还好。', 'star': 5}
{'descr': '位置好', 'star': 5}
{'descr': '南极人婴儿新生儿南极棉全棉加厚保暖内衣套装 浅粉-开衫 80cm', 'star': 5}
{'descr': '房间不错，干净，还有个大阳台。', 'star': 5}
{'descr': '环境非常好啊，第一次去。在地铁附近，很方便。以后若是去丰台科怡路住的话，只选择你们家啦，真的特别满意的一次入住。', 'star': 5}
{'descr': '环境非常好啊，第一次去。在地铁附近，很方便。以后若是去丰台科怡路住的话，只选择你们家啦，真的特别满意的一次入住。', 'star': 5}
{'descr': '环境非常好啊，第一次去。在地铁附近，很方便。以后若是去丰台科怡路住的话，只选择你们家啦，真的特别满意的一次入住。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '本来订了两个晚上，家里亲戚提前办完事想提前退房，店家死活不肯，被强制消费。体验很差。能不来这里就不要来，服务态度不好。', 'star': 2}
{'descr': '太差了,没有洗发露沐浴露,插座也不好用,还没有餐厅', 'star': 3}
{'descr': '酒店的门比较小，在个公寓楼里，房型不是传统的走廊式，像是居民楼。房间比较新，干净，交通方便，紧靠四环路科丰桥。', 'star': 5}
{'descr': '是公寓房改造的，房间比较干净，可是发现一只小强。紧邻科丰桥，距离办事的地方较近。', 'star': 5}
{'descr': '房间比想象的小，环境还不错，卫生也挺好。', 'star': 5}
{'descr': '北京希美酒店， 不错，不错哈，服务员也很好', 'star': 5}
{'descr': '除了房间太小 隔音不好之外其他都挺好…………', 'star': 5}
{'descr': '装修挺特别的、房间蛮干净。建议有房的情况下，尽量订有窗的房型。', 'star': 5}
{'descr': '太小了，而且连个正门都么有，房间到时干净些', 'star': 1}
{'descr': '挺干净的', 'star': 3}
{'descr': '房间蛮小的。环境不错~~', 'star': 3}
