{'短评内容': '好评，非常好', '短评打分': 5}
{'短评内容': '早歺不错，位置好。不能加床。', '短评打分': 4}
{'短评内容': '酒店干净整洁，地处火炬路，周边交通比较方便，周边餐厅林立，吃饭方便，前台服务员态度不错，入退房速度较快，总体不错，以后还会考虑入住！', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '环境很一般', '短评打分': 3}
{'短评内容': '挺好&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店很新，位于市中心，交通方便，周围有很多好吃不贵的宝鸡特色饭店。从携程上预定的房间，较门市价便宜不少，到店付款，很方便。', '短评打分': 5}
{'短评内容': '时下这种浮夸的时代，难得还能见到这种质朴的美感，并且能实在感受到发自内心的真诚！为威哥餐厅的服务组点三十六个赞！尤其18日早餐班组的姐姐，真正的宾至如归！ 谢谢', '短评打分': 4}
{'短评内容': '位置不错，服务不错', '短评打分': 4}
{'短评内容': '位置不错，卫生较好，服务不错', '短评打分': 4}
{'短评内容': '前台服务态度特别差，洗澡水温都是半凉不凉的，夏天这水温也许是够了，天凉了这水温恐怕是太凉了吧、给前台反映了两次了，每次都是看看看看，最后一次是一个女的接的语气还很屌、我人在水里晾着，还给我说让人来看看很屌的给我说这就是给我的解释、你们酒店我不是第一次住了、这么屌的前台还是第一次见！', '短评打分': 3}
{'短评内容': '我们的生活方式，我们的生活方式', '短评打分': 5}
{'短评内容': '位置不错，吃饭方便。房间设施比较新', '短评打分': 4}
{'短评内容': '住了很多次了！还可以！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住房和图片完全一致，一进门就很舒服。很温馨。设施也很新。不错。房间还配备了电脑。住在这很舒服。。。。', '短评打分': 5}
{'短评内容': '酒店不错, 很新,很干净.住着舒服.以后到宝鸡还会入住.', '短评打分': 5}
{'短评内容': '太棒了！环境也好。希望电脑可以更新一下、、', '短评打分': 5}
{'短评内容': '酒店性价比较高，酒店斜对面就有当地小吃，味道不错', '短评打分': 3}
{'短评内容': '感觉设备都很新，配备都挺齐全的！', '短评打分': 3}
