{'短评内容': '现在主要有装修的，而且窗户有点小。其他的不管是卫生还是服务都挺不错。值得推荐。', '短评打分': 4}
{'短评内容': '环境不错，很安静。', '短评打分': 5}
{'短评内容': '位置方便，服务好', '短评打分': 5}
{'短评内容': '房间好小，设施老化？', '短评打分': 3}
{'短评内容': '喜欢，经常入住', '短评打分': 5}
{'短评内容': '还好还好啦(눈_눈)啦啦啦(●&deg;u&deg;●)\u200b&nbsp;」', '短评打分': 5}
{'短评内容': '还不错，下次再来！！', '短评打分': 5}
{'短评内容': '房间太小！！！', '短评打分': 5}
{'短评内容': '真的非常不错，还说送牛奶，我是网上订的直接入住 方便。', '短评打分': 0}
{'短评内容': '前台服务很好', '短评打分': 4}
{'短评内容': '位置在商业区，交通便利、吃饭娱乐很方便，干净整洁卫生。', '短评打分': 5}
{'短评内容': '服务好，环境不错，给5分', '短评打分': 5}
{'短评内容': '交通很方便，~还忘了带充电器，服务台的美女把她的借给我用了，真贴心', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '交通便利，购物方便，就在这住了，房间卫生干净，服务比较不错。', '短评打分': 5}
{'短评内容': '房间不大 但是现在天冷 空调很暖和 很不错', '短评打分': 5}
{'短评内容': '房间好小，价格好高，刚打开房间的门气味很大，不太满意', '短评打分': 4}
{'短评内容': '很方便的商务酒店', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
