{'短评内容': '家庭客栈中条件算是好的啦，大理城的确实很查。', '短评打分': 4}
{'短评内容': '老板娘很热情。', '短评打分': 5}
{'短评内容': '老板很热情，房间很精致，院落很漂亮。', '短评打分': 5}
{'短评内容': '位置方便，院子安静，住的舒心', '短评打分': 5}
{'短评内容': '很不错，一进庭院，就能看见很多品种的多肉植物，让人赏心悦目。房间布置的很精美。', '短评打分': 5}
{'短评内容': '很有特色的改建老房子，老板娘很有风情 ，热情大方，把小院子打理地很有情调，蛋蛋是我见过最乖的狗狗! 有有自行车借', '短评打分': 5}
{'短评内容': '超五分，不想离开……', '短评打分': 5}
{'短评内容': '还不错，挺安静', '短评打分': 5}
{'短评内容': '位置很好，房间不大但干净，老板娘也很好。住了两天最崩溃的是隔壁居民家的鸡每到半夜两三点开始打鸣，没完没了，一波接一波，有时候再加上狗叫猫嚎，睡眠质量不好的我欲哭无泪', '短评打分': 4}
{'短评内容': '老板娘人超好的，住的很舒服，很安静。离步行街也很近。', '短评打分': 5}
{'短评内容': '客栈老板很热情，派司机师傅到古城南门接我们。客栈坐落在古城中心，巷子口就有游览车站，到哪儿都很方便。客栈安静、舒适，客房干净、整洁，价格适中。', '短评打分': 5}
{'短评内容': '客栈位置不错，在三楼直接可以欣赏到苍山的景色，老板娘也非常热心，各种讲解路线及景点，还推荐了当地小吃，总之还是很满意。', '短评打分': 5}
{'短评内容': '在大理住的酒店真的特别特别棒 静谧 舒适。尤其喜欢她家的猫猫和狗狗，都很亲近人。老板非常亲切，找不到地方还出来接我们，设施也很齐全，热水超棒，大理行程居住首选，生意兴隆～', '短评打分': 5}
{'短评内容': '挺好的 老板和老板娘人都很客气 早上开窗空气好好', '短评打分': 3}
{'短评内容': '还算方便、住的也不错、房间设计有点不合理哟、略小', '短评打分': 5}
