{'短评内容': '还不错的选择，很喜欢的选择，，，', '短评打分': 5}
{'短评内容': '很喜欢的选择，很不错的选择。，。。点赞', '短评打分': 5}
{'短评内容': 'OMG,l live in such a bad hotel for the first time..', '短评打分': 1}
{'短评内容': '很喜欢的选择，很不错的选择。。。。', '短评打分': 5}
{'短评内容': '房间大小 灯光大暗 ', '短评打分': 2}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '很好的选择，很喜欢的选择。。。', '短评打分': 5}
{'短评内容': '很喜欢的选择，很不错的选择的。。', '短评打分': 5}
{'短评内容': '很喜欢的选择。很不错的选择的。', '短评打分': 5}
{'短评内容': '很好的的地方，。推荐给大家呀', '短评打分': 5}
{'短评内容': '很好的的地方，。推荐给大家呀', '短评打分': 5}
{'短评内容': '很好的的地方，。推荐给大家呀', '短评打分': 5}
{'短评内容': '很好的的地方，。推荐给大家呀', '短评打分': 5}
{'短评内容': '很好的的地方，。推荐给大家呀', '短评打分': 5}
{'短评内容': '很喜欢的选择。很不错的选择。', '短评打分': 5}
{'短评内容': '很喜欢的选择。很不错的选择。', '短评打分': 5}
{'短评内容': '很喜欢的选择。。。。很不错的选择。。', '短评打分': 5}
{'短评内容': '。。。。。。', '短评打分': 5}
{'短评内容': '非常无耻的酒店，洗漱用品居然不提供，环保你大爷，拿去卖。一瓶8.8的洗发水卖22一瓶，怎么不去死啊？急着收集钱财买棺材?黑店，床小，空间小。真是垃圾品牌', '短评打分': 1}
{'短评内容': '还好吧。就那样', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '还行吧。价格便宜。亲民', '短评打分': 5}
{'短评内容': '房间挺不错的，住着挺舒适的，价格便宜，服务周到。', '短评打分': 5}
{'短评内容': '经济实惠，不求档次的住着够了！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '方便、位置好！', '短评打分': 5}
{'短评内容': '整体还不错，该有的都有，就是房间小了点', '短评打分': 3}
{'短评内容': '总体来说还不错，经常住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '够小但够便宜', '短评打分': 4}
{'短评内容': '房间小了点，', '短评打分': 4}
{'短评内容': '还可以吧  房间太小了  不过环境还不错', '短评打分': 4}
{'短评内容': '可以', '短评打分': 2}
{'短评内容': '酒店还行的，安静，挺干净。wifi也快。唯一不好的就是温馨大床房的浴室没门~~2个人一起住就会比较别扭。', '短评打分': 5}
{'短评内容': '不需要押金 随住随走 内饰环境有青春活力  橘色红色黄色搭配很适合年轻人 但需要自备洗漱用品 里面干净卫生 服务态度也不错 下次还找布丁', '短评打分': 5}
