{'descr': '这次是来出差，地理位置在大礼堂附近，离轻轨站也不远，而且房间很大！前台服务很不错', 'star': 5}
{'descr': '酒店很好 住起来很舒服 是我喜欢的酒店类型', 'star': 5}
{'descr': '我是一天一天下的单，这样行程可以灵活变化。前一天评价在4.5分以上，但承诺的单个客人床品第四天肯定更换没有做到，只能4分以下了。其他评价描述的不变，另外，热水很好，房间网络信号不错，拖鞋是一次性的。不临街的一排房间外面好像是一个粮品店，白天有时有喧闹。', 'star': 4}
{'descr': '来的前一天电话问询，服务台妹子很细心的解答了交通，但不靠手机地图，找到也不容易，附近基本是小区，稍远有一个菜场，早起去文化宫附近出游，菜场前车比较多，晚上还安静，交通还算方便。入住时服务台还特意问要靠路边的房间还是靠里侧的房间，酒店没有早餐，但附近吃饭的地方很多。房间提供的都是一次性纸杯，有牙具洗液梳子，缺一块小肥皂。床品还干净。203空调插座比较松，有时需要重新插一次。4.5分吧。', 'star': 4}
{'descr': '酒店位置很好，前台服务很好，非常温馨，房间也特别干净，酒店特别安全，晚上睡觉特别放心，房间很大，而且采光很好，还有窗户，还有牙具配送，，牙刷很好用，客房大姐服务很好，，很有礼貌，布草干净卫生，价格合理，网速很快，高清电视，周边很多小吃，离大礼堂非常近，很温馨，像回到家的感觉，下次还来，支持，推荐，酒店位置很好，前台服务很好，非常温馨，房间也特别干净，酒店特别安全，晚上睡觉特别放心，房间很大，而且采', 'star': 5}
{'descr': '酒店服务就那样吧，廉价酒店还想要啥，只要干净就好', 'star': 5}
{'descr': '干净卫生，方便，安静！', 'star': 5}
{'descr': '还好吧', 'star': 5}
{'descr': '房间很干净，也比较安静。', 'star': 5}
{'descr': '房间很好，也比较安静。', 'star': 5}
{'descr': '一般般', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '有点難找', 'star': 5}
{'descr': '方便实惠', 'star': 5}
{'descr': '可以', 'star': 4}
{'descr': '不错，服务热情', 'star': 5}
{'descr': '离大礼堂很近，房间也干净', 'star': 5}
{'descr': '交通方便，服务热情，下次出差会再来！', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '便宜干净，交通略微不方便', 'star': 5}
