{'descr': '环境不错，住的很舒心！', 'star': 5}
{'descr': '地理位置好，服务很周到', 'star': 5}
{'descr': '很好，非常不错', 'star': 5}
{'descr': '设施陈旧，服务一般，地理位置比较不错', 'star': 3}
{'descr': '大胖妞服务态度极其不好', 'star': 4}
{'descr': '环境好，朋友推荐的，非常赞', 'star': 4}
{'descr': '还可以吧！后院有停车场', 'star': 3}
{'descr': '干净服务态度好 交通便利', 'star': 3}
{'descr': '不错，每次来沈阳都住这里，', 'star': 3}
{'descr': '酒店很卫生，虽然不是很大，但是这个价格挺合适', 'star': 5}
{'descr': '安全，干净，特别是开车可以停在院子里非常安全。', 'star': 3}
{'descr': '干净，屋子小点。', 'star': 5}
{'descr': '环境可以，服务态度也不错，价格稍微偏高点，相对同等档次酒店而言', 'star': 5}
{'descr': '还算干净，整洁，一句话：下次有机会，还会来。', 'star': 5}
{'descr': '房间里面细节做的很好 很温馨 早饭很可口 住起来很舒服 下次还会来的', 'star': 3}
{'descr': '挺好的，服务态度挺好的，楼下的饭店也不贵，交通也很便利\n', 'star': 5}
{'descr': '不错不错\n特价房也很好！下次去辽大，我还会住这里的~~', 'star': 5}
{'descr': '感觉环境不错，很干净。', 'star': 3}
{'descr': '酒店很好，新装修的，室内设施不错，特别是卫生间花洒，水很大，水温可调，强烈推荐。早餐很一般，八点钟的时候就快没有了，早上七点半去吃早饭，已经凉了。除去早餐因素，性价比还比较高吧。', 'star': 5}
{'descr': '这家酒店的环境不错，地理位置很好。但美中不足的是，房门锁坏了。', 'star': 5}
{'descr': '宾馆临近商业区，交通方便，卫生清洁，安静，早餐也不错，强烈推荐！', 'star': 5}
{'descr': '住的挺满意', 'star': 3}
{'descr': '干净卫生，挺好，就是房间面积稍微小一些!', 'star': 5}
