{'短评内容': '位置还好', '短评打分': 5}
{'短评内容': '服务好， 停车方便，距离拱宸桥很近，性价比高', '短评打分': 5}
{'短评内容': '服务好，房间不错，房价也很理性，赞', '短评打分': 5}
{'短评内容': '停车方便，位置还好找', '短评打分': 5}
{'短评内容': '停车方便的，位置还好找', '短评打分': 4}
{'短评内容': '酒店卫生不错，虽然不大可是很温馨！前台服务好，住在六楼，可惜是靠修地铁的方向，晚上比较吵，对于睡眠轻的同伴是个折磨！', '短评打分': 5}
{'短评内容': '服务员态度很好，很满意，好像叫李玉琪的男孩', '短评打分': 5}
{'短评内容': '超级值', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '一般，还凑合 性价比还可以', '短评打分': 3}
{'短评内容': '还行吧，因为在装修的缘故，一楼门厅比较乱', '短评打分': 5}
{'短评内容': '住了好几日，挺好的', '短评打分': 5}
{'短评内容': '新装修的，服务员人很好', '短评打分': 5}
{'短评内容': '位置不错，出行方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '有点贵，其他还行。楼下有免费上网区，可以查查资料。可以叫外卖。', '短评打分': 5}
{'短评内容': '酒店很干净，简洁明亮，每间房都有不同的图画在墙上，有点小情趣，适合年轻人住。就是附近消费不方便，要打车或者走远点。酒店的早晨要提前晚上预定，而且品种很少，这个有点不好。', '短评打分': 5}
{'短评内容': '性价比还可以，就是交通不方便，其实主题房真的没有什么特别的，不过还算挺干净的~', '短评打分': 5}
{'短评内容': '靠近马路，太吵。无早餐，附近小区早点摊也不好找，建议往运河方向走，小河直街旁边的新庭记吃早饭不错', '短评打分': 1}
{'短评内容': '还不错，挺干净的，就是太远，周边没有吃喝，去的时候最好带上吃的，不然就得饿肚子了哦', '短评打分': 5}
{'短评内容': '酒店周围是没吃没喝，连摆地摊的都没有。很难想象在杭州还有如此荒凉之地。要坐三站地才见人间烟火。真是瘦身的好地方。', '短评打分': 1}
{'短评内容': '很差，特别是早上结账的时候说卫生间东西少了，***是你们员工监守自盗阿，卫生间除了几块毛巾根本就没有看见别的东西了', '短评打分': 5}
{'短评内容': '安静舒适,美中不足的就是太难找了及离商业中心已远了一点', '短评打分': 3}
{'短评内容': '周边环境不大好，方圆五百米不见人烟，都在建筑开发~找不到买东西的地方，房间挺干净，但配套物品太差，洗发沐浴露是二合一的，而且和水差不多，纸巾要收费，3元一包，总之房间不错，但不值这个价~', '短评打分': 1}
{'短评内容': '新的酒店，还不错，表现中规中矩，设施比较新，住起来还不错。', '短评打分': 5}
{'短评内容': '很干净，服务也很好，值得推荐，位置的话可能稍微有点不好找，不过有公交车', '短评打分': 5}
{'短评内容': '还不错，交通比较便利，基础设施有待提高，价格还算优惠', '短评打分': 5}
{'短评内容': '厕所太臭 别的都不错  能改进厕所的异味就好', '短评打分': 5}
{'短评内容': '真的很不错，很干净，网速也很快 就是隔音不太好', '短评打分': 5}
{'短评内容': '周围环境较为安静，当然也说明周边基本没啥生活配套......酒店很新，房间内很干净，居住较为舒适，不过房间隔音不太理想，隔壁打了一个晚上的电话 这边听得清清楚楚。', '短评打分': 5}
{'短评内容': '还可以，以后会再介绍给其他朋友的，比较干净，离我去的地方也不远', '短评打分': 5}
{'短评内容': '还不错哦，环境都挺好的，。下次去的话，还会选择这家的。', '短评打分': 5}
{'短评内容': '新酒店，早餐什么的都没有，位置很偏，出去吃饭都得打车……床很舒服，连发票当时都开不了……为什么不配套都弄好再营业呢？总之不会住了，那么偏的位置也不便宜', '短评打分': 3}
{'短评内容': '酒店新装修的，还算干净，但服务员工作明显比较生梳，那个地段价格也偏高，而且酒店还没有发票，以后不考虑', '短评打分': 3}
{'短评内容': '满意 和图片描述中的差不多，新开的很多东西都崭新的', '短评打分': 5}
