{'短评内容': '不错。就是在装修有点灰尘和凌乱感。', '短评打分': 5}
{'短评内容': '很好，交通便利，干净卫生，', '短评打分': 5}
{'短评内容': '有车位，停了一个半小时，交了5元。离我发的吃饭地方很近，很好吃。繁华地带，靠近来福士和沃尔玛，门口是车站，非常方便。', '短评打分': 5}
{'短评内容': '房间卫生干净。住着舒服', '短评打分': 5}
{'短评内容': '定的特惠大床，没有早餐，位置不错，交通便利，临近地铁口，去南站和机场比较方便，价格相对比较优惠，还不错吧！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '哈哈哈哈', '短评打分': 4}
{'短评内容': '干净，清净，位置好。走到来福士广场5分钟', '短评打分': 5}
{'短评内容': '酒店的地理位置好，出行挺方便的，离市中心和华西医院也近，虽然房间装修有点老旧但设施还是比较全的，价格便宜，晚上房间里比较安静。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '环境很好，价格很合适，很满意，好评', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '都还可以价格也不高，就是不晓得五十元返不返。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好 驴友的选择', '短评打分': 3}
{'短评内容': '还不错，经济实惠，交通方便，早餐也不错，下次还会入住的。', '短评打分': 5}
{'短评内容': '满好的，服务员态度较好，早餐还。交通方便。设施一般。', '短评打分': 5}
{'短评内容': '不错很满意', '短评打分': 3}
{'短评内容': '正如大家所说，设施比较陈旧，好在交通便利，离地铁站很近', '短评打分': 5}
{'短评内容': '标间换了三人间，房费290，分成了两个套间，空间，光线都不错~', '短评打分': 3}
{'短评内容': '该酒店临街，我住的是407房，房间干净整洁，晚上休息室内清净，一觉睡醒下楼吃早餐，品种丰富，下回还会住那里', '短评打分': 5}
{'短评内容': '比想像中好一点，就是旧了点，洗手间漏水，其他不错，早饭也蛮好', '短评打分': 5}
{'短评内容': '原本想在川大周边找的酒店，距离稍微有点远，步行需要15分钟，是个老三星酒店，酒店还算干净，和连锁经济酒店比还稍微差些。', '短评打分': 1}
{'短评内容': ' 位置方便，简单适用，价格合理。', '短评打分': 3}
{'短评内容': '.房间很好，很干净温馨。改成住三天。', '短评打分': 3}
{'短评内容': '总体说来房间价格略高，并且没有停车场，自驾的朋友不推荐。我还在宾馆门口被电子眼抓拍了，就是因为没有停车场。', '短评打分': 3}
{'短评内容': '不错的选择哈，有机会会再次光顾的哈，交通也还是比较的方便。', '短评打分': 5}
{'短评内容': '酒店还是不错，继续在这里住，设备虽然陈旧了点，但是在该不段还是不错的选择了。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比比较高，还有早餐，位置交通方便，推荐入住。', '短评打分': 5}
{'短评内容': '还是不错，对得起这个价格，还有早餐，交通也很方便的。', '短评打分': 5}
{'短评内容': '窗帘只有半个，水池有坏，其他条件还好，比较方便', '短评打分': 5}
{'短评内容': '交通很方便，服务态度挺好，房间里的东西有点旧了。', '短评打分': 5}
{'短评内容': '交通便捷，机场到宾馆四十块搞定了，店内晚上也比较安静没有干扰。', '短评打分': 5}
{'短评内容': '不错，亦如既往的好！环境，交通都好！硬件设备也是挺好！早餐比较实惠！', '短评打分': 5}
{'短评内容': '位置十分好, 近地鐵, 出入方便, 台前服務員友善!!\n但可惜房間有味, 又加洗澡上去水極有問題, 真要改善!! ', '短评打分': 1}
{'短评内容': '前前后后住了几次了，不错。性价比高，下次还来。', '短评打分': 5}
{'短评内容': '价位合适早餐丰富，交通便利！总之很实惠，以后去周边办事还住。', '短评打分': 5}
{'短评内容': '服务还行', '短评打分': 3}
{'短评内容': '房间外面倒还安静，还有早餐也还不错。房间有网线，电视台也还蛮多的。附近走一点路就可以到地铁站口，交通也还方便。就是我早晨逛累了下午在屋里休息，明明门口显示请勿打扰，服务员还连敲了两次门，检查卫生间淋浴房的玻璃有没有破，在睡梦中就被敲醒，开了门，检查完了没有破，一会又敲，心脏病都快吓出来了。不过房门不是很隔音，早晨六点半就可以听见外面关门声和说话声。', '短评打分': 5}
{'短评内容': '交通方便，安静卫生，就是洗澡的时候水量太小，水忽冷忽热，人没被滑倒先被烫成猪了，失败，', '短评打分': 5}
{'短评内容': '很干净还不错', '短评打分': 3}
{'短评内容': '第二次住在这里了，主要是离地铁近！这次的住的床的头靠不是软包要显得干净一些，整体还可以，主要是吃饭可以记账，餐厅的香水鱼还可以！', '短评打分': 5}
{'短评内容': '沿街房间太吵，房间的灯有好几处都不好用。好在卫生间还算干净早餐的食物还算丰富。', '短评打分': 1}
{'短评内容': '  华西宾馆是老店了,虽有年头但干净卫生。交通便利。', '短评打分': 3}
{'短评内容': '房间小   显得脏些   服务上不是太好  ', '短评打分': 1}
{'短评内容': '酒店环境不错，交通很方便，在一环路边上。不过没有停车场，要在外面的收费场。', '短评打分': 5}
{'短评内容': '酒店比较旧，洗澡地方没有浴室门，不方便，水到处溅。', '短评打分': 3}
{'短评内容': '酒店交通方便，但不能够停车。', '短评打分': 3}
{'短评内容': '设施陈旧，有点感觉回到了80年代，但是地理位置很不错。建议店方能翻新一下了。', '短评打分': 1}
{'短评内容': '还行吧。。性价比比较高。。。房间和大堂都还可以。。就是入住那晚的前台小姐，服务态度很一般啊，说话冷淡。像别人欠她钱没还一样。', '短评打分': 5}
{'短评内容': '交通方便，房间干净卫生，装修有一些旧了。', '短评打分': 3}
{'短评内容': '    宾馆的设施房间都不错，物有所值。就是东西比较旧，毛巾已经不白了。每间房还送一小瓶矿泉水，很好。\n    不足之处就是早餐，样式太少，味道也不太好，有时候有煎蛋，有时候就没有。', '短评打分': 5}
{'短评内容': '房间干净整洁,还可以.就是早餐一般,去晚了就没什么了。', '短评打分': 5}
{'短评内容': '酒店有些旧，床还挺舒服', '短评打分': 3}
{'短评内容': '宾馆很舒适，干净整洁。', '短评打分': 3}
{'短评内容': '定它就是为了第二天的出行方便，与其他一般型酒店没什么特色，感觉房间较小。', '短评打分': 5}
{'短评内容': '几乎每个月都在这里住1周到2周，也就是一般的酒店，睡觉的地方，还算干净，没什么明显的缺点，也没什么明显的优点。', '短评打分': 5}
{'短评内容': '酒店虽然旧了点，但是位置不错，距离地铁站也很近，', '短评打分': 5}
{'短评内容': '酒店还行，最起码价位可以，位置凑合，下次出差还来。', '短评打分': 5}
{'短评内容': '尚可，物有所值。', '短评打分': 3}
{'短评内容': '这家酒店就是一个招待所。店堂似乎还可以，但是房间很差。', '短评打分': 1}
{'短评内容': '每次去成都，都住这家酒店，距离办公室近，早餐不错，其他情况一般。', '短评打分': 5}
{'短评内容': '家庭套房很大，比较满意。就是整体感觉太陈旧了。', '短评打分': 3}
{'短评内容': '不错的酒店。干净舒适。虽然旧了点，还是适合私人去住。', '短评打分': 5}
{'短评内容': '垃圾酒店，厕所的排风坏的，我要求换酒店给我换了个更差的房间，我要求再换的时候就说没有了，然后只能换回那排风坏了的房间。结果晚上冷气一点都不冷，热的我睡不着，还没电扇，空调根本不行的，不能住人，永远不再入住这样的破宾馆', '短评打分': 1}
{'短评内容': '好地方！距离电脑城巨近，商务非常方便，而且有早餐，有豆浆油条。房间内配置尚可，睡个觉嘛，床单枕套都很干净，毛巾、浴巾什么的确实比较旧，用自己的毛巾嘛。', '短评打分': 5}
{'短评内容': '坐飞机的童鞋，这个酒店还可以。\n家常大吧的第二站下车，十字路口走一点。然后地铁口也在十字路口那里很方便。\n酒店有点老，但还算比较干净整洁。\n住路边的房间，要关上窗户，否则有点吵。\n\n', '短评打分': 5}
{'短评内容': '距离数码港灰常的近，提供早餐，尤其可以提供豆浆泡油条。住这家酒店最大的好处是：晚上绝对没有烦人的电话骚扰，所以，非常不合适差旅寂寞人士入住。', '短评打分': 5}
{'短评内容': '酒店虽然旧了点，但是位置不错，距离地铁站也很近，望服务水平有所提高，还会再住', '短评打分': 5}
{'短评内容': '还不错，地处比较市中心了，价格也便宜，就是好像没有单人大床房嘛', '短评打分': 5}
{'短评内容': '房間顯得老舊,早餐不甚豐富,尤其是豆漿與牛奶,比起他家酒店,顯得淡而無味.', '短评打分': 1}
{'短评内容': '交通很方便,住宿条件尚可,很适合商务人士.', '短评打分': 5}
{'短评内容': '不能烧开水，其他设备均好！', '短评打分': 3}
{'短评内容': '环境有点差，配置也很差，房间异味太重，房间很小。', '短评打分': 1}
{'短评内容': '适合商务旅游出差，交通方便，休息安静，房间比较旧', '短评打分': 5}
{'短评内容': '交通还方便，但不是很好找，环境卫生一般，房间有点小', '短评打分': 5}
{'短评内容': '房间设施及卫生条件较好，适合商旅人士入住。', '短评打分': 5}
{'短评内容': '成都华西宾馆房间及卫生较好,服务也挺好。', '短评打分': 3}
{'短评内容': '＋服务较差', '短评打分': 3}
{'短评内容': '交通便利，卫生条件一般，服务态度不错，房间有点小', '短评打分': 5}
{'短评内容': ' 成都华西宾馆不错,房间大而且干净,服务也挺好,适合商旅人士入住。', '短评打分': 3}
