{'短评内容': '帮他人代订，具体情况不详。', '短评打分': 4}
{'短评内容': '入住#11201、#11202、#11203、#11303房间。早餐还可以，交通便利，是一家性价比不错的酒店。', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '感觉还不错，替朋友预定的，朋友和我说房间还是可以的。正好有会客厅，来人还可以谈点事情，早餐一般没有什么可说的地方。', '短评打分': 5}
{'短评内容': '芦墟也就这家好一点了。不错', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 1}
{'短评内容': '相当不错的酒店！景色迷人！', '短评打分': 5}
{'短评内容': '房间安排的不错靠近湖边。二楼等于包场。。。哈哈房间内也很宽敞属于套间两个卫生间。跟之前订房情况相比，比较满意', '短评打分': 5}
{'短评内容': 'Very cold inside of rooms, poor breakfast, good view on the lake', '短评打分': 4}
{'短评内容': '在芦墟这个小地方，算比较好的了，但是比较起来，应该说各方面都还有差距，如服务、设施、卫生、早餐等等。本来已经预定成功双床房，但是被取消了，只能定套房。但是去了发现房间根本不紧俏，基本没啥人。', '短评打分': 3}
{'短评内容': '价格偏高，房间实施欠缺，其余都蛮好的，推荐！', '短评打分': 4}
{'短评内容': '住在别墅区，户外的风景相当好，不过房间里的设施比较简陋了。开会住过两次，早餐还是不错的。友情提示，如果定金付的现金，拿定金的时候一定清点清楚，以防假币', '短评打分': 4}
{'短评内容': '房间有灯不亮，水龙头出水量太小。', '短评打分': 3}
{'短评内容': '面对自然湖景 美不胜收 最好能有个亭子 这样下雨天也可以观美景 房间挺大的 浴缸一般 总体来说物有所值 早餐也不错 还会再去的', '短评打分': 5}
{'短评内容': '位置和服务态度不错，送餐也很好。就是有点远，不如住在酒店大楼的好，环境特别', '短评打分': 5}
