{'短评内容': '干净卫生，好评', '短评打分': 5}
{'短评内容': '挺好的，去了两次都是住这里的，环境挺好的', '短评打分': 5}
{'短评内容': '干净卫生，服务态度好。推荐入住', '短评打分': 5}
{'短评内容': '干净卫生，离海边很近', '短评打分': 5}
{'短评内容': '不错，出门就是海，以后去还住这！', '短评打分': 5}
{'短评内容': '交通方便，去各主要景区都有公交。', '短评打分': 5}
{'短评内容': '都还可以', '短评打分': 5}
{'短评内容': '第一天住的迷你，小孩拉肚子，折腾了一晚上。第二天准备取消入住，店家给我们免费升级了，除了卫浴设备不好，其他都很好。', '短评打分': 5}
{'短评内容': '枕套被套被单很干净，房间很整洁，服务人员很主动热情周到。从入住到退房，全程及时短信或电话 提醒，验证身份信息等每个环节认真负责，让人放心。', '短评打分': 5}
{'短评内容': '周边吃的便利，过马路就到沙滩 现在人不是很多，淡季了嘛。公寓在碧海蓝天小区面。环境安静！房间是温馨类型的 简装的，wifi强，值得推荐。', '短评打分': 5}
{'短评内容': '本来房间不错，经济实惠，可是美中下水管道的味道太让人难受了，没办法开着阳台窗户睡觉，关着门很闷，这么凉爽的天气只能开空调，开低了宝宝又冷，开高了宝宝一头汗，我没有睡过好觉，当然这是这间房硬件问题，老板也解决不了，无奈', '短评打分': 4}
{'短评内容': '位置确实不错，对面就是亚龙湾，但是酒店房间说是35平米，我看估计也就20平米。设施都一般毕竟价格在那里摆着呢', '短评打分': 4}
{'短评内容': '没有想象中的那么好，房间有点小，感觉挺挤的，但是交通挺方便的，出门就有公交，附近也有吃饭的地方！', '短评打分': 3}
{'短评内容': '第一次订这家公寓，确实不错，直接入住有家的感觉，公寓在小区里面，环境很好，离海边就2-5分钟路程，地理位置也挺好的。一次不错的体验。下次有机会还会选择', '短评打分': 3}
{'短评内容': '看了点评选择的这家公寓，老板娘很热情，没想到给免费升级到海景房，有一阳台正对大海，景致很好。靠近游泳池有个超市，到公交车站及海边步行五分钟，女儿很满意。', '短评打分': 3}
