{'短评内容': '性价比还可以的，价格比较实惠，服务也算对得起价位', '短评打分': 5}
{'短评内容': '位置很好，停车很方便，晚上出去去老街玩有公交直达，末班车到晚上十点多，早餐也很干净卫生，值得推荐！！', '短评打分': 4}
{'短评内容': '    环境不错', '短评打分': 5}
{'短评内容': '没什么说的，提前10几天预订完成，钱都交了，办入住楞说我没订，给看订单还要等半天，体验很差，必须差评', '短评打分': 1}
{'短评内容': '设施齐全环境好，早餐丰盛！', '短评打分': 4}
{'短评内容': '酒店服务好', '短评打分': 4}
{'短评内容': '好地方，环境不错', '短评打分': 5}
{'短评内容': '总体感觉一般般', '短评打分': 3}
{'短评内容': '一般，勉强算三星寄，不知道为什么携程上写个高档酒店。', '短评打分': 3}
{'短评内容': '感觉很好', '短评打分': 5}
{'短评内容': '酒店位置稍微有点偏，但是胜在安静，停车位比较方便，周围吃的东西不是很多，不过自驾车的话，不远处有个小区旁边有家饭店不错，价格实惠，味道也不错，开车也就五分钟左右。', '短评打分': 4}
{'短评内容': '不建议', '短评打分': 1}
{'短评内容': '好好考虑一下再住！', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '离高铁站很近，酒店门口就有专线车，去高铁站和汽车站都很方便。酒店工作人员很热情，错过了早餐时间还是给单独安排了，非常感谢。下次去黄山还会入住。', '短评打分': 5}
{'短评内容': '一家离高铁站比较近的酒店 酒店服务很好 环境也很好 很安静 ', '短评打分': 5}
{'短评内容': '综合性价比高，在景区这种位置，这个价格适合', '短评打分': 5}
{'短评内容': '酒店设施很齐全也很干净，床很舒服。', '短评打分': 3}
