{'短评内容': '配套齐全，舒适', '短评打分': 5}
{'短评内容': '服务态度很差，晚上旁边房间还有打麻将的，晚上吵的要死，睡都睡不着，还不让退房，后来实在受不了只有自己去重新找了一个酒店', '短评打分': 1}
{'短评内容': '比较满意', '短评打分': 4}
{'短评内容': '公 司 同事出差到成都去，自己在网上挑选 到的这家酒店，可能是之前入住过的，整体还比较满意吧，所以这次又预定了。', '短评打分': 5}
{'短评内容': '旁边一条河很漂亮', '短评打分': 3}
{'短评内容': '服务环境都不错，值得推荐', '短评打分': 5}
{'短评内容': '挺好的。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好，环境可以', '短评打分': 5}
{'短评内容': '准四星级酒店，位置良好，交通方便，周边饮食购物方便，房间设施陈旧，卫生一般，性价比一般，酒店的名气和价格与实际情况有偏差，希望今后能够提高。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很不错，就是早餐品种少', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店环境好在河边，晚上睡觉安静', '短评打分': 5}
{'短评内容': '性价比还不错，离办事的地方也较近，有多次入住。', '短评打分': 4}
{'短评内容': '好 非常更好', '短评打分': 5}
{'短评内容': '清静，干净，住的套房，床舒适，卫生间大，停车方便，顶一下', '短评打分': 3}
{'短评内容': '酒店设施不错，服务人员工作很好，态度令人满意，就是出行不大方便', '短评打分': 5}
{'短评内容': '到世纪城开会，以为这家酒店离的较近就订了。酒店还算可以，但就是交通极不方便。因为这个酒店属于华阳镇，不属于成都市，所以打车时都要议价，出租车不仅少，而且价格要的离谱。下次不会去了。', '短评打分': 1}
{'短评内容': '酒店硬件软件都不错，但掀开被子发现枕头上的两根头发就有点不爽，幸好我一个人住有多余的，改进改进会更好。', '短评打分': 5}
