{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '顶楼3F的公共空间可遥望四周，走道上有几张桌椅可供休息。建水火车站出来直接坐919路专线(红运--火车站)到东门或酸角树路口或者是坐终点站北门(红运)车程大概20~30分钟，步行几百米就可以到酒店。', '短评打分': 5}
{'短评内容': '房间还蛮干净的。住的房间在三楼，视野良好，房间的窗户可以往外打开。拖鞋有点小，电视信号稍微差了一点。', '短评打分': 5}
{'短评内容': '1.靠近朱家花园，地理位置很不错。。。2.酒店是由几栋楼组成，从前台去房间的路比较九曲十八弯。没有电梯，行李多是个问题，不过可以请酒店员工帮下忙3.前台有问必答，很热情', '短评打分': 4}
{'短评内容': '不好找，没有停车场。', '短评打分': 4}
{'短评内容': '酒店位置好，在建水古城中，已经是第二次入住了.房间宽大安静.出门就是古城.离朱家花园也很近.周围吃的也很多.值得推荐', '短评打分': 4}
{'短评内容': 'hhhhhhhh', '短评打分': 5}
{'短评内容': '地理位置非常好，就在朱家花园旁一分钟路程，房间很大，干净舒适，前台很客气', '短评打分': 5}
{'短评内容': '很好的一家酒店，景点就在附近 吃饭购物都方便', '短评打分': 5}
{'短评内容': '在古城里面，朱家花园旁边，逛街方便，还可以吧，就是房间有点小，卫生间设计的不好', '短评打分': 5}
{'短评内容': '设施过于简单，灯太少了，光太昏暗。最奇葩的是卫生间没有门，相对于旁边的特色客栈稍显性价比不高。', '短评打分': 3}
{'短评内容': '房间设施很简单，想吐槽的是房间的灯光太昏暗了，电视也小得可怜，相比附近的特色客栈性价比不算很高。', '短评打分': 4}
{'短评内容': '酒店在古城内，方便游玩，周边都有各种美味小吃，紧邻朱家花园。服务人员态度很好，帮我们买了优惠的小火车票，住了两天没玩够，下次再来。', '短评打分': 5}
{'短评内容': '酒店很干净,服务也不错', '短评打分': 3}
{'短评内容': '挺好的，就是厕所没门， 洗澡后房间湿气重，', '短评打分': 5}
{'短评内容': '地理位置绝佳，从酒店出来左转下去200米就可到朱家花园，300米到香满楼，朱家花园门前的血旺米线你可以尝一下；从酒店出来右转向右前方步行500米可到文庙，向左前方步行300米可到学政考棚后门，后门前面的小广场可以停车，网上有演出和烧烤。酒店环境、卫生都挺更好。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比高，周边环境很清爽。就在朱家花园边上。', '短评打分': 5}
{'短评内容': '很不错的酒店，实惠，只是卫生间没有门的设计，感觉不太好。', '短评打分': 5}
{'短评内容': '干净、卫生，服务很不错，值得推荐，位置比较好。', '短评打分': 5}
{'短评内容': '非常不错的酒店，很值得推荐，设施很好，很干净很舒服，如果下次去肯定也会去那里住', '短评打分': 5}
{'短评内容': '超级棒的服务态度，我打电话询问宾馆地址，结果人家直接来接我过去\n环境也很好', '短评打分': 5}
{'短评内容': '有两个路口进去，一个路口进去就有超市，很方便，另一个路口就是通往朱家花园，早上吃早点的时候就在朱家花园的门口吃咯！离银行也很近，最最好的是方便打车，要逛街就老实方便了！一出朱家花园那里，想逛那里就逛那里，小豆腐可以随便吃！方便！环境卫生很不错，最特别是的走廊！很有味道哦！使劲拍照中....', '短评打分': 5}
{'短评内容': '干净、卫生，服务员态度很好，离各个景区的距离相当近。', '短评打分': 5}
{'短评内容': '酒店位置很好，就在古城中心，距离文庙、朱家花园都很近；房间光线充足；有有线网络，不过需要自己带一个无线路由器；停车方便；入住时床单上发现有一两根头发，不知床单是没有换还是换的时候工作人员的头发。总之感觉不错！', '短评打分': 5}
{'短评内容': '我认为这么大的酒店走廊曲曲折折很有一些意思。不过条件不错，可能是新建设的吧', '短评打分': 5}
{'短评内容': '很喜欢这家酒店，藏于闹市，隐于中国式建筑群中。出门5分钟就是朱家花园。\n干净，设置得也很合理。酒店的格局仿L形，前台在一楼的一端，房间在二层，沿L形分布，如果你住在走廊末端，很够走。', '短评打分': 5}
{'短评内容': '位置不是很好找，不过很安静。房间很干净，不过觉得装修略显简单了些，感觉很空，我住的大床房，多套沙发就好了！', '短评打分': 5}
{'短评内容': '新酒店位置很好就在古镇里设施也新的不错，可细节不好电视总断，卫生间反味一晚都没休息好', '短评打分': 5}
{'短评内容': '卫生很好。一上楼就感觉很亲切，就是不能刷卡有些遗憾。', '短评打分': 3}
{'短评内容': '不错的快捷酒店，房间很大，简洁干净，安静。前台服务态度非常好。在市中心离朱家花园不远，那条街上有几家相当不错的当地餐馆。周边的仿古建筑比较做作。停车场有人看守。', '短评打分': 5}
