{'短评内容': '早餐是中餐，样式还比较多。不能加床，地理位置比较方便，周围小点林立，吃饭也方便，有公交车方便到车站，到周边。', '短评打分': 4}
{'短评内容': '能满足基本要求', '短评打分': 3}
{'短评内容': '房子太澜', '短评打分': 1}
{'短评内容': '挺好的，就是路边停车费太贵早上两个半小时收了我19', '短评打分': 5}
{'短评内容': '服务态度不好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很不错，舒服。', '短评打分': 5}
{'短评内容': '浴室设备较差', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错。环境各方面都好。', '短评打分': 5}
{'短评内容': '酒店还可以，适合商务出行。', '短评打分': 4}
{'短评内容': '比较老旧，由于窗户单层，白天外面汽车喇叭太吵。', '短评打分': 3}
{'短评内容': '周边环境有点偏，吃饭也不太方便，但是酒店内卫生环境还不错！', '短评打分': 5}
{'短评内容': '下次真的不会住，就是一个招待所，进去玻璃都是水印儿，早餐隔壁6块钱拉面之前我没注意所以没穿外套没带钱，来吃早饭的都加鸡蛋或者凉菜，我干吃一碗面，真心醉了，还不如快捷酒店，决策失误，不隔音隔壁电视声音都能听到第一次给差评！', '短评打分': 2}
{'短评内容': '下次真的不会住，就是一个招待所，进去玻璃都是水印儿，早餐隔壁6块钱拉面我真心醉了，还不如快捷酒店，决策失误，不隔音隔壁电视声音都能听到第一次给差评！', '短评打分': 2}
