{'短评内容': '还不错，对得起他的价格。', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '干净，4星，还好', '短评打分': 5}
{'短评内容': '特价房，晚上稍微有点冷，但就价格来说，也能接受', '短评打分': 3}
{'短评内容': '环境好，非常值得入住，价位低，亲民消费不贵', '短评打分': 5}
{'短评内容': '还可以吧，门锁不能反锁，装修有些老。', '短评打分': 5}
{'短评内容': '干净卫生，性价比不高。', '短评打分': 5}
{'短评内容': '不错的酒店，出行方便，服务很好哦', '短评打分': 5}
{'短评内容': '环境不错，卫生', '短评打分': 5}
{'短评内容': '住的还挺舒服，房间卫生也挺好。', '短评打分': 5}
{'短评内容': '不错，就是床有点硬', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友每次去锡林浩特都住在这家酒店，应该是不错的。', '短评打分': 5}
{'短评内容': '比较老的一个酒店，比较安静，建议开车前往。', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '这间贵宾房应该是后改出来的，窗户偏小，空调是壁挂式的，房间很大，感觉有些怪。酒店环境很好，后面应该是一个大公园，还没建完，晚饭后是个遛弯的好去处，就是蚊子太多了。总体很不错。', '短评打分': 4}
{'短评内容': '之前住过，感觉不错，是回头客。位置不在市中心，也就没有那么闹，本来就是来旅游的，正好。市里的酒店也住过，都没有这里敞亮。个人感觉早餐的菜品都偏咸。下回还会来住。', '短评打分': 4}
{'短评内容': '太好了，下次还住。', '短评打分': 5}
{'短评内容': '位置比较偏，很安静，房间设施一般', '短评打分': 4}
{'短评内容': '设施陈旧、价格畸高、服务水平差。', '短评打分': 3}
