{'短评内容': '性价比很高！', '短评打分': 5}
{'短评内容': '还分', '短评打分': 3}
{'短评内容': '位置很好，环境很幽静，值得推荐', '短评打分': 5}
{'短评内容': '位置不错，安静，房间比较大，性价比很高。', '短评打分': 5}
{'短评内容': '位置不错，安静，房间比较大，性价比很高。', '短评打分': 5}
{'短评内容': '喜欢', '短评打分': 5}
{'短评内容': '房间挺好，周边风景挺好', '短评打分': 4}
{'短评内容': '不错，这个价格，这样的酒店，相当实惠', '短评打分': 5}
{'短评内容': '服务态度好 住宿环境好 周围很多小吃 方便', '短评打分': 5}
{'短评内容': '位置有点偏，但是蛮安静的，可惜前台接待员的服务有待改进', '短评打分': 5}
{'短评内容': '环境比较偏，但很安静，就是前台接待员的服务有点呆板', '短评打分': 5}
{'短评内容': '整体上讲性价比不错，很安静，位置也不错', '短评打分': 5}
{'短评内容': '比较老的酒店了，性价比不错。这个价位的旅店首推这家', '短评打分': 4}
{'短评内容': '一般吧，付的景观房的钱给的是普通的房间，属于那种老酒店改的吧，实际感觉没有图片中那么好…', '短评打分': 3}
{'短评内容': '酒店的设施比较旧了,不过服务员态度还是很好的,酒店的位置比较深,出租车不愿意进去,打车不是很好打.', '短评打分': 5}
{'短评内容': '干净~房间大~床也大~隔音效果好~出门是一个小公园之类的~很安静~洗手间也很干净~针对有人反映的二层地板踩空问题~个人表示不蹦蹦跳跳的完全无影响~有小冰箱（虽然没用上）~性价比很高~周边吃的也很多~下回去苏州还会选择这里~', '短评打分': 5}
{'短评内容': '还不错，挺实惠，就是酒店楼层不高，晚上有蚊子出没，房间隔音一般，旁边有家烤肉店，吃起来味道不错，周围相当安静，勉强推荐！\n', '短评打分': 5}
{'短评内容': '优点：周围环境安静，吃饭交通方便，缺点：房间有异味，电视信号差，服务态度有待提高，被子不是很舒服！总体来说，性价比不太高。', '短评打分': 1}
{'短评内容': '地理位置不错，邻近大润发方便购物，房间的设施都很好，大体上干净整洁，只是淋浴房的门上没有打扫干净有些头发什么的黏在上面看了不舒服', '短评打分': 5}
{'短评内容': '地方太偏僻了。好难找啊！其他都不错啊！', '短评打分': 3}
{'短评内容': '酒店环境一般，早餐一般，房间太冷。不会推荐给朋友。', '短评打分': 1}
{'短评内容': '说是三星，感觉还没有锦江之星之类的经济连锁酒店好。不是很值。', '短评打分': 1}
{'短评内容': '一个字。。。。差', '短评打分': 3}
{'短评内容': '空调系统很不错 电视能收到KBS和NHK 唯一遗憾是没电梯~', '短评打分': 5}
{'短评内容': '几年了一直住这里，设施和服务都挺好，吃饭也方便。', '短评打分': 5}
{'短评内容': '酒店的服务还不错,就是位置比较偏,离主街道太远了,打车很不方便,环境还可以,价格要是能再便宜些就更好了.', '短评打分': 5}
{'短评内容': '酒店还比较舒适，不过隔音不太好，但是服务环境都挺好的，地理位置也不错，交通比较便捷', '短评打分': 5}
{'短评内容': '整体感觉还可以，服务不错，就是价格有点高了，以后会考虑价格优惠的酒店', '短评打分': 1}
{'短评内容': '到那感觉还可以，房间很干净。我订的是大床房，挺舒适的，但是感觉房价有点高……隔音那个……上次住的那个晚上能听到隔壁的动静。', '短评打分': 5}
{'短评内容': '性价比还是蛮不错的，值得推荐', '短评打分': 5}
{'短评内容': '酒店的位置有些偏了,它是在商业街的最后头,下了车还要走200多米才能到,要是晚上走觉得挺不安全的,酒店里边还是弄的蛮干净的,设施也比较齐全.住起来还是挺舒适的.', '短评打分': 5}
{'短评内容': '酒店服务人员态度很热情,卫生打扫的也很及时,住着还是比较舒适的.只是针对旅游客人位置上有些远了.', '短评打分': 5}
{'短评内容': '环境不错，闹中取静，就近餐饮也很方便', '短评打分': 5}
{'短评内容': '酒店的环境很不错，门口有河，风景也不错，宾馆服务和卫生也不错，旁边就有一条小街，里面韩餐馆很多，旁边就是一家很大的韩餐馆，门口不远就有公交车。可以坐车到景点和购物街，很方便，一般出租车司机不知道这个地方，所以到了时代街，一定要让他往里面开进去才能看到酒店，不足的地方就是早点一位20元，实在是没什么可吃的，花样少而且也不便宜，还在走廊和房间里的地踩着很不舒服，感觉要掉下去一样是空的，总的来说是个不错', '短评打分': 5}
{'短评内容': '这个酒店其实很不错，酒店服务蛮好的，但位置相对来说比较偏，不过离寒山寺挺近的', '短评打分': 5}
{'短评内容': '性价比高 适合商务客 跟市中心不远 打的15塊就到', '短评打分': 5}
{'短评内容': '除了位置差点，快赶上4星的水平了。在那个位置，可惜了。不过权金城晚上吃饭的人可真多。', '短评打分': 5}
{'短评内容': '酒店的环境服务都很不错，而且价格很实惠，交通也挺方便的。', '短评打分': 5}
{'短评内容': '酒店的服务，环境设施都挺不错的，位置也不错交通便利，性价比不错。', '短评打分': 5}
{'短评内容': '环境很幽静，随离市中心偏远，但交通还算方便并不影响出行', '短评打分': 5}
{'短评内容': '酒店属于经济实惠型的，这个价格和享受到的服务，房间设施差不多。', '短评打分': 5}
{'短评内容': '11月1号入住，住的是特价标准间，感觉不错。就是地点有一点点偏。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '尽管硬件设施都不错，但存在一下两点问题：&lt;br /&gt;\n一、设计缺陷。天窗本来是个不错的创意，可惜把我安排在这样一个房间里：房间天窗正对着一台晚上不停运转的烧热水的机器，噪声很大。&lt;br /&gt;\n二、服务态度很不好。该宾馆开业也有半年了，对这个房间的设计缺陷不可能不清楚，但是还要把我安排在这个房间，而我提前一周预订，我人到该宾馆后，还有人来预订表明我那个房间不是最后一个房间。晚', '短评打分': 3}
