{'短评内容': '无线网络信号很差', '短评打分': 3}
{'短评内容': '没有住过小旅馆的千万别来！有味道，隔音效果特别不好，吵得睡不着', '短评打分': 3}
{'短评内容': '很旧，服务态度差，没有空调，中央空调很吵，一晚上嗡嗡巨响没法睡觉，整体很旧，拖鞋也看起来很旧，这样的房间这个价格太贵了，同样的价格建议大家住别的地方', '短评打分': 2}
{'短评内容': '交通便利！', '短评打分': 5}
{'短评内容': '交通便利！', '短评打分': 5}
{'短评内容': '还不错，干净', '短评打分': 5}
{'短评内容': '房间内卫生还不错，就是走廊过道空气不太好', '短评打分': 4}
{'短评内容': '真的不想评价，关在那样的小黑屋会郁闷死的', '短评打分': 1}
{'短评内容': '房间杯子太旧了。', '短评打分': 5}
{'短评内容': '很近华师，过来考试很方便，周围有很多便利店，买点什么都方便～', '短评打分': 4}
{'短评内容': '在华师西门对面五十米左右，房间环境还可以，就是床太硬了', '短评打分': 4}
{'短评内容': '一般吧，环境不是很好', '短评打分': 5}
{'短评内容': '性价比不高，位置不错。', '短评打分': 3}
{'短评内容': '前台是上帝么？一直坐着板着个脸同客人讲话，讲话又听不到。擦。。。环境般般，无窗空气差。难受。', '短评打分': 3}
{'短评内容': '没有梳子', '短评打分': 4}
{'短评内容': '酒店服务和环境还可以，主要是近华师高铁站，出行很方便', '短评打分': 5}
{'短评内容': '交通十分便利 就是房间小没有窗户 周围很多小吃店', '短评打分': 5}
{'短评内容': '不是第一次来了，感觉还不错啊', '短评打分': 3}
{'短评内容': '地點很好，各種方便，房間有點舊，蚊子比較多。', '短评打分': 5}
{'短评内容': ' 地理位置很方便！环境还行！！', '短评打分': 3}
{'短评内容': '房间太旧了，不会去第二次', '短评打分': 3}
{'短评内容': '我感觉总体是一般，可以免费打电话。值得推荐', '短评打分': 5}
{'短评内容': '离华师西门非常近，附近有全家和7——11便利店，离地铁站相当近，两站路就到天河城，建议考华师的学生住，卫生、隔音相对来说一般，总体评价还不错。', '短评打分': 5}
{'短评内容': '安全，快捷，靠近华师和地铁口，很方便，住宿环境很不错，还有免费的网络', '短评打分': 5}
{'短评内容': '入住了，有点小。离华师很近，性价比高。房子有点老，住在二楼没有电梯，回来发照片。', '短评打分': 3}
{'短评内容': '~~~~~~~~~~~~~~~~~~~~~~~~~~不错，就是房间旧了点~~~~~~', '短评打分': 5}
{'短评内容': '还好，不过隔音效果有点小差。其他的东西都还好', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '硬件不错', '短评打分': 3}
{'短评内容': '外部环境一般 房间还可以 算舒服 隔音有点差哦 外面的走路可以听到', '短评打分': 5}
{'短评内容': '无论什么房型都是无窗的，房间有很大的霉味（可能因为没有窗的缘故），房间比介绍的要小很多……', '短评打分': 1}
{'短评内容': '好，感觉还不错。之前想订几次都没订到。这次终于订到了，价格也比较合理!', '短评打分': 5}
{'短评内容': '房间不大，但这个价位还是不错的。旅馆对着华南师大西门，对于在华师大办事者来说非常方便。很安全、安静。', '短评打分': 5}
{'短评内容': '虽然只住了一晚，感觉还不错。\n住的是没有窗户的房间，很实惠；很安静，离地铁口近在咫尺，很方便。\n由于性价比很好，推荐此酒店。', '短评打分': 5}
{'短评内容': '酒店离华师和周边几个大学都很近，就在地铁口附近，交通比较方便，服务也很好，就是房间有点小，窗户也不能打开。', '短评打分': 5}
{'短评内容': '地点较好，靠近地铁站和公交车站，服务态度也不错，虽然一进去房间有点味道。是华师附近的一个不错的选择。', '短评打分': 5}
{'短评内容': '服务项目比较全面，服务也比较周到，不过就是衣服没有地方晒，不容易干，还有被子比较小，电视频道少，很多电视都看不到', '短评打分': 5}
{'短评内容': '，酒店服务态度好，离华师尽，方便舒适，性价比高，值得推荐。', '短评打分': 3}
{'短评内容': '<广州吉旅连锁宾馆（华师店）>服务很好...', '短评打分': 5}
{'短评内容': '广州吉旅连锁宾馆（华师店）：服务很好...', '短评打分': 5}
