{'短评内容': '酒店设施很有质感，交通方面稍显不便', '短评打分': 4}
{'短评内容': '早餐不错，比较丰富', '短评打分': 4}
{'短评内容': '还不错，出差常住这里', '短评打分': 4}
{'短评内容': '早餐不错，吃饭的大部分是50岁以上的', '短评打分': 4}
{'短评内容': '一直住开的酒店很不错', '短评打分': 5}
{'短评内容': '环境很好，很干净，下次再来', '短评打分': 5}
{'短评内容': '性价比很好！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '一如既往地好！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，设施比较齐全，就是乒乓球，桌球要另外收费，周边也比较偏，有机会再住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不錯的！可以！', '短评打分': 5}
{'短评内容': '环境好，安静', '短评打分': 5}
{'短评内容': '日式房间很有特色，几个人围在一起品茗很写意。早餐及酒店周边环境一般。', '短评打分': 3}
{'短评内容': '非常的棒，下次肯定还是这家！服务也好！应该说每次都是这家！希望能保持该服务态度！', '短评打分': 5}
{'短评内容': '安静舒适！下次还会来!', '短评打分': 3}
{'短评内容': '房间不错，就是冰箱里的饮料还是去年四月份的。', '短评打分': 3}
{'短评内容': '酒店房间设施可以，性价比不错，就是到机场没有直达大巴。', '短评打分': 5}
{'短评内容': '工作需要! 我经常入住东莞华尔登国际酒店. 不错的选择', '短评打分': 5}
{'短评内容': '性价比好。就是check out 的时候多算了mini bar的消费了。', '短评打分': 5}
{'短评内容': '早餐很好哦！就是check out 时间太成了。', '短评打分': 5}
{'短评内容': '前台工作人员笑容匮乏，\n498元/间还要收取国内电话费，过分。\n', '短评打分': 1}
{'短评内容': '不错，环境好，价格适中，下面的桑拿足疗的服务也很好。', '短评打分': 5}
{'短评内容': '不错，每次都住这家，距离客户近，酒店还可以安排车子。环境也好，非常满意。', '短评打分': 5}
{'短评内容': '一直是住这家酒店的，不错的！为什么老是要求点评呢？', '短评打分': 5}
{'短评内容': '一直住此家酒店，感觉不错。没有什么可以多说的。推荐一下吧！', '短评打分': 5}
{'短评内容': '非常好，健身、餐饮配套齐全，环境优雅，适合一家大小周末度假。', '短评打分': 5}
{'短评内容': '该酒店环境好，设施高级、齐全，价格又实在，感觉很舒服。', '短评打分': 5}
{'短评内容': '不错的酒店, 房间, 服务, 硬件, 菜色都不错', '短评打分': 5}
{'短评内容': '整洁、安静、服务好、住着舒服，就是有点贵', '短评打分': 5}
{'短评内容': '已点评了已点评了已点评了已点评了已点评了', '短评打分': 5}
{'短评内容': '性价比高。只是大堂吧蚊子很多，是否可以设法清除？？', '短评打分': 5}
{'短评内容': ' A NICE HOTEL. CLEAN AND TIDY.', '短评打分': 3}
{'短评内容': '酒店设施尚可，就是晚上大厅的表演有点吵。服务普通，偶尔几个态度不好。五星不太谈得上。', '短评打分': 3}
{'短评内容': '设施很好，很安静。酒店就在广场边，晚上上可散散步。', '短评打分': 5}
{'短评内容': '位置较好，员工的服务态度极佳。但购物不是太方便。', '短评打分': 5}
{'短评内容': '性价比不错，就是国庆假期人多点，都是一家大少的度假的。', '短评打分': 5}
{'短评内容': '算东莞还不错的酒店', '短评打分': 3}
{'短评内容': '离宝安机场有一小时车程，酒店安排接机的话，要收费350一次，比较贵', '短评打分': 5}
{'短评内容': '很不错的五星酒店，设施齐备，服务周到，早餐也很丰富，性价比颇高，日式房很有特色，推荐一下。', '短评打分': 3}
{'短评内容': '不算贵的五星酒店，定的房间很舒适，也很干净，已经入住好多次了，以后还会选择这家酒店。希望以后早餐能在丰富点:)', '短评打分': 5}
{'短评内容': '非常不错的酒店，就是还有装修后材料味道。', '短评打分': 3}
{'短评内容': '周边环境一般。', '短评打分': 5}
{'短评内容': '非常非常不错的酒店，很值得入住，不过觉得是不是装修材料不够环保，\r\n第二天早上起来觉得喉咙很不舒服。', '短评打分': 5}
{'短评内容': '東莞橋頭是最不錯的酒店', '短评打分': 3}
{'短评内容': 'Very Good Hotel', '短评打分': 5}
{'短评内容': '很新的一家酒店，环境、装修、卫生都很不错。', '短评打分': 3}
{'短评内容': '酒店房间很宽敞也很明亮，尤其是卫生间，可淋浴也可泡澡，毛巾很白很柔软，400多块的房价还是比较适中的。', '短评打分': 5}
{'短评内容': '房间很宽敞很舒适，服务业很亲切，只是稍微有些贵。早餐的选择性不大，但总体还是很不错的', '短评打分': 5}
{'短评内容': '您会向您的朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '整体来看很好。', '短评打分': 5}
