{'短评内容': '只能意会不能言传', '短评打分': 2}
{'短评内容': '可以带小孩，没有早餐，位置很好找，停车放便', '短评打分': 5}
{'短评内容': '真的很一般，特别洗手间花晒，水小到没朋友。', '短评打分': 3}
{'短评内容': '服务态度非常好！', '短评打分': 4}
{'短评内容': '服务态度非常好！', '短评打分': 4}
{'短评内容': 'So so.. still need more clean and use better furniture.', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店的设施真的很老了，很郁闷的感觉', '短评打分': 2}
{'短评内容': '总体来说环境不错！卫生方面也是很干净，还有退房速度很快不会耽误大家的宝贵时间，下次出差还会再次入住！', '短评打分': 5}
{'短评内容': '主要房间卫生不怎么样，大堂装修可以，和房间对比不协调。花洒的水很小，电视好老土，房间里面异味很大，感觉不怎么样。', '短评打分': 2}
{'短评内容': '设施旧，无窗，房间有点发霉的味道', '短评打分': 3}
{'短评内容': '新装修比之前好些，还是有保险柜，很方便。但是电梯上午下午经常只能单向，不是很方便。', '短评打分': 3}
{'短评内容': '酒店位置很好，就在家具一条街，逛家具很方便，附近吃的也很多。卫生条件较好。', '短评打分': 4}
{'短评内容': '性价比地理位置还好，房间不透气', '短评打分': 3}
{'短评内容': '位置不错，房间不透气', '短评打分': 3}
