{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '比较满意，出行办事方便。', '短评打分': 4}
{'短评内容': '三星级还没有吹风机', '短评打分': 4}
{'短评内容': '酒店卫生条件和设施条件等各方面超出预期，房间宽敞明亮,周边出行方便,早餐质量也不错,特别是服务很周到贴心.', '短评打分': 5}
{'短评内容': '环境老一点，设备旧一点，窗外闹一点。其余挺好', '短评打分': 1}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店还行，继续住了，经常来这里，还行吧！', '短评打分': 5}
{'短评内容': '还好，已经住了几次了，不错。', '短评打分': 5}
{'短评内容': '酒店太老，要重新装修了', '短评打分': 3}
{'短评内容': '开会的原因在此住了一晚，感觉还可以。', '短评打分': 4}
{'短评内容': ' 酒店设施陈旧，卫生条件差，家具电话上都感觉很油腻。勉强住了一晚都没怎么睡，躺在床上不敢脱衣服睡.', '短评打分': 3}
{'短评内容': '  您的点评   不错  服务挺好  卫生情况也可', '短评打分': 5}
{'短评内容': '很不错的酒店，价格比较合理，美中不足就是电脑有点慢。', '短评打分': 5}
{'短评内容': '环境不错。房间整洁舒适。', '短评打分': 3}
{'短评内容': '酒店还不错,就是中央空调声音有点吵,有早餐带孩子住特别方便', '短评打分': 5}
{'短评内容': '服务很好！', '短评打分': 3}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '感觉很不错，服务很贴心，家的感觉，还会长住的吆…', '短评打分': 3}
{'短评内容': '住了两天，感觉还可以吧，服务不错。想住更好的这点钱也不够啊。', '短评打分': 5}
{'短评内容': '装修声杂有点吵，还行，', '短评打分': 3}
{'短评内容': '很温馨，很舒适，虽然房间靠近马路，但是没有感觉到特别吵，隔音效果有点差，早餐准备的还可以。', '短评打分': 5}
{'短评内容': '酒店经过翻新，所以看上去不太旧，服务也是不错的。订的是3人套间，是两个房间中间开出一道门，所以还挺实用的。\n\n不过很大的问题是淋浴的水水力不够，房间和走到之间的隔音很差，早上人家离开房间、说话都听的很清楚，酒店必须改善！', '短评打分': 1}
{'短评内容': '不错，蛮舒适', '短评打分': 3}
{'短评内容': '地理位置还好，不远处就是银座商城和超市，早餐也还不错，就是酒店较老，设施比较陈旧。', '短评打分': 5}
{'短评内容': '地理位置和环境都不错，服务不错,特别是餐厅服务满意。', '短评打分': 5}
{'短评内容': '化工宾馆交通便利，内部实施完备，房间内部摆布合理，宾馆服务一流，很适合旅游居住。', '短评打分': 5}
{'短评内容': '商务型酒店，感觉不错，早餐种类丰富。另外值得一提的是还提供了洗衣粉', '短评打分': 5}
{'短评内容': '卫生条件一般有很多蟑螂', '短评打分': 3}
