{'短评内容': '这个地段能订到这个价位的房间性价比还是蛮高的 设施也比较全面 就是厕所味道太大了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不爽', '短评打分': 1}
{'短评内容': '服务太差近环境不好', '短评打分': 1}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '酒店地理位置很方便，步行就可以到客户的公司。附近吃的逛的都有，性价比也比较高，下次来青岛还是会选择这家酒店。', '短评打分': 3}
{'短评内容': '总体不错，总体不错，总体不错，总体不错总体不错，总体不错总体不错，总体不错总体不错，总体不错总体不错，总体不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '很好很干净，价格很实惠，以后还会再来', '短评打分': 5}
{'短评内容': '老板给升了有窗户的，果然就是不一样。大床又软又大，躺着舒服。但还是要吐槽一下，那么大的房间厕所却狭窄，床头竟然没有灯的开关。更气人的是酒店位置不好找不好找，多亏百度地图，围着天泰金融广场转了两圈，进入的时候也很麻烦。电视基本不能用，漏了两集芈月。', '短评打分': 4}
{'短评内容': '还行，便宜。离办事的地方近。', '短评打分': 4}
{'短评内容': '这个季节青岛最超值的酒店了，景观相当的好', '短评打分': 5}
{'短评内容': '和招待所类似。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
