{'短评内容': '地理位置好，环境好，周边吃饭交通方便，服务热情周到，前台热情周到', '短评打分': 5}
{'短评内容': '干净，整觉，服务很好，早餐很好', '短评打分': 5}
{'短评内容': '房间干净整洁，交通方便，有停车位', '短评打分': 5}
{'短评内容': '还好，经济实惠', '短评打分': 4}
{'短评内容': '还好，对得起价位，位置也不错，有停车场，一家三口来的，经济实惠，会介绍朋友过来入住的，下次还有继续入住', '短评打分': 4}
{'短评内容': '有点无语', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '被子有点受潮了，服务员很不错', '短评打分': 4}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '还好，', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错，还可以，就是太贵了，不推荐', '短评打分': 3}
{'短评内容': '还可以！……………………', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '干净舒服，员工服务态度很好', '短评打分': 3}
{'短评内容': '地理位置稍微偏了些，隔壁装修，很吵。', '短评打分': 4}
