{'短评内容': '此房预订时不含早餐，但价位超值，服务不错，就是早上退房时，服务员查房占用了较多时间，有些不爽，其它都不错，能给5分我也不愿打消他们的积极性就给5分吧！', '短评打分': 5}
{'短评内容': '周边饭馆大排档多，内部设施陈旧，脏乱差!', '短评打分': 2}
{'短评内容': '环境，卫生都比较好', '短评打分': 5}
{'短评内容': '环境挺好，挺干净的，门口还有夜市', '短评打分': 5}
{'短评内容': '环境还不错，而且很经济实惠', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '价格太贵', '短评打分': 1}
{'短评内容': '房间设施老旧，没有电蚊香，卫生很一般。下次不会再去。', '短评打分': 3}
{'短评内容': '老酒店了，设施需要更新一下了，卫生条件还不错，服务员的质量很高，床单和被套更换及时。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以，基本设施都有，旁边就是烧烤夜市一条街，比较热闹', '短评打分': 3}
{'短评内容': '离景区都挺近的，干净卫生', '短评打分': 3}
{'短评内容': '很破 很偏 网上预定大床房 入住后发现窗子没有锁头 锁不上 外面是棚子也没有防护网 感觉很不安全就申请换房 被告知没有大床房了只能换标间双床 也可以 遂入住 发现空调和电视机遥控器都快没电了 很难操作 而且空调破旧不堪不但加热效果等同于0还连续不停的发出嘎吱嘎吱的声音 整整一宿 除此之外房门内测插销是坏的 从法上二道锁 最痛苦的还不止如此 标间两张床其中一张床垫是塌陷的 跟本没法入睡 我和妻子夜里', '短评打分': 2}
