{'短评内容': '酒店服务很好，周边环境在修路稍差', '短评打分': 5}
{'短评内容': '很晚到酒店，安排最后的一间房，要求换房，服务员态度恶劣，还主动说让我投诉她。酒店管理太差，服务团队不专业，连总经理都不管事，这种酒店还是少住，压根就是没有服务。极度差', '短评打分': 1}
{'短评内容': '还行吧，各种的细节还是服务很到位的，就是没我在早餐提供，位置比较的偏，门口在修路，入住率不是特别的好', '短评打分': 4}
{'短评内容': '还忙啊的，酒店房间比较的大，位置也蛮方便，就是门口在修路，稍微有点不是太干净，没有早餐，不是嗯好的吧', '短评打分': 4}
{'短评内容': '周边在建设，外围环境脏乱差。', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊啊吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊2', '短评打分': 5}
{'短评内容': '预定了说没有房，真是无语。', '短评打分': 5}
{'短评内容': '多住了一天  酒店周围环境一般   旁边有个麦德龙超市   酒店房间内部环境还可以', '短评打分': 5}
{'短评内容': '酒店房间  还算不错  早餐非常丰盛  不过要是夏天入住就可以无限冰激凌了', '短评打分': 5}
{'短评内容': '高档酒店，服务什么的都很棒，很享受，房间隔音很好，基本没有杂音！', '短评打分': 5}
{'短评内容': '不错，同一个日期，京东订的性价比最高。酒店客房老人小孩都说挺满意，早餐也不错', '短评打分': 5}
{'短评内容': '位置比较偏，周边环境不太好。外面江阳西路高架施工，灰尘飞扬且道路几乎7天拥堵。', '短评打分': 5}
{'短评内容': '不知道什么原因，酒店没拒绝了订单，此次没有成功预订。', '短评打分': 5}
{'短评内容': '到店后很意外有提供免费的晚餐，服务很满意。', '短评打分': 5}
{'短评内容': '还不错 可以', '短评打分': 5}
{'短评内容': '环境可以，服务太差，不符合喜来登水平，尤其是当晚值夜班的两个小伙子，素质只能说差！！！', '短评打分': 4}
{'短评内容': '房间很干净。入住时有惊喜，送了水果，美中不足，就是卫生间的洗脸台子小了。总的感觉还是不错的！', '短评打分': 5}
{'短评内容': '交通非常便利，设施非常齐全，服务非常周到', '短评打分': 5}
{'短评内容': '商务出差不错', '短评打分': 5}
{'短评内容': '早餐特别的好！', '短评打分': 4}
{'短评内容': '这次入住转角房间，两面是玻璃窗可以观景，可惜外面江阳西路高架施工，灰尘飞扬且道路几乎7天拥堵，出门开车右转再回来要20分钟。二楼的日料店价格在扬州本地算是偏高，但是菜色不多，刺身也不算新鲜。早餐品种还是比较少。作为SPG会员，有送咖啡一杯。酒店地面和地下的停车位太少，白天很难找到空位。', '短评打分': 4}
{'短评内容': '周边服务一般', '短评打分': 3}
{'短评内容': '位置有点偏', '短评打分': 5}
{'短评内容': '服务态度超好，如果在新区出差，不错的选择', '短评打分': 5}
{'短评内容': '作为商务酒店还算可以 地点离旅游景点有段距离 总之还是没有上海的好', '短评打分': 5}
{'短评内容': '酒店很好，价格也不错的', '短评打分': 5}
{'短评内容': '硬件、服务都不错，早餐也好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店的早餐很丰富，去常州玩瘦西湖的，但是酒店位置离瘦西湖有点远，打车特别难打，我们春节打车去瘦西湖都要加钱，不然不去，当地出租车管理很不规范', '短评打分': 5}
{'短评内容': '非常满意，特别喜欢这家的室内游泳池，水特别的干净清澈。就是吃饭不太方便，下次还会去。', '短评打分': 5}
{'短评内容': '服务很好，价格合适，安静\n但周围环境还有提升空间', '短评打分': 5}
{'短评内容': '位置偏了点，但是硬件和软件都很好，值得推荐。价格也适中', '短评打分': 5}
{'短评内容': '总体来说，不错的，2012年新投入使用的酒店，设备各方面都很新，就是位置偏点', '短评打分': 5}
{'短评内容': '第三次入住此酒店，不错！离市中心远点，不过好在前台帮忙叫车，还算是方便', '短评打分': 5}
{'短评内容': '总体来说不错，就是房价高些，服务生态度还可以，但开发票时前台开错了，出扬州时才来电说明情况，得寄回发票给他们，很是麻烦', '短评打分': 5}
{'短评内容': '酒店是新建议的，2012年才投入使用，服务不错，就是离市区远点，好在旁边有个麦德龙超市', '短评打分': 5}
{'短评内容': '酒店是新建的，环境不错，就是位置偏了点。服务生态度超好，行李忘记带走，能第一时间联系上并快递给我们，太感谢了', '短评打分': 5}
