{'短评内容': '酒店很安全，很干净', '短评打分': 5}
{'短评内容': '有车送机场，不错！就是晚上噪音大', '短评打分': 4}
{'短评内容': '加个公道，满意', '短评打分': 5}
{'短评内容': '特别好的酒店，服务态度好，离机场近，环境也不错，满分，', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '汉庭酒店没的说。一个字好。', '短评打分': 5}
{'短评内容': '京东订房很方便', '短评打分': 5}
{'短评内容': '住了好几次汉庭的首都机场店了，都非常满意，有机送机服务，各方面都不错~', '短评打分': 5}
{'短评内容': '机场里的酒店，一般般吧', '短评打分': 3}
{'短评内容': '有免费送机场的车，不错，挺方便的。周边又有饭店，超市，服务周到，我们是转天早上的飞机，告诉前台，做好登记就可以啦', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以吧     由于来也匆匆去也匆匆。', '短评打分': 4}
{'短评内容': '不错的酒店，干净卫生，交通也挺方便，下次还会选择这里', '短评打分': 5}
{'短评内容': '不错的酒店，干净卫生，交通也挺方便，下次还会选择这里', '短评打分': 5}
{'短评内容': '不错的酒店，干净卫生，交通也挺方便，下次还会选择这里', '短评打分': 5}
{'短评内容': '不错的酒店，干净卫生，交通也挺方便，下次还会选择这里', '短评打分': 5}
