{'短评内容': '马马虎虎还不错。。。。。。。。。。。。。。。……………………………………………………………………………………', '短评打分': 4}
{'短评内容': '位置很好，静', '短评打分': 4}
{'短评内容': '经常在这住，已经7年了，算是老顾客了。服务人员服务态度好，周边环境很好，这个价位，房间已经不错的了。', '短评打分': 5}
{'短评内容': '经常在这住，已经7年了，算是老顾客了。服务人员服务态度好，周边环境很好，这个价位，房间已经不错的了。', '短评打分': 4}
{'短评内容': '哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '有烟头', '短评打分': 2}
{'短评内容': '酒店比较老，设施比较旧，我的房间在一楼，出入方便。周围环境很安静。距离桂林旅步行10分钟，很方便，可以去逛街，觅食，哈哈', '短评打分': 4}
{'短评内容': '酒店比较老，但是离桂林路近，方便逛街。价格合理，整体信价比比较高', '短评打分': 4}
{'短评内容': '꾸이린루에서 노실분들 가격대비괜찮구요:) 가실때 세면도구는 꼭 다 챙겨가세요~', '短评打分': 4}
{'短评内容': '如果是夏天房间还算可以 但是冬天这酒店房间差透了 四处漏风 空调根本不好使  开一宿房间都不暖和 声音比拖拉机还大 唯一值得夸的就是服务员还挺好 有求必应 没有不耐烦  ', '短评打分': 2}
{'短评内容': '男前台服务态度差，房间电脑没有鼠标。。。4楼水压小。。。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '安静卫生购物便利', '短评打分': 5}
{'短评内容': '一直住她家', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还不错，特价时是不错的选择', '短评打分': 3}
{'短评内容': '感觉还不错 挺干净的 就是没有电梯 以及电视还是老式的 如果能更新下硬件就更好了', '短评打分': 5}
{'短评内容': '带母亲去吉大一院看病，定了这家酒店。整体感觉比较安静，比较舒服。只是服务员新换的被褥，看起来还是有些脏，说是洗不出来了，不久就要换新的，谁知道呢！褥子薄，感觉到弹簧就在身下。母亲对洗漱用品、拖鞋等备品收费感到不满意。总体还不错。', '短评打分': 5}
{'短评内容': '还可以吧，就是一百多的房间没有想象中的那样，虽然不贵，但是里面的毛巾拖鞋洗漱用品都是另收费的，不地道！房间隔音不好！', '短评打分': 3}
{'短评内容': '＋整体感觉不错…环境挺舒适的', '短评打分': 3}
{'短评内容': '环境挺好的，隔音也不错，就是没有电梯，当然楼层也不是很高，周围吃饭的地方挺多，交通也很方便，总体来说很不错的！！！', '短评打分': 5}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '便宜又离桂林路很近。很方便！环境也很好。服务态度也不错。喜欢喜欢', '短评打分': 5}
{'短评内容': '床不是很舒服~褥子很薄      能感觉到下面的弹簧~     但是地点还是不错的      也很干净 ', '短评打分': 5}
{'短评内容': '酒店十分干净，地理位置便捷，接待人员热情周到，适合旅行、商务', '短评打分': 5}
{'短评内容': '楼上不临街很静，有空调屋内很暖和，热水是电式热水器有一定量限，电视没几频道，服务人员态度很好，特别前台的一位小姐', '短评打分': 5}
{'短评内容': ' 酒店一般,刚来时安排在一楼,隔音不好,后要求调房,调后能安静些 床也大些。', '短评打分': 3}
{'短评内容': '＋整体感觉不错，挺干净的，就是走廊不太隔音，有点闹的感觉', '短评打分': 3}
{'短评内容': '不错，价格合理，但东西要收费，隔音效果不是太好，总体上过得去。', '短评打分': 5}
{'短评内容': '住在一楼有些吵，店员也不是很注意很大声的吵闹。而且房间里的东西大部分都要钱，住的时候最好问清楚了。', '短评打分': 3}
{'短评内容': '还可以  以前朋友住过   就这些吧，怎么还不够20字', '短评打分': 5}
{'短评内容': '房间很大，很舒服，暖气也很好，服务态度很好，就是房间隔音效果不太好', '短评打分': 5}
{'短评内容': '真的像以前网友评价的，酒店前台服务态度很不好，服务质量也不高。', '短评打分': 1}
{'短评内容': '真的挺一般的，没想象中的好。环境比较干净，有些旧了。该装修了。', '短评打分': 5}
{'短评内容': '位置在我自考考场正对面，非常便利，房间大小同如家差不多，蛮不错的', '短评打分': 5}
