{'短评内容': '还可以比较好走就在大润发附近！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '都还可以啦', '短评打分': 5}
{'短评内容': '总体的说还不错，工作人员很有礼貌。', '短评打分': 4}
{'短评内容': '还行，就这样', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '差水', '短评打分': 2}
{'短评内容': '凌晨去的，到第二天才差一个小时就收了我一天的费用，艹，当时给我说的是按我订的两天，结果第二天就问我是不是要退房了，辣鸡，', '短评打分': 3}
{'短评内容': '很好，大品牌，值得信赖，一直在京东购物，希望京东越来越强大', '短评打分': 5}
{'短评内容': '酒店卫生条件还不错，性价比高，交通方便', '短评打分': 5}
{'短评内容': '单间，整洁，没异味，服务态度也可以，第一次在京东定', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '相当差', '短评打分': 3}
{'短评内容': '酒店的设备太差了', '短评打分': 2}
{'短评内容': '还行挺不错', '短评打分': 4}
{'短评内容': '硬件齐全，有点旧，不过胜在便宜', '短评打分': 5}
{'短评内容': '一般般，就那样', '短评打分': 3}
{'短评内容': 'Hotel and its facilities are bit old such as air-con without hot air.   there are plentiful restraunts and shops nearby.    ', '短评打分': 4}
{'短评内容': '总体感觉一般般', '短评打分': 4}
{'短评内容': '位置不错，附近就是大润发，整体性价比较高。', '短评打分': 3}
{'短评内容': '忠实客户，主了很多天拉！', '短评打分': 3}
{'短评内容': '不错，值得住，就是电脑用不了！', '短评打分': 3}
{'短评内容': '房间环境还是不错的，不会很旧，非常不好的是工作人员的素质有待提高，入住时电梯口有一保安脱了鞋子躺在厅堂沙发里，那是一股何其恶心的臭。。。。，早上还看见服务员半裸上身穿着一条短裤在收拾。。。哎，希望他们能注意这方面，最起码的总该做好先。', '短评打分': 1}
{'短评内容': '房间很大，挺干净！在长安算是性价比不错的酒店，其实去深圳住这也不错', '短评打分': 5}
{'短评内容': '很好房间很大很干净', '短评打分': 3}
{'短评内容': '还好，对得起价钱吧', '短评打分': 3}
{'短评内容': '位置有点偏，但靠近大润发，周边的设施也还行！房间也不错！', '短评打分': 5}
{'短评内容': '安静卫生，感觉挺不错的，推荐。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间很大 设施比较齐全\n但是细节做得很不好\n比如 网线给我两条都是坏的 不能上网(后来我用自己的原装机压网线)\n被子有烟味\n窗玻璃被风吹的咣咣响(那天刚好刮台风)', '短评打分': 5}
{'短评内容': '挺实惠的 出行也方便 不远就有大润发超市 房间很干净 但是一进门就有很重的异味 开窗通风 把空调打开后才好些', '短评打分': 5}
{'短评内容': '没有酒店厨房,不提供早餐,不太方便', '短评打分': 3}
{'短评内容': '双人房，还可以啦，就是被子有些薄，晚上会冷', '短评打分': 5}
{'短评内容': '缺點是位置有些偏,其他還好，對於去工廠區公幹來説，還算可以吧', '短评打分': 5}
{'短评内容': '还可以，商务入住算适合的，离镇中心有一点远，出租车不打表~~', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '电话机上、冲凉房内沐浴露上都有头发，希望下不为例。', '短评打分': 5}
{'短评内容': '酒店还可以，服务差了点儿，服务员见了客人都不理的，很尴尬。', '短评打分': 5}
{'短评内容': '就是住的地方有点高', '短评打分': 5}
{'短评内容': '这家酒店的住宿条件还可以，卫生打扫比较干净，设施方面该有的都有了，酒店的位置太偏，交通不是很便利，价格方面倒是还比较合适的。', '短评打分': 5}
{'短评内容': '地点离镇中心有点远，旁边有超市，房间很大，床上用品有些旧，还不错', '短评打分': 5}
{'短评内容': '床上用品有些陈旧了，卫生间的淋浴应该配个防滑垫，房间很大，性价比不错。', '短评打分': 5}
{'短评内容': '离我出差地方很近， 吃饭方便', '短评打分': 5}
{'短评内容': '这次还可以，没有什么情况发生', '短评打分': 5}
{'短评内容': '商务出差还可以，性价比不错。', '短评打分': 5}
{'短评内容': '性价比不错，楼下有吃饭的地方，不远处还有药店，只是网络速度比较慢。如果还在长安出差，会考虑再次入住。', '短评打分': 5}
{'短评内容': '好像有跟平常住戶混在一起，感覺不太對!基本上住起來還可以，但與其他價格較低的酒店比起來，性價比就有點差了。', '短评打分': 1}
{'短评内容': '这次入住有些问题要反映，一开始前台开房时给我的是1119，但到楼上发现电子门锁打不开，服务员也不行。后来改到1111，门也不太容易打开，且厕所淋浴漏水严重，请重视。', '短评打分': 5}
{'短评内容': '还算不错，大润发在出门右转500米左右，吃饭的地方也很多，适合商旅。', '短评打分': 5}
{'短评内容': '房间看上去窄了点~~~但住下挺温馨舒适的~~~', '短评打分': 5}
{'短评内容': '不错 环境很好。。。。很干净 价格感觉要是在150就醉咯～', '短评打分': 5}
{'短评内容': '地外长安乌沙。不算偏吧。比较干净，房间较大，性价比较高。可以选择。', '短评打分': 3}
