{'短评内容': '很不错的选择，方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总的来说一般，这个价位比同级算好，些', '短评打分': 3}
{'短评内容': '没有早餐，位置还可以到地铁站要走800米左右，房间烟味太大熏的够呛一夜没睡好！', '短评打分': 3}
{'短评内容': '总体来说还是不错的，牙杯换成玻璃杯会更好。（个人不喜欢一次性纸杯）。', '短评打分': 4}
{'短评内容': '常帮人订这里，距离铁路局很近', '短评打分': 5}
{'短评内容': '还行 不是很吵', '短评打分': 4}
{'短评内容': '就是住在靠路边的房间，有些吵，其他都不错', '短评打分': 5}
{'短评内容': '晚上房间后面有施工..很吵很吵..差评..位置也很偏..慎重选择', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好久没住连锁酒店了，图的是办事方便！', '短评打分': 4}
{'短评内容': '环境很好，离外滩不算远，房间环境也好', '短评打分': 5}
{'短评内容': '环境还不错。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常的方便，出门就是地铁口了！', '短评打分': 5}
{'短评内容': '还不错！性价比高！', '短评打分': 4}
{'短评内容': '交通挺便捷的，周围环境也还算安静。', '短评打分': 5}
{'短评内容': '酒店离七浦路挺近的，附近有4号线到火车站，10号线到南京东路，女朋友去逛街挺好，房间很干净隔音效果有点不大好，总之还不错，好评...', '短评打分': 5}
{'短评内容': '很实惠的价格，很好的地段，房间干净整洁，以后也会来的。', '短评打分': 5}
{'短评内容': '离外滩较近，步行过去20分钟左右。打的在起步价。离地铁站也比较近，出行方便。四川路、南京路也在附近。还有武进路上的小龙虾，味道也不错。', '短评打分': 5}
{'短评内容': '酒店地理位置优越，大堂明亮气派，酒店房间设施齐全，宽带上网免费，服务员热情周到，出行也很方便', '短评打分': 5}
{'短评内容': '性价比很高，但是位置不是很好，离市中心还有些距离。设施也太陈旧了。不过餐厅很棒，物美价廉', '短评打分': 5}
{'短评内容': '离地铁站很近，挺舒服，安静，装修也很好，刷卡上电梯。', '短评打分': 5}
{'短评内容': '还行，性价比较高', '短评打分': 3}
{'短评内容': '比原先预想的要好!qqqqqqqqqqqqqqqqqqqqqqqqqq', '短评打分': 5}
{'短评内容': '酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。', '短评打分': 5}
{'短评内容': '房间很旧，空调声巨大，浴室的门不可思议的往里拉，却无任何拉手，差点出不来。', '短评打分': 3}
{'短评内容': '与网上展示的差距较大，服务不如如家全面周到。', '短评打分': 3}
{'短评内容': '交通方便；性价比高；电梯用房卡控制，安全度高。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '金玉其外败絮其内', '短评打分': 3}
{'短评内容': '交通便捷，周边商店很多，餐饮方便，房间卫生干净，服务态度很好', '短评打分': 5}
{'短评内容': '给朋友订的！他们很满意！我也一直非常信赖莫泰168！', '短评打分': 5}
{'短评内容': '一如既往。。。。。。。。。。。。。。。。。。。。。。。。。。。。的好', '短评打分': 5}
{'短评内容': '蛮好，很方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '装修不错', '短评打分': 3}
{'短评内容': ',酒店设施一般，房间不大。但位置好，离地铁口很近。早餐另加钱，15元。', '短评打分': 3}
{'短评内容': '购物交通都非常方便，只是不太好找，经济实惠的酒店', '短评打分': 5}
{'短评内容': '性价比较高，交通方便，下次来还会住在这里。', '短评打分': 5}
{'短评内容': '最近一直在那边住宿 ，而且都是特价房，便宜、条件也可以。周边交通超方便，地铁4号线就在旁边。总体满意', '短评打分': 5}
{'短评内容': '最近一直在那边住宿 ，而且都是特价房，便宜、条件也可以。周边交通超方便，地铁4号线就在旁边‘。总体满意', '短评打分': 5}
{'短评内容': '很好地理位置很好每次都住这里的', '短评打分': 3}
{'短评内容': '非常实惠，性价比高', '短评打分': 3}
{'短评内容': '交通便利，经济实惠', '短评打分': 3}
{'短评内容': '走进去一股烟味，在马路边上太吵了,而且网上地址和实际地址不相符，找了半天才找到', '短评打分': 1}
{'短评内容': '交通便利，周边购物用餐方便，酒店应该新装修，房间虽然小，也算不错了', '短评打分': 5}
{'短评内容': '房间不错。卫生干净，离商业区很近，购物方便', '短评打分': 5}
{'短评内容': '地理位置不错，离七浦路服装城很近，到上海火车站也不远', '短评打分': 5}
{'短评内容': '地理位置非常好，出行比较方便，离七浦路服装城很近，就是房间有点小', '短评打分': 5}
{'短评内容': '酒店有提供15元的早餐很不错的', '短评打分': 3}
{'短评内容': '特价的房间实在有点小，不错作为出差的人来说，只要是不会客就是物超所值了。旁边有个市场，大排档什么的非常的经济，如果不是繁忙的商务活动，住几天体验上海居民的风情就太好了。', '短评打分': 5}
{'短评内容': '还不错，也比较卫生，服务也可以，价格也比较合理，下回还会入住', '短评打分': 3}
{'短评内容': '没什么亮点，还不错。就是床要再大点就好了。', '短评打分': 5}
{'短评内容': ' 很干净 窗也挺大 下次来还会订', '短评打分': 3}
{'短评内容': '特价房窗户靠路边很吵，房间也小，地势还是不错的', '短评打分': 3}
{'短评内容': '同行的很多朋友一起入住的。大号的房间就很宽敞，小号的房间小的离谱，进门一个小走道就是床了。大号的房间就非常宽敞。因为房间没有真正的窗户，所以很潮湿，通风很不好，一进门就有一股子怪味。隔音还非常不好，隔壁稍微大声说点神马，都听的很清楚。汗·更可恶的是，入住的时候酒店在施工，居然一大早7点多就开始电钻启动，这让大家都很反感，很糟糕！！！', '短评打分': 5}
{'短评内容': '在一楼的最拐角，感觉阴暗，没有真正的窗户，有些许潮湿。不过房间还是很宽敞的。', '短评打分': 5}
{'短评内容': '有些细节有点小瑕疵！！！！但总体上还行，住着比较安全！！！', '短评打分': 5}
{'短评内容': '特价大床房比想象中好太多了，没有大家说的那么不堪。总体还比较干净，离七浦路也比较近，周围吃的也很多。不足就是洗手间的台子有点脏，隔音比较差，其他都还好，值得一住。', '短评打分': 5}
{'短评内容': '住好多次了，很好，经济实惠交通方便', '短评打分': 3}
{'短评内容': '极小，极阴暗，果然是特价房', '短评打分': 3}
{'短评内容': '很好的服务，我也很满意。以后朋友来还会住这里的。', '短评打分': 5}
{'短评内容': '房间中规中矩,位置是可以的,在上海这个价位只能这么的了.\n但唯一觉得可惜的是一楼没有真正的窗户.', '短评打分': 5}
{'短评内容': '服务态度差~环境也差~这是我住过最差的莫泰', '短评打分': 1}
{'短评内容': '服务态度差~房间又烂~空气不流通~这是我住过最差的莫泰', '短评打分': 1}
{'短评内容': '房间还可以，附近商业群落不多，地点不是太好。', '短评打分': 5}
{'短评内容': '挺好的，地段也不错，离七浦路很近，刚好想逛七浦路，住这里是挺划算的，呵呵', '短评打分': 5}
{'短评内容': '酒店因为是在网上订的，所以刚去的时候，服务员就给我们一个很小的房间，而且里面很矮，里面墙上脏，后来反映了这个问题，所以给我们换了一个房间在10楼，这才住的比较舒服，房间里面空调声非常大，洗澡的地方有点透明，如果不是情侣的男女朋友住的话，请考虑清楚', '短评打分': 1}
{'短评内容': '虽然是特价房，但是整体还可以，关键是别住靠马路边的房间，否则会很吵。 \n', '短评打分': 5}
{'短评内容': '宾馆服务态度不错，网络中间出了点问题，但是维修师傅态度很好的修复了。', '短评打分': 5}
{'短评内容': '一般般，水不是很热', '短评打分': 3}
{'短评内容': '酒店交通很方便', '短评打分': 3}
{'短评内容': '交通方便；性价比高；上电梯用房卡控制，安全度高。', '短评打分': 5}
{'短评内容': '服务不错！', '短评打分': 3}
{'短评内容': '还算干净..就是稍微小了点特价房~HOHO~~', '短评打分': 5}
{'短评内容': '1. 酒店地理位置非常便利，步行到最近的地铁站（3，4号宝山路）只有5分钟时间\n2. 房间不错，我们订了特价大床后来到酒店转成大床房，房间大小不错。\n3. 房间内设施都是标准设施，枕头不舒服，有些影响睡眠。\n4. 没有住特价大床房的原因是特价大床房在1楼，房间很潮湿\n', '短评打分': 5}
{'短评内容': '早上入住的，等了好久，房间小了点，就是办事方便。', '短评打分': 3}
{'短评内容': '住宿还可以 离地铁站很近 很方便\n就是空调的声音比较响', '短评打分': 5}
{'短评内容': '房间很干净，周围很多饭店,出行也方便,很满意。', '短评打分': 3}
{'短评内容': ' 房间有点小  其他还好', '短评打分': 3}
{'短评内容': '地段可以', '短评打分': 3}
{'短评内容': '电话已预约后又变动价格而且无早餐。\r\n签名:OPPO F15', '短评打分': 3}
{'短评内容': '刚入住目前感觉还不错', '短评打分': 3}
{'短评内容': '  还好', '短评打分': 3}
{'短评内容': '他的特价房是专门的房间，和正常房间时区分的。在一楼，感觉像地下室的员工专用房间一样，很破旧。就是地理位置很好。', '短评打分': 1}
{'短评内容': '公司客户都介绍到这里，交通便利，新酒店值得！', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，餐饮一般，值得推荐！', '短评打分': 5}
