{'短评内容': '非常值得推荐', '短评打分': 5}
{'短评内容': '早餐差了点，选择性太少。房间挺好的。酒店四周吃的东西不少', '短评打分': 5}
{'短评内容': '卫生环境位置早餐非常好', '短评打分': 5}
{'短评内容': '环境卫生空气非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很实惠', '短评打分': 5}
{'短评内容': '不错环境不错', '短评打分': 5}
{'短评内容': '第一次用感觉不错', '短评打分': 5}
{'短评内容': '地段好，对面茂业中心没几步就是地铁，楼下有停车场和全家还有很大一家水果超市\n前台开始给的房间好吵后来换了一间还不错，清洁效率快，服务到位，浴室蛮灵咯有情趣，送的一罐茶叶闻着蛮香的喝起来一般\n最重要的是性价比可以', '短评打分': 5}
{'短评内容': '服务质量很好', '短评打分': 5}
{'短评内容': '挺不错的，出了点小状况，马上就换房了，房间干净整洁。', '短评打分': 5}
{'短评内容': '服务员态度很好，房间干净！不错', '短评打分': 5}
{'短评内容': '房间很干净 附近吃饭也方便', '短评打分': 5}
{'短评内容': '很好的酒店，下次出差就住这里', '短评打分': 5}
{'短评内容': '卫生，便捷，工作人员都很热情，各方面都挺不错的', '短评打分': 5}
{'短评内容': '和同事一起订的，大家住的都很开心，性价比很高，卫生安静', '短评打分': 5}
{'短评内容': '很好的酒店，性价比很高，新装修的，不过一点味道也没有，对面就是茂业百货，吃饭逛街很方便', '短评打分': 5}
{'短评内容': '酒店太老了，不会再住了', '短评打分': 3}
{'短评内容': '出行方便', '短评打分': 5}
{'短评内容': '出行方便', '短评打分': 5}
{'短评内容': '大堂比较宽敞，只是房间有年代了，地毯的颜色也已经很旧了', '短评打分': 5}
{'短评内容': '交通方便，酒店设施比较老', '短评打分': 5}
{'短评内容': '价格和地段都还行，如果需要在太湖广场附近的话。不过早餐，房间味道，空调，床垫和被子真的不敢恭维。', '短评打分': 5}
{'短评内容': '位置不错出行还算方便 房间挺新的 也比较宽敞干净 还会入住的', '短评打分': 5}
{'短评内容': '服务和早餐都很差  不值这个价钱，房间的马桶也不是很好用', '短评打分': 1}
{'短评内容': '觉得这家酒店的服务很差，早餐也很不好，房间的马桶也不是很好，这个价钱没有得到相应的服务', '短评打分': 1}
{'短评内容': '订了两晚，只往了一晚，异味，隔音极差，竟有很多旅行团同时入住！房间网线还坏掉了！周围修路。很失策选这里住，唯一可安慰的就是去鼋头渚还挺好走。', '短评打分': 1}
{'短评内容': '房间有味道 墙纸都快脱落了 感觉不好 不过服务态度还好', '短评打分': 3}
{'短评内容': '不错！就是周边在施工环境比较差些，早餐东西少了些！', '短评打分': 3}
{'短评内容': '很好；就是那边现在在修路，打车不好打；早餐的培根 烤的不够脆，呵呵....不过还是会推荐这个酒店', '短评打分': 5}
{'短评内容': '价格稍微高了一点，房间里有很大的味道。240左右还差不多，', '短评打分': 5}
{'短评内容': '干净，简洁，服务态度不错。也是太简洁，房间里太简单，没水没饮料，连抽纸都没有；早餐太简单！', '短评打分': 3}
{'短评内容': '酒店环境尚可，晚餐较丰富，但早餐品种太少，希望酒店能够增加早餐品种，以达到四星级酒店的水准。', '短评打分': 5}
{'短评内容': '地理位置较好，客房卫生条件不错，晚餐菜肴质量和价格都比较满意，下次来无锡还会选择这家酒店', '短评打分': 5}
{'短评内容': '不错的一家酒店，价格适中，下次来还会入住', '短评打分': 5}
{'短评内容': '地点方便，条件不错。价格比较公道，服务也还可以，总之还是很不错的啦！', '短评打分': 5}
{'短评内容': '该酒店是我第二次入住，酒店硬件条件一般，交通比较便利，酒店就餐环境较好，菜肴质量也不错，如果下次有可能还会入住。', '短评打分': 5}
{'短评内容': '酒店交通便利，卫生条件还不错。不过正值地铁施工，有噪音。', '短评打分': 5}
{'短评内容': '位于南长区，交通较便利。不过正值无锡修建地铁，酒店周围被施工围闭。酒店房间较宽敞，卫生条件还行，就是房间灯光偏暗点，总体来说性价比较好。', '短评打分': 5}
{'短评内容': '这个酒店值这个价格 总体装修有三星水平 早饭还凑合 餐厅的价格有五星的 房间灯光较暗 卫生间比较干净 ', '短评打分': 5}
{'短评内容': '赶上 地铁晚上施工，太扰民了，真是郁闷， 酒店积极给更换客房，服务还满意.\n希望下次再去无锡 地铁能够竣工，酒店设施和服务都很满意 房间大床房 很舒适。\n\n', '短评打分': 5}
{'短评内容': '设施比较陈旧，早饭有点简单，边上正在修路，有点闹啊', '短评打分': 5}
{'短评内容': '性价比还不错，挺安静的，床铺很硬，睡到不舒服，早饭还可以。附近在修路，比较脏', '短评打分': 5}
{'短评内容': '感觉还可以，就是周围正在修地铁，感觉交通不是太方便', '短评打分': 5}
{'短评内容': '酒店的设施还好，网络开始不好，但客服态度很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐好装修一般', '短评打分': 5}
{'短评内容': '服务很热情周到，管理方面很到位，性价比合适，餐厅卫生较好', '短评打分': 5}
{'短评内容': '房间硬件设施齐全，卫生条件不错，很干净，住宿环境还可以', '短评打分': 5}
