{'短评内容': '安全、整洁', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '早餐很好', '短评打分': 5}
{'短评内容': '性价比好高，餐厅伙食很不错', '短评打分': 5}
{'短评内容': '新装修的餐厅，早餐不错', '短评打分': 5}
{'短评内容': '位置很不错，出行方便…这是第二次入住，感觉在北京能找到设施齐全在这个价位的酒店真的是不多！我是自己的亲身体验，推荐朋友们入住', '短评打分': 5}
{'短评内容': '下次不住。', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '少去为妙。', '短评打分': 2}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '环境和卫生都不错', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 4}
{'短评内容': '网络实在太差  基本半小时断一次断了就断了 无语', '短评打分': 3}
{'短评内容': '设施显旧，位置较好', '短评打分': 3}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '环境、地理位置、价格都非常不错，只是在通过携程续住手续以及订的房间没有进行更换时居然没有和app同步。', '短评打分': 5}
{'短评内容': '位置很好，交通很方便，走路去长安街和建国门地铁站最多十分钟。\n室内空调很凉快，也很安静，前台小姑娘服务态度很好很热情。房间有独立卫生间，干湿分离，还有网线。\n不足之处就是室内空间小了一点，总体还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置、卫生条件可以，就是稍不好找一些。另出行打出租汽车不太方便。北京出租汽车搭载比较严重。', '短评打分': 5}
{'短评内容': '就是房间有点小，吃饭也算一般。在小胡同里面，不太好找', '短评打分': 5}
{'短评内容': '位置不错，到天安门、王府井都方便，离建国门地铁站也近。就是房间偏小。', '短评打分': 5}
{'短评内容': '酒店不错，价格还行，就是有点背，不好找，从火车站打的司机不愿意去。', '短评打分': 5}
{'短评内容': '位置不错，新近装修，服务可以，但装修气味仍然在。', '短评打分': 5}
{'短评内容': '位置不错，新近装修（装修气味仍然在），服务可以，历史景点。', '短评打分': 5}
{'短评内容': '酒店很干净，离北京站很近，下次来还住这', '短评打分': 3}
{'短评内容': '选的东楼标准间，是它的普标，房间小点，安静、干净。牙刷是软毛的，可见细节到位。离建国门站挺近的。', '短评打分': 3}
{'短评内容': '\n不错，干净，交通也方便，离建国门地铁站不远', '短评打分': 3}
{'短评内容': '就那样吧、小旅店一样、前台服务还可以、就是之前想给客房打个电话要双拖鞋、结果好像是他们电话窜线、是大堂副理接的还是个男的、那态度真是不敢恭维难道很有礼貌的告诉我打错了很难吗、我花钱是买你的气受吗？其他都很好、不是星级酒店就是个小旅店啊.....住不住你们自己掂量吧......', '短评打分': 5}
{'短评内容': '这个酒店位置可以，与长安街也不远，10分钟路程。酒店内比较干净。\n酒店周围环境好，服务不错，赞一个。', '短评打分': 5}
{'短评内容': '环境不错，比较满意。', '短评打分': 3}
{'短评内容': ' 不能算四星，比如家略好。', '短评打分': 3}
{'短评内容': '我在高铁上，火车在天津地方停驶已经三小时了，不能在预订时间到酒店，不知道赵家楼会不会给取消掉，也没有电话来确认', '短评打分': 3}
{'短评内容': '服务态度很好，房间很干净，虽然一开始住的那个屋子因为电闸有点问题，跳了几次闸，反应过后很痛快的给我换了房间，服务态度值得肯定，\n美中不足的是不太好找，还有就是配套服务稍有不足。下了飞机想做足疗可是打电话一直没有人听。', '短评打分': 5}
{'短评内容': '装修完挺好.干净。并且饭厅吃的挺好，卫生', '短评打分': 5}
{'短评内容': '不太好找，服务很好', '短评打分': 3}
{'短评内容': '有点难找，环境一般，性价比不高，不如住经济连锁酒店。晚上十一点半到，临时也不太方便换。', '短评打分': 3}
{'短评内容': '不错，环境还很好，就是里地铁站不算太近。如果不带小孩还挺方便。', '短评打分': 5}
{'短评内容': '房间干净，安静，一个人住，没有商务活动足够，下次可再住。', '短评打分': 5}
{'短评内容': '10.1期间去的,位置确实不错~~离地铁站和北京站都不算远~~但是是在小胡同里~~很难找~~~第一次去的话估计很难找到~~~房间不是一般的小~~~床也不是一般的小~~~都是非常小~~~感觉和香港华逸\\盛逸差不多~~~卫生还是可以的~~~', '短评打分': 5}
{'短评内容': '服务较好，价格也公道，地理位置不错，是家庭去北京比较经济的选择', '短评打分': 5}
{'短评内容': '位置方便，卫生还不错，下次去会考虑，离北京火车站比较近。', '短评打分': 5}
{'短评内容': '不错的酒店，位置不错，服务不错，环境也不错 就是住的西楼窗外有点吵，可能是中央空调的声音。', '短评打分': 5}
{'短评内容': '条件特差，房间小，窗户被边上的房子堵死，房间霉味刺鼻', '短评打分': 1}
{'短评内容': '很好的饭店。  绝对是物有所值。 交通便利。 属于那种不出名但很精的酒店', '短评打分': 5}
{'短评内容': '新装修过，卫生很好，服务也不错，但是房间和床都很小。', '短评打分': 3}
{'短评内容': '是部队招待所，在小胡同里，不太好找，但是找到后还算方便，离北京站，长安街都不远', '短评打分': 5}
{'短评内容': '好非常好 非常好 非常好 好非常好非常好非常好好非常好非常好非常好好非常好非常好非常好位置非常好服务也很好', '短评打分': 5}
{'短评内容': '服务态度很好，比较干净', '短评打分': 3}
{'短评内容': '离建国门地铁站很近，交通方便。饭店卫生还可以，因是北京军区的招待所，安全方面应该很好！只是里面饭菜很一般。', '短评打分': 5}
{'短评内容': '服务态度和设施不错，就是东楼太吵', '短评打分': 3}
{'短评内容': '酒店，交通方便，北京西站坐99路到北京站东下，路对面100米，很方便，闹中取静，很不错', '短评打分': 5}
{'短评内容': '久闻此酒店大名。原定入住一天，后加住一天。位置其实非常好找，就在海关大楼正对面的贡院街里面的一条横街上（若从长安街上找进去的话）。酒店不大，但精致；房间显小，但干净整洁；服务女生专业素质很高，微笑很真诚。尤其一点的是，前台边有个专门答疑的服务，这对于初到北京的人们的出行，帮助很大，给人印象深刻。餐厅菜品很多，口味也好。此外，酒店离建国门地铁站非常近，也就十来分钟路程。', '短评打分': 5}
{'短评内容': '除了燥音有点大，说是空调的声音，其它没什么。特别干净，每天还赠送两瓶水，很周到，服务员态度也不错。', '短评打分': 5}
{'短评内容': '卫生干净，服务周到，位置优越。唯房间小了一些。', '短评打分': 5}
{'短评内容': '环境不错，服务员的素质不高，卫生一般，清洁都不擦地板，每天都有前几天留下的头发啊什么的，最惨的是一早出去，下午四点多回来开门看见房间没有整理打扫，，叫服务员打扫，还说等一下我们很忙，，超差啊。性价比还可以，房间的设施还好。', '短评打分': 5}
{'短评内容': '在赵家楼住了5个晚上,谈点体会:地理位置不错,在二环内;交通稍微有点不便,出门叫不到出租车,叫出租回酒店,要么说不认识去赵家楼的路,要么就直接说不去,这不能怪酒店,只能说北京的出租车驾驶员素质不高,但这也影响了住店.地铁稍远了点.客房:我是在网上订了两间房,住店时给了我东西走廊的两个头,很不方便,想换房说已经没房了,可能网上订房比较便宜,所以给的房型就差一点.卫生还是不错的.餐厅的菜不错,性价比挺', '短评打分': 5}
{'短评内容': '下次来北京还会来的，餐厅也不错，挺意外的！！', '短评打分': 5}
{'短评内容': '赵家楼饭店交通位置很好，出行很方便，离地铁站与公交站都很近，去王府井和天安门很方便，卫生条件也比较好，推荐入住。', '短评打分': 5}
{'短评内容': '比想象中好很多！！非常推荐！位置也很好！！', '短评打分': 5}
{'短评内容': '位置还算不错、卫生及服务都挺好、价格合适。但洗澡间的水会漏到整个门厅是个遗憾。我住了4天，有机会也许还会去', '短评打分': 5}
{'短评内容': '安静，舒适，干净，地方不太好找，交通很方便', '短评打分': 5}
{'短评内容': '是去巴西大使馆办签证，离着倒是近便，但是就是酒店位置不太好找~', '短评打分': 5}
{'短评内容': '好的方面:1.酒店位置非常好,离地铁,机场巴士站,天安门故宫景点比较近;2.房间虽小但比较干净,特别是淋浴水流大且有大型花洒喷头;3.附属餐厅口味不错且量大价格实惠.\n不足的方面:1.前台人员服务意识比较差,如结账的时候没有主动询问客户用何种方式结,发生错误后又很不耐烦对待客户;2.餐厅的上菜流程有点乱,饭都吃完了还有一个菜没上,经向服务员联系也没任何答复,连结账叫了半天也没人搭理,最后自己去服务', '短评打分': 5}
{'短评内容': '干净，很精致。是军分区招待所，还在内城区。价格不贵。强烈推荐此饭店。\n内置餐厅价格适中，房间稍微小了点。\n服务员素质很高。很亲切。\n下次我到北京，还会住这个饭店\n离王府井10分钟路程。', '短评打分': 5}
{'短评内容': '4星级的酒店有点名不副实.房间很小.不过很干净整洁.酒店的服务员态度比较好,够星级的了.最令人遗憾的是大堂里卖火车票飞机票的小姐,兼售北京一日游啥的.我以为街上发的小广告不可靠,结果是四星级宾馆报名的同样是蒙人的黑旅行社.一天带我们去了3个购物点,在正规景点呆的时间超少,又让我们自费去了一个人造景点.最后把我们扔在了玉器黑店里,而且黑店还是电视上暴光过的那种.无语.', '短评打分': 5}
