{'短评内容': '早餐黑米粥有股霉味', '短评打分': 4}
{'短评内容': '环境优美，温泉棒', '短评打分': 5}
{'短评内容': '环境优雅，早餐丰富', '短评打分': 5}
{'短评内容': '硬件不错，但卫生真的是不怎么样，边边角角都没有干净，尤其是垃圾桶还有之前客人吐过还是什么的印记。牙具还不错软毛的', '短评打分': 4}
{'短评内容': '早餐不错，温泉泡澡', '短评打分': 5}
{'短评内容': '非常好，去了应该不会后悔，值得第二次', '短评打分': 5}
{'短评内容': '环境很好，价格实惠。就是汤屋有点小贵。。。不过下次还再来。武功山没意思，就是光秃秃的。。再也不来了脚也有断了', '短评打分': 5}
{'短评内容': '酒店各个方面都不错，温泉尤其好，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，就是交通不是很方便！', '短评打分': 5}
{'短评内容': '服务太差，带孩子来玩，要瓶水居然要钱', '短评打分': 1}
{'短评内容': '很好！虽然远了点，还是很值得的，酒店的房间，晚餐！早餐！温泉！服务！都超级棒！唯一是碰上国庆，周边鞭炮声奏乐声不停，要是安静一点作为度假村就完美了！', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '人不多，环境不错，非常安逸，舒服～', '短评打分': 5}
{'短评内容': '很好房间干净清洁，温泉很不错。携程确实方便，没有提前预订房间，到了温房再打电话到携程预订也很快安排入住，费了不少房费。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '地理位置很偏僻，酒店装修不错，但是服务水平很糟糕！\n\n不推荐去入住。尤其是前台服务人员，素质有待提高！', '短评打分': 1}
{'短评内容': '酒店的服务和硬件确实与五星级酒店还是匹配的，一家人都很满意。可惜的是酒店费用里不包含温泉，去泡温泉是需要另外买票滴，感觉有点小贵。', '短评打分': 5}
