{'短评内容': '给孩子看漫展订的，环境不错，房间特大，孩子很喜欢', '短评打分': 5}
{'短评内容': '各方面都还不错，就是没有喝茶时用的座椅。稍显遗憾。', '短评打分': 5}
{'短评内容': '挺干净的，就是设施有点久了', '短评打分': 4}
{'短评内容': '可以免费停车', '短评打分': 5}
{'短评内容': '早餐就是简单的，就那四五种吃的。要是有金卡以上会员还是用卡到店里预订，比网上的便宜，还送早餐。我网上定的贵，早餐还得另外花钱', '短评打分': 4}
{'短评内容': '很不错，绝对超值！！！！！', '短评打分': 5}
{'短评内容': '一般般，房间还可以，床的舒适度也行，就是无洗衣服务', '短评打分': 5}
{'短评内容': '很好 不错的跟 好评啊啊啊', '短评打分': 5}
{'短评内容': '办理入住很方便！', '短评打分': 5}
{'短评内容': '速度快，干净', '短评打分': 5}
{'短评内容': '环境不错，房间也很大，就是设施比较简陋。', '短评打分': 5}
{'短评内容': '服务挺好', '短评打分': 5}
{'短评内容': '房间干净安静，整体服务好，结账快，房价适中。缺点嘛房间的装修太陈旧了，电视没几个台不说还是老古董电子管的，一部电梯（二楼有健身房）让人等待太久，想办法改进吧', '短评打分': 5}
{'短评内容': '非常不错，好评', '短评打分': 5}
{'短评内容': '招待朋友，反馈不错', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '非常非常好，下次还来的', '短评打分': 5}
{'短评内容': '代别人预定的，还可以吧。', '短评打分': 5}
{'短评内容': '房间干净卫生。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般般啦', '短评打分': 3}
{'短评内容': '房间很大，但不知道为什么那天的水量很小也不是很热，感觉洗澡不是很舒服。不过以这个价位在南站起这个地理位置能有这么一件大房间还是很不错的！', '短评打分': 5}
{'短评内容': '主要是位置比较合适，其他的也就是便捷酒店的水平，电视机太小了，虽然没怎么看，但业不至于弄那么小的    ', '短评打分': 5}
{'短评内容': '卫生情况比想象中好', '短评打分': 4}
{'短评内容': '这个位置这个价钱，只能说凑合了。', '短评打分': 4}
{'短评内容': '还行，比较干净，也很安静！', '短评打分': 5}
{'短评内容': '总体还算可以，环境、服务一般，毕竟是上海，这价格还算可以。', '短评打分': 5}
{'短评内容': '汉庭还是不错的，干净整洁，还送2瓶冰露，我要求下午2点退房也完全满足。就是一次性拖鞋的味道比较重。下次还会住。', '短评打分': 3}
{'短评内容': '酒店服务员态度好,房间安静。就是位置不太好找。', '短评打分': 3}
{'短评内容': '去的时候，新开2个月，设施不错。就是靠西门大路那边的房有点吵。总体还OK', '短评打分': 5}
{'短评内容': '好，就是隔音不太好，早晨外面说话很吵', '短评打分': 3}
{'短评内容': '在这个价位下应该有更好的住宿环境，内部不仅小，而且不是很干净。', '短评打分': 1}
{'短评内容': '整体不错，优点就是比较便宜，服务态度挺好，缺点就是空调声音大的像柴油发动机，隔音效果也不好', '短评打分': 5}
{'短评内容': '房间还挺大，就是光线太暗了点，没法看书。价格有点小贵，为了离南站挺远的。叫华理店还差不多，南站店却跟南站没太大关系。', '短评打分': 5}
{'短评内容': '汉庭快捷(上海南站店)体验:首先感觉非常舒服,特别是床的软硬度很适宜,房间挺大的,热水 也很好用,其次就是距离上海南站很近,打车起车就到了。总之,很开心的一次入住体验!', '短评打分': 3}
{'短评内容': '初次入住，感觉环境还行吧，就是离火车站远了点。', '短评打分': 5}
