{'短评内容': '必须自带洗漱用具，否则，你懂的', '短评打分': 3}
{'短评内容': '员工出差定点单位', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '由于当天是去考试的，为了能中午可以休息会，所以收银员给我们延长了半个小时退房，挺好的！', '短评打分': 3}
{'短评内容': '酒店环境一般，168的电脑房没电脑有点亏，其他也没什么', '短评打分': 4}
{'短评内容': '周边环境还是挺安静的，停车也方便。就是里面的设施太老旧！', '短评打分': 4}
{'短评内容': '酒店位置很好找，离地委很近，就是酒店设施比较差，感觉还是偏贵，在安顺来说倒是一般价，那里物价还是较贵啊。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生较差，房间里有许多小强', '短评打分': 3}
{'短评内容': '环境和位置好，价格适当，只是给我们开了一楼房间，有些阴冷，服务员也少', '短评打分': 4}
{'短评内容': '位置好，服务好，环境可以', '短评打分': 5}
{'短评内容': '位置很好，服务也很好', '短评打分': 5}
{'短评内容': '位置不错，环境还可以', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 1}
{'短评内容': '一般般吧', '短评打分': 2}
