{'短评内容': '房间还行，如果这个价格带早餐就更爽了', '短评打分': 4}
{'短评内容': '房间还行，不错。就是这个价格不带早餐', '短评打分': 4}
{'短评内容': '很好很好啊', '短评打分': 5}
{'短评内容': '房间比较宽敞！关键是离家近，带朋友出门方便！', '短评打分': 4}
{'短评内容': '很不错可以可以可以', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '有点老旧了，周边在修路，不方便', '短评打分': 5}
{'短评内容': '看演唱会比较方便的酒店，虽然这么说，但是因为修路等原因，步行到体育馆和体育场也需要二十分钟左右的时间，到地铁站要半个小时左右。房间很大、也挺干净的，但是比较老旧，床又小又硬，热水很大、很暖和，但是喷头是固定在墙上的，很不方便。服务方面，其他员工都挺有礼貌的，前台有个戴眼镜的小哥，入住手续完毕跟他说声谢谢，理都不理我……到是旁边的同事跟他说了一句烤肉，马上眉飞色舞起来。退房的时候又碰到这个小哥，前面', '短评打分': 4}
{'短评内容': '房间霉味太大了', '短评打分': 2}
{'短评内容': '为了看演唱会定的，酒店还不错，楼下停车，吃东西也很方便。服务员态度很好，下次去苏州还会在预定这个地方的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店还不错，早餐也够丰富', '短评打分': 5}
{'短评内容': '酒店位置好，房间风格简约清新，很赞', '短评打分': 5}
{'短评内容': '房间老了一点', '短评打分': 4}
{'短评内容': '很舒适，和想象没有太多区别，很满意，', '短评打分': 5}
{'短评内容': '总体还可以，稍微有点偏', '短评打分': 4}
{'短评内容': '商务出行的好酒店，出行都很方便。', '短评打分': 4}
{'短评内容': '来苏州自驾游两天一夜，行程计划中午吃多多旺茶餐厅，然后去苏州乐园玩，主要是亲子游，乐园结束之后直接入住酒店，开车10分钟，非常方便，住宿的房间很大，敞亮，女儿很喜欢，下次还会来。', '短评打分': 5}
{'短评内容': '价格方面太贵，房间一般，空间很大', '短评打分': 4}
{'短评内容': '一如既往的舒适干净，服务很好，下次继续入住！', '短评打分': 5}
{'短评内容': '早餐虽然变化不大，选择还算比较多。房间卫生还可以', '短评打分': 5}
{'短评内容': '多次入住了，离客户公司比较近，打车还算方便，还会继续去住的', '短评打分': 5}
{'短评内容': '酒店环境挺好，吃饭出行都很方便，原来订的是大床房免费升级到景观大床房，有一个露台，夜里吹着风和老公喝着啤酒很惬意。', '短评打分': 5}
{'短评内容': '离客户公司比较近，早饭很不错，就是打车不是很方便', '短评打分': 5}
{'短评内容': '确实很不错，干净，清爽，我去的时候，还免费给升级成豪华标间', '短评打分': 5}
{'短评内容': '酒店周围环境很好，吃饭也比较方便，赞一个', '短评打分': 3}
{'短评内容': '房间硬件设施较好，面积也较大，房间里有个大露天平台，整体感觉非常不错。唯一就是前台的服务一般，说话很生硬，面无表情，问什么都是“这个很难说”，再提升一下服务水平就更好了。', '短评打分': 5}
{'短评内容': '装修风格不错，房间很大，不过房间隔音不太好，说话声音大点会有点回音，房间配套物品齐全，连导游图都有，可惜床很硬，起床后觉得腰酸背痛，晚上被子盖住肩膀觉得热，十几度这个被子厚了，肩膀露出来睡，早上肩吹的有点痛，刚入住的时候，发现马桶里有人大号后没有清洁，除了向前台的员工反映此事时听到员工说对不起，但打电话给客房服务时，男服务员没有说对不起，只是说不清楚此事，很明显酒店查房做的很不好，在服务细节上饭店', '短评打分': 5}
{'短评内容': '交通大动脉京杭大运河近在咫尺，枕河而居、可以品茗赏景的大露台都增加了酒店的附加值。下次还会住。', '短评打分': 5}
{'短评内容': '酒店服务真不咋滴！酒店服务真不咋滴！酒店服务真不咋滴！酒店服务真不咋滴！酒店服务真不咋滴！酒店服务真不咋滴！', '短评打分': 5}
{'短评内容': '说真的，酒店服务真一般。打扫房间一点也不仔细。还有人查房间打扫过否。你以为这是学生宿舍啊。打扫完卫生还要查房。怎么查我不管，这是你们酒店的管理问题，但是请不要影响到客人的休息。', '短评打分': 5}
{'短评内容': '酒店还不错，就是服务还需要改进！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店很好，就是住的日本人多了点，空调的效果不好，声音还很大', '短评打分': 3}
{'短评内容': '还蛮实惠的 空间很大 就是服务再好点就行了', '短评打分': 5}
{'短评内容': '在苏州新区同等条件当中运河花园酒店价廉物美，各个方面都值得推荐。', '短评打分': 5}
{'短评内容': '环境不错，值得推荐,特别是全自动的马桶，印象深刻，哈哈哈', '短评打分': 5}
{'短评内容': '不错。。。房间挺干净的。出行方便。到苏州乐园很近，离淮海街的日本料理也很近', '短评打分': 5}
{'短评内容': '就在永利广场内，楼下娱乐吃饭休闲都很多选择，高低价位都可以找到。不过附近无大型购物中心，最近的一个日系百货商店，开车要10到15分钟才能到。房间不错，长条形的房间适合家庭入住，区域分开，价格合理', '短评打分': 5}
{'短评内容': '商务酒店，房间大一些，只供应早餐，不方便。性价比不好', '短评打分': 1}
{'短评内容': '酒店不错，设施较好，不过早餐很一般！', '短评打分': 3}
{'短评内容': '酒店环境很好，就是不含早餐，有些小失望。周边配套完善。', '短评打分': 5}
{'短评内容': '酒店环境很好，装修很清新；入住后儿子（5岁)打客房服务电话，要儿童小拖鞋，酒店没有，请酒店以后采购小拖鞋......周边吃饭也很方便，去苏州乐园很方便。', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高，早餐一般，环境好', '短评打分': 3}
{'短评内容': ' 非常好的酒店 设施新 但价格不贵', '短评打分': 3}
{'短评内容': '位置很好,酒店环境很好!\n\n餐厅服务人员不错!\n\n酒店管理没跟上,还有前台服务不好', '短评打分': 5}
{'短评内容': '非常不错，我定的是双标，还有一个大阳台可以看见运河，室内的环境也很舒适，周围环境很清幽，感觉很喜欢。下次有机会再来!', '短评打分': 5}
{'短评内容': '已经定了很多次，一如既往地好！以后还会推荐的！', '短评打分': 5}
{'短评内容': '价位还算合理。可以达到4星级酒店的管理水平。其他观点如下', '短评打分': 5}
{'短评内容': '基本于价位相符。比较安静。\n几点建议：1加强check in 时的人手，特别是高峰时段。2.装修还算可以，不过只能粗看，不能细看。3有独立卫浴系统，特别是自动马桶，很不错。可是另外摆设的性用品似乎显得很俗套。', '短评打分': 5}
{'短评内容': '非常不错，我定的是双标，还有一个大阳台可以看见运河，室内的环境也很舒适，周围环境很清幽，感觉很喜欢。下次有机会再来!', '短评打分': 5}
{'短评内容': '位置一般，运河边上，服务一般，毫无亮点\n早饭一般，都不记得吃了什么\n\n\n', '短评打分': 1}
{'短评内容': '卫生还不错,早餐也很好.周边环境也好,服务也还好', '短评打分': 5}
{'短评内容': '酒店很好，性价比高，唯一的缺点是洗手间的隔音不好', '短评打分': 3}
{'短评内容': '设施还算可以，交通相对也算方便，不过服务很差，偶房间上午马桶渗水，客房服务知道我们当天中午退房，就很不乐意过来打扫，总台也是，要个发票慢的要死来', '短评打分': 1}
{'短评内容': '本次十一假期感觉最好的酒店，房间很大也很新，还有浴缸，玩了一天回酒店泡个澡很舒服！可以从房间直接看到运河和广场，早上起来到运河边逛逛人很少，很惬意，比去景点看人强得多！推荐入住！位置离老城区有点远，但我们是自驾车很方便。', '短评打分': 5}
{'短评内容': '非常具有性价比的酒店，环境好，房间舒适，配置全。', '短评打分': 5}
{'短评内容': '房间很干净，还有个露台，很满意！', '短评打分': 3}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '帮别人预订的，感觉环境蛮好的，地理位置不错，房间蛮大的！', '短评打分': 5}
{'短评内容': '酒店很好，性价比较高，唯一的问题是在新区，有点不方便', '短评打分': 3}
{'短评内容': '房间里应该放上纸巾。', '短评打分': 3}
{'短评内容': '很不错的酒店，值得入住，交通稍有不便', '短评打分': 3}
{'短评内容': '酒店非常好！这所酒店设施新，环境优美，软件服务没的说，最主要的还是硬件设施一流品味，值得赞！酒店的早餐有日式风味。下次还要带更多的人来这里入住。', '短评打分': 5}
{'短评内容': '酒店不错，唯一缺点就是空调声音大了点！不过下次还会住的！', '短评打分': 5}
{'短评内容': '装修的格调让人觉得温馨，空间大，虽处运河旁，但安静，推荐', '短评打分': 5}
{'短评内容': 'as usually nice hotel. ', '短评打分': 5}
{'短评内容': '该酒店不错，就是不含早餐，性价比有些低了', '短评打分': 5}
{'短评内容': '感觉非常差，服务不是一般的差。\n晚上九点多入住，房间一股怪味，饭后回来打开电脑收发邮件，发现网络没信号，工程部人修了十来分钟，结论是无法修好，电话至前台，尊贵的前台小姐答复是要我们去大厅或者商务中心上网。再三告诉她是工作邮件，重要且耗时，答应给换房间，更大的悲剧开始了。。。所换房间窗户大开，一只大蛾子飞来飞去，打开台灯，不到十分钟，消灭了不下十只蚊子，一晚上多次起来和蚊子作斗争。。。下面就是一大排', '短评打分': 1}
