{'descr': '这个酒店还可以吧，总体感觉还行，不如其他几家', 'star': 5}
{'descr': '態度很好,乾淨,,不錯的店,值得大家前去 ps:刮鬍刀前台可免費索取                 ', 'star': 5}
{'descr': '还不错，装修较新', 'star': 3}
{'descr': '很好，房间很大，酒店的布置也很温馨；交通方便，离小吃街近', 'star': 5}
{'descr': ' 环境和地点都很好 房间很大很干净 出门就是中山路逛街也方便 下次来还会再住 ', 'star': 3}
{'descr': '挺好的！环境也不错，在市区，交通什么的都很方便！', 'star': 5}
{'descr': '房间很新 也大 环境什么都蛮好的 有锦江之星的风格', 'star': 5}
{'descr': '锦江之星么就是这样，什么都比较中规中矩，还不错。', 'star': 5}
{'descr': '还不错，空间足够，安静，交通便利，该有的都有', 'star': 5}
{'descr': '实物跟照片一致，很不错！\n开车的需要早去，门口停车位不是太大', 'star': 5}
{'descr': '很干净舒适~~推荐  性价比很高 服务很周到   地区优势', 'star': 5}
{'descr': '还不错啦，环境设施什么的都还挺好的，就是卫生间洗澡的地方不是太亮', 'star': 5}
{'descr': '酒店不错，新开业的！房间大，干净，交通也方便', 'star': 5}
{'descr': '酒店还不错，房间挺大的，位置不错，就是洗澡水有点凉', 'star': 5}
