{'短评内容': '服务态度差，房间不按订的房间住', '短评打分': 2}
{'短评内容': '位置离景区南大门很远！生活配套设施不是很好！国庆期间客栈价格很贵！建议错开高峰期旅游！老板娘人不错！就是客栈住的环境一般般，卫生还有待提高。', '短评打分': 4}
{'短评内容': '提供房间与所定房型不符，不能加床，节假就是要什么都将就，不然就是自己给自己添堵，菜贵那不用说了', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 4}
{'短评内容': '老板娘人很好，临时有事先走了，下次还来', '短评打分': 5}
{'短评内容': '老板娘人很好 还来接我们 客栈住满了 安排在旁边翡翠别墅 房间也很不错 店长小月月也很可爱 哈哈 走到翡翠谷5分钟 很美的山谷 对了 老板娘烧的一手好菜 臭鳜鱼和石耳豆腐都不错', '短评打分': 5}
{'短评内容': '美女老板很热心，服务很好，人也好，贴心哦…出行都有接送，真的很好，下次来玩还会光顾，虽然下着雨，天气不给力，但是确实是愉快的一次旅行', '短评打分': 5}
{'短评内容': '首先说大环境，位置不错，位于翡翠谷景区附近，空气好，安静。其次，价格实惠，停车方便，还是免费的，这一点非常不错，黄山脚下随便一晚上停车收费就达50。最后，老板娘人不错，以前是做导游费，她家的饭菜也挺可口。总之，如果去黄山旅游，建议将这里当成一个后勤保障基地。', '短评打分': 5}
{'短评内容': '十一假期去黄山，住了这家，贵了点，4号360一晚，5号240一晚，环境还不错，挺干净的，离翡翠谷特别近去玩很方便，建议饭菜不要在他家吃了，不便宜也不怎么好吃。', '短评打分': 5}
{'短评内容': '国庆价格贵，而且艺龙没有返现，是318不是288。', '短评打分': 3}
{'短评内容': '老板娘人不错', '短评打分': 4}
{'短评内容': '老板娘很热情，能干，去的时候还安排车到汤口镇接我们。', '短评打分': 3}
{'短评内容': '酒店在的位置不错,就在翡翠谷边上,风景不错,是中途歇脚\\游玩翡翠谷的好住处', '短评打分': 5}
{'短评内容': '距离黄山景区有点远，翡翠新村的房子都是一样的！每家只有一个大床房，我们被分配到了其他家，她家菜的味道还是不错的，就是有点小贵。第一天还有车子接送，等到我们要离开的时候就没有了！心里有点不爽！', '短评打分': 3}
{'短评内容': '老板娘是个导游，对黄山的旅游线路非常熟悉，为游客的行程安排做详细的讲解安排。酒店位于翡翠谷景区入口处，不用动车，步行三五分钟就到，周边的环境好美，一幢幢小别墅映衬着周围的清山绿水，好象一幅山水画。上黄山老板免费接送我们到换乘中心，服务很到位。强力推荐', '短评打分': 5}
{'短评内容': '酒店非常干净服务很好。已经入住', '短评打分': 5}
