{'descr': '挺脏的，像出租屋一样', 'star': 2}
{'descr': '不怎么样。', 'star': 3}
{'descr': '不怎么样。', 'star': 3}
{'descr': '感觉像家一样', 'star': 5}
{'descr': '整体很不错', 'star': 5}
{'descr': '干净', 'star': 5}
{'descr': '还是挺满意的', 'star': 5}
{'descr': '很不错 ', 'star': 5}
{'descr': '还可以！', 'star': 4}
{'descr': '很好的酒店', 'star': 5}
{'descr': '环境感觉还行，位置也不错，总体都还可以。', 'star': 4}
{'descr': '位置、价格、环境都还不错，就是空间有点小了。', 'star': 4}
{'descr': '确实不错', 'star': 5}
{'descr': '安排2个相邻的房间，服务员调了3次都没有搞定。有点不满意。同一条街上有个海鲜批发市场真的很棒，釆购一些带回家很好的。', 'star': 5}
{'descr': '不错的地方，离市中心也近，交通方便，值得一住??', 'star': 5}
{'descr': '京东订房很方便，只是相对这个地方房间有点贵！', 'star': 4}
{'descr': '一如既往的舒适 温馨 服务很周到 就是卫生间地漏有点堵 ', 'star': 5}
{'descr': '环境不错，但在这边的价格比到店用会员的价格多了几块钱！', 'star': 5}
{'descr': '酒店一般，设施稍微简陋一点，服务还行。', 'star': 3}
{'descr': '下午2点到店结果前台说只剩最后一间房，隔壁就是KTV，不过还是住下了，发票抬头不能机打只能手写。毕竟是新开的，和原来相隔500米的如家比起来，客房还是不错的。', 'star': 5}
{'descr': '连云港如家价格比南通贵好多啊。不过住习惯了，也不喜欢换了。交通不太方便，前面修路了', 'star': 5}
{'descr': '挺不错的，前台态度特别好～', 'star': 3}
{'descr': '房间较多，标间与马路间有走道隔开，睡的还行，整体良好！', 'star': 5}
{'descr': '酒店位置不错，一楼的房间不理想，住如家最喜欢的是被子', 'star': 3}
{'descr': '经常住的，也没有啥好说的，如家一如既往。。', 'star': 5}
{'descr': '地方有点小\u3000不过蛮温馨的', 'star': 3}
{'descr': '交通很方便，环境很好，也很卫生。。。下次还去', 'star': 5}
{'descr': '酒店还不错，交通方便，就 隔音差的，早餐蛮好。值得推荐。', 'star': 5}
{'descr': '环境不好，房间隔音太差，晚上吵得睡不着', 'star': 3}
{'descr': '老样子，常住如家的都知道。301房的走廊很长，卫生间下水声音很大', 'star': 5}
{'descr': '＋房间很小，除了床，基本没有能站人的地方！', 'star': 3}
{'descr': '舒适，安静，喜欢酒店内的格局，以后还会去', 'star': 5}
{'descr': '环境还不错', 'star': 3}
{'descr': '房间有点小，早餐有点差！', 'star': 3}
{'descr': '如家的装修很温馨，色调很清爽，卫生也不错。住一楼特价房，无窗，但是给安排的有一个小窗，天冷没有开，应该开也不会有什么换气作用吧。早餐是12元一位，东西尚可。', 'star': 5}
{'descr': '就是房间有味道，我感觉味道蛮大的，头晕。。。服务员蛮热情，', 'star': 1}
{'descr': '干净舒适，位置也好。床上用品应该都是纯棉的，很舒服。只是住在一楼隔音效果不是很好。总体评价是下次应该还会在这住。', 'star': 5}
{'descr': '挺不错的', 'star': 3}
{'descr': '总体上不错，希望价格上能够再便宜点。房间也不错。', 'star': 5}
{'descr': '很干净，服务态度也很好，被子很干净，很温馨的颜色，坐车也挺方便的。', 'star': 5}
{'descr': '如家一向的风格，只是因为定的特惠大床房，所以浴室稍微小点', 'star': 5}
{'descr': '我住的房间太吵了，后面就是一家KTV，没法睡，一早有人退房服务员就开始查房，吵死了，隔音太差，下次再不会入住了。', 'star': 1}
{'descr': '雖然没有窗户，但是129的價格還是不錯的。挺溫馨的。', 'star': 5}
{'descr': '房间隔音很不好，外面稍微吵一点就能听到，浴室可以听到隔壁说话的声音。', 'star': 1}
{'descr': '隔音效果太差了！隔音效果太差了！隔音效果太差了！隔音效果太差了！', 'star': 1}
{'descr': '挺好的，说没有窗，前台还是想办法调的有窗的房间，一如既往', 'star': 3}
{'descr': '非常好', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '挺干净的，地方也还好，离步行街不远，隔音也不错', 'star': 5}
{'descr': '第一天本来预定的大床房，结果变成商务大床，我忍。没窗户我忍。早上5.30厨房开始做饭，排风扇巨响，忍无可忍。第二天换到里面去了，好多了，还有窗户，不过大床房很小。感觉如家不如7天', 'star': 5}
{'descr': '第一次入住如家，真的犹如在家的感觉。室内装修雅致，整治、简洁，而不失家的温馨。', 'star': 5}
{'descr': '还不错，各方面都比较新，环境也比较安静，，出去吃饭也方便！', 'star': 5}
{'descr': '挺干净的，就是隔音效果不太好', 'star': 3}
{'descr': '硬件条件都不错，房间也比较安静。有点小贵', 'star': 5}
{'descr': '周末价和平时价是不一样的，这个要注意，房间比较新，大床房的床还蛮大的', 'star': 3}
{'descr': '屋里有味道，卫生条件一般，服务态度还可以，地理位置绝佳。', 'star': 3}
{'descr': '-比较干净', 'star': 5}
{'descr': '相比较海昌北路的如家酒店，这家的卫生相对差一点，不过也还可以', 'star': 5}
{'descr': '房间比较新，位置也还不错，隔音也还可以，还能免费停车', 'star': 5}
{'descr': '卫生间有点太小  尤其是抽水马桶那个地方，太挤........', 'star': 1}
{'descr': '仃车不便，其他还不错。', 'star': 5}
{'descr': '交通很方便，房间很干净，服务也很好，就是房间有点小，如果能大点会更好的。', 'star': 5}
{'descr': '比较幸运，尽管火车晚点3个多小时，凌晨2点多才到酒店，依然保留了房间而且当时定的没有窗户变成了有窗户的。有点遗憾，周五的价格比周四贵，不知道是不是周末的原因，呵呵坐地起价呀。\r\n其他方面一如既往的好', 'star': 5}
{'descr': '和朋友一起出去玩,路过连云港,找个经济型酒店住一天,第二天赶路。也许是如家开到二线城市，酒店新开，一切都很干净。有了干净，才有舒适。如家酒店，象这样的也不多，朋友一家都夸这个酒店好！推荐。', 'star': 5}
{'descr': '硬件和软件条件还不错,就是服务上可能会有些不足.不过综合条件还是挺好的.', 'star': 5}
{'descr': '服务与居住环境均不错，但装修后的气味较重，望能尽早出去室内装修气味。', 'star': 5}
{'descr': '酒店的硬件条件非常好,服务也很到位,各方面条件都挺到位的,整体感觉还不错.', 'star': 5}
{'descr': '价格低，位置好。下次还来住。', 'star': 3}
{'descr': '位置环境都很好，就是在周末突然涨价了，还涨了50元，事先未有通知。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '比较实惠,但周末价比平日价贵了不少.隔音不太好', 'star': 3}
{'descr': '比较实惠!只是周末价比平日价偏高不少.隔音不佳!', 'star': 5}
{'descr': '位置、性价比都不错。就是一楼有的房间没窗户（应当事先向客人声明）。', 'star': 5}
{'descr': '还不错。', 'star': 3}
{'descr': '地处市区，位置很好，离苏欣汽车站大概1公里，很方便。环境还可以，房间挺温馨的。', 'star': 5}
{'descr': '酒店还不错，卫生设施都很好，位置也很不错，价格也很好。', 'star': 5}
{'descr': '不错，下次还会住吧', 'star': 5}
