{'短评内容': '早餐不吃，设备有点旧，没有吹风机', '短评打分': 5}
{'短评内容': '早餐较丰盛', '短评打分': 5}
{'短评内容': '还可以，以前也住过，。老楼房，空间较小，需多方改进提升服务硬件，设施局部不好用，但总体不错，晚上安静休息。', '短评打分': 4}
{'短评内容': '酒店位置好，交通便利，服务也挺好，早餐是自助的，也挺不错的，就是酒店的设施有点旧，卫生间的门是坏的，都关不上', '短评打分': 5}
{'短评内容': '给这次出行带来方便', '短评打分': 5}
{'短评内容': '国营单位，门口大街修路，周围吃饭还可以。', '短评打分': 4}
{'短评内容': '酒店住宿餐饮都不错，就是网络信号太差。', '短评打分': 5}
{'短评内容': '酒店还可以，就是网络信号太差。', '短评打分': 5}
{'短评内容': '酒店太差，上当了', '短评打分': 1}
{'短评内容': '无线网太差，其他还行，服务不错，而且有餐厅并且种类和味道不错，有一个很大的院子，方便停车，就是无线网太差了', '短评打分': 3}
{'短评内容': '房间面积大，冬天空调不给遥控不能用，房间温度相对比较冷，第一次在酒店冻醒了。马路一侧房间早上喇叭声基本持续不断。', '短评打分': 3}
{'短评内容': '环境，设施，交通，服务都较好', '短评打分': 5}
{'短评内容': '不是太好，比较旧，而且不是很卫生', '短评打分': 2}
{'短评内容': '稍微有点陈旧，该装修了！', '短评打分': 3}
{'短评内容': '老式装修，太阳能热水器几乎不能用，连一次性拖鞋都没有，总之性价比不高，不会再去', '短评打分': 3}
{'短评内容': '基本上还不错，太原交通不方便，位置比较偏。老国营酒店，卫生条件一半，普通三星标准。不如住如家等快捷酒店舒服。', '短评打分': 1}
{'短评内容': '设施老旧，服务态度还是很好的，但是房间真的很冷，没有中央空调罢了，还没有空调，老式暖气。一个字，冷！', '短评打分': 1}
{'短评内容': '很不错，很温馨。服务很好，下次来还会住这里。', '短评打分': 5}
{'短评内容': '还不错，位置好，房间很干净。电脑别具一格，与电视融合在一起。', '短评打分': 5}
{'短评内容': '位置可以，房间设备有点旧，其它都很好。', '短评打分': 3}
{'短评内容': '酒店还可以，会议比较多。设施有些陈旧，但价格不贵！', '短评打分': 5}
{'短评内容': '房间还算整洁，就是设施稍微老旧了一些，自助早餐不错。', '短评打分': 5}
{'短评内容': '酒店服务还不错 位置也听便利 设施虽然挺干净就是就是有点老旧和简陋', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '入住酒店', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 3}
{'短评内容': ' 服务态度不错，可惜设施有点差强人意', '短评打分': 3}
{'短评内容': '位置好方便出行,室内条件也不错,硬件和软件条件很达标,综合性价比还是蛮高的.', '短评打分': 5}
{'短评内容': '酒店卫生间太小设施成旧', '短评打分': 5}
{'短评内容': '这家酒店性价比还是蛮高的,而且每次到太原都会选择这家.条件还是挺不错的,整体感觉还可以.', '短评打分': 5}
{'短评内容': '这个酒店总体不错，性价比比较高。我住的是四层，客服的态度不好，要她换一下烧水壶，多拿一卷纸（纸很小的一卷根本不够用）一脸的不耐烦，给脸色看，希望改进一下，太损酒店形象了', '短评打分': 5}
{'短评内容': '性价比还不错.就是设施有些陈旧.服务挺周到的，总体感觉还可以.', '短评打分': 5}
{'短评内容': '酒店的性价比很好，我经常会入住这家酒店，房间的配置舒适度都很达标，价格合理适中，位置出行交通方便，值得推荐入住。', '短评打分': 5}
{'短评内容': '入住非常愉快\r\n下次还会选择', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;位置不方便。房间太小了。外观太旧了。&amp;lt;/P&amp;gt;', '短评打分': 1}
{'短评内容': '破酒店&lt;br /&gt;\n豪华套间小的可怜&lt;br /&gt;\n设施和200多价位的标准根本不符&lt;br /&gt;\n而且地理位置不好&lt;br /&gt;\n交通不便&lt;br /&gt;\n东民和并州不但比这里交通方便&lt;br /&gt;\n而且便宜', '短评打分': 3}
