{'短评内容': '位置好，房间干净舒适，价格也很便宜，服务态度也非常热情，总之非常满意！', '短评打分': 5}
{'短评内容': '房间还不错，服务态度差评，设备设施也差评', '短评打分': 4}
{'短评内容': '特价房没宽带。', '短评打分': 4}
{'短评内容': '酒店装修很老，基本无服务，房间矮压抑', '短评打分': 3}
{'短评内容': '居住环境一般，周边环境一般，服务一般', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这酒店还不错，', '短评打分': 4}
{'短评内容': '房间有霉味，一般般。', '短评打分': 3}
{'短评内容': '环境很一般。', '短评打分': 2}
{'短评内容': '不知为何厕所一直有股尿味，特别臭！！！房间内没热水，没Wi-Fi，好几块地砖都是破的，洗澡的地方有块是空的，直接只是拿块大理石板盖住而已，住得不太舒服', '短评打分': 4}
{'短评内容': '房间隔音不好！房门还开不了。床很软。 不好不好，一点都不好。。。。', '短评打分': 3}
{'短评内容': '房间略小，布局显得拥挤，还不错', '短评打分': 4}
{'短评内容': '吃饭方便，环境一般', '短评打分': 3}
{'短评内容': '下次不会来了，房间味道太重', '短评打分': 3}
{'短评内容': '酒店环境非常好，服务非常到位。也很安静，', '短评打分': 5}
