{'短评内容': '应该干净的吧 ', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '非常好的酒店，很干净也很方便', '短评打分': 5}
{'短评内容': '一般般吧，总体感觉就那样，还赶上电梯坏了，悲剧，哎，房间里也没有免费水，很是头疼，也许本来就没有吧，', '短评打分': 4}
{'短评内容': '位置一般，酒店隔音很差', '短评打分': 4}
{'短评内容': '1111111122', '短评打分': 5}
{'短评内容': '还是可以的，卫生也不错', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '很不错的酒店，离高铁站很近，方便', '短评打分': 5}
{'短评内容': '好的', '短评打分': 4}
{'短评内容': '服务好，价钱合理', '短评打分': 5}
{'短评内容': '不错    ............', '短评打分': 5}
{'短评内容': '无窗,一般，新装修的有点味道', '短评打分': 4}
{'短评内容': '整体性价比还好', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': 'Nice hotel located near airport... Comfortable warm stay... Very economical', '短评打分': 5}
{'短评内容': '酒店房间没有照片好看', '短评打分': 3}
{'短评内容': '感觉非常不错，浴缸很舒服，房间真大~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店装潢很好，特别是浴缸很大，还有按摩装置，整体感觉很舒服。', '短评打分': 5}
{'短评内容': '房间蚊子好多，晚上没法安稳睡觉，房间里也没有电蚊香', '短评打分': 1}
{'短评内容': '价格贵', '短评打分': 3}
{'短评内容': '太美了 太浪漫了 以后还要住 每个类型的都要住', '短评打分': 5}
{'短评内容': '并没有一些人说得那么差~我订的是803套房，不错地说~~', '短评打分': 5}
{'短评内容': '装修很有特色，不过性价比不高，周边的环境比较杂，不适合商旅人士，适合度蜜月的情侣。', '短评打分': 5}
{'短评内容': '网上订的说是无窗房间，但是到房间一看还是有房间的，感觉不错，就是周围大楼周围环境很差', '短评打分': 5}
{'短评内容': '把love hotel的气氛做足了，但是也不必要贴这么多心吧，有点2,\n哈哈，总体来说还是不错的，电影设备也不错', '短评打分': 5}
{'短评内容': '酒店相当次，酒店地理位置不好，服务态度也不好。房间是刚装修过没什么太大问题，价格也很贵和酒店服务一点不符合。', '短评打分': 3}
{'短评内容': '服务员态度都很好 我们住的711房间也很大 特别是卫生间 按摩浴缸还有泡泡浴都很赞！下次还会考虑尝试不同的房型', '短评打分': 5}
{'短评内容': '环境不错安静，舒适度不错的一个爱情酒店，就是位置有一点偏，第一次入住还一下子找不到', '短评打分': 5}
{'短评内容': '這家台灣管理的酒店,真是太丟台灣人的臉了.\r\n房間舒適度沒話說.主要是服務人員的態度.前台工作者服務參差不齊.\r\n態度傲慢,沒有服務之心,為什麼一家品牌的精品酒店,會請這樣的前台.\r\n這是酒店,不是公交車上的阿姨.希望這家酒店老板,能好好訓練及甄選\r\n一下前台素質,還不如打掃的小妹.大鍋飯的年代過了,好像事不關己.', '短评打分': 1}
{'短评内容': 'just soso', '短评打分': 5}
