{'短评内容': '早餐不好，还是传统大头彩电，价格和房间设施不匹配', '短评打分': 4}
{'短评内容': '158元，含双早，订房时没有注意是无窗房，到店询间时服务员能耐心解释，酒店设施比较全，位于汉江江边，江对岸是市区，但我是自驾喜欢在市区边缘落脚，此时正值11月寒潮降温，晚上到早上走，不但没有感觉到无窗房的闷潮，反而感到了无窗房更保暖舒适，门前停车，有看车人员，总之物美价廉，赞！', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '美团的价格居然便宜了60元一间，后悔用携程了，二个房间亏了120元，早餐不好还要收39一位，黑呀！到酒店前台问有其它优惠活动吗？也不告知，真心太黑了。', '短评打分': 1}
{'短评内容': '不错的酒店！', '短评打分': 5}
{'短评内容': '可以，就是', '短评打分': 5}
{'短评内容': '比想象中要好，早餐不错，都挺满意的', '短评打分': 5}
{'短评内容': '酒店服务态度很好！地段位置也很不错，总体来说比较满意，值得再次选择入住！', '短评打分': 5}
{'短评内容': '酒店服务、设施及周边环境都很满意', '短评打分': 5}
{'短评内容': '为专家订的酒店，环境不错，价位合适。', '短评打分': 5}
{'短评内容': '环环境卫生服务态度一班', '短评打分': 4}
{'短评内容': '酒店很好，就是房间有点少。', '短评打分': 5}
{'短评内容': '一般！！！！', '短评打分': 3}
{'短评内容': '安康这个酒店还不错，性价比还好。', '短评打分': 4}
{'短评内容': '酒店设施有些老，但是服务不错！', '短评打分': 4}
{'短评内容': '房间很好', '短评打分': 4}
{'短评内容': '还不错，比想象的要好，性价比高', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是周围非常冷清，酒店餐厅下班后基本上周围没有餐厅，不过打车还比较容易', '短评打分': 4}
{'短评内容': '客房很旧了，这个价格很不值', '短评打分': 3}
{'短评内容': '还行，', '短评打分': 3}
{'短评内容': '取消订单', '短评打分': 3}
{'短评内容': '房间还算大，楼层不高，早餐不错，价格在安康算贵了些，交通方便，整体酒店稍旧。', '短评打分': 5}
