{'短评内容': '环境很好价格合理，出门方便。很愉快的出行。', '短评打分': 5}
{'短评内容': '还行吧，可以住。', '短评打分': 4}
{'短评内容': '不错 挺好的 方便', '短评打分': 5}
{'短评内容': '便宜够用，但是wifi总出问题，一连出了好几次，稍微有点烦，不过这个价格也可以了。', '短评打分': 5}
{'短评内容': '房间有点小，性价比不高', '短评打分': 4}
{'短评内容': '还不错。主要便宜。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '服务很不错', '短评打分': 5}
{'短评内容': '前台服务态度比较好，周边要拆迁被围起来了进出不是很方便，房间有点小，卫生差了点，酒店一次性用品几乎没有提供。总之一百五左右价位将就着可以住，贵了就没必要了！', '短评打分': 3}
{'短评内容': '普通房就一般，有臭味，商务房还可以，隔离做的好，睡觉不会有打扰', '短评打分': 3}
{'短评内容': '环境很好很给力，交通也方便', '短评打分': 5}
{'短评内容': '前台友好，卫生干净，主要离工作地方近', '短评打分': 4}
