{'短评内容': '已经改了', '短评打分': 4}
{'短评内容': '性价比还行。', '短评打分': 4}
{'短评内容': '设备陈旧', '短评打分': 5}
{'短评内容': '价格实在，应该是老牌的三星级的酒店。优点就是位置离地铁站比较近， 周围的环境很安静。 住着比较舒适。', '短评打分': 4}
{'短评内容': '朋友说挺不错的', '短评打分': 5}
{'短评内容': '价格实在，应该是老牌的三星级的酒店。优点就是位置离地铁站比较近， 周围的环境很安静。住着比较舒适。', '短评打分': 4}
{'短评内容': '干净，周边环境很静，空气清新！', '短评打分': 4}
{'短评内容': '房间很大 干净 阳光充足', '短评打分': 5}
{'短评内容': '房间很大 干净 阳光充足', '短评打分': 5}
{'短评内容': '条件太差了 都有蜘蛛', '短评打分': 2}
{'短评内容': '网上说在罗芳中学旁，其实离学校还有比较长的距离，还比较温馨', '短评打分': 4}
{'短评内容': '空调声音比较大', '短评打分': 3}
{'短评内容': '有点远有点旧，离地铁较近还算方便，早餐没有有点遗憾，不过周围吃饭的地方还挺多，一般般了', '短评打分': 5}
{'短评内容': '房间比较宽敞，干净！装修一般，会展期间价格虚高！', '短评打分': 3}
{'短评内容': '我原本是想订离会展中心近点的地方，携程的客服告诉我离会展中心8000米，不晓得是我听错了，还是他们说错了，总之有点远，打车需要20分钟。不过话说，酒店还是三星的标准，地点就在蛇口线的新秀站哪里，周围是居民住宅区居多，晚上挺安静的，里面的卫生情况也不错，价格也算合适，还是值得推荐的。', '短评打分': 5}
{'短评内容': '卫生间下水道味道有点大，其他的都还不错双人间房间很大！', '短评打分': 3}
{'短评内容': '交通还算便利，但床上用品不洁净，空调声音大。', '短评打分': 1}
{'短评内容': '还算清静', '短评打分': 3}
{'短评内容': '乱收费', '短评打分': 3}
{'短评内容': '離火車站近,15.00y便到,價錢可以, 下次再訂,', '短评打分': 5}
{'短评内容': '交通比较方便，价格不贵。在深圳这地方比较适合大众了。', '短评打分': 5}
{'短评内容': '性价比低，我1点钟回房间既然莫名其妙进不了房间，到前台问怎么回事也没说什么，就说了一句可以了。。。', '短评打分': 1}
{'短评内容': '酒店还行吧，相对比较干净，但是位置比较偏僻，要等地铁开通了交通状况才好点。', '短评打分': 5}
{'短评内容': '交通比较方便，房间里面的设施还可以，服务比较好', '短评打分': 5}
{'短评内容': '酒店很舒适，交通方便，推荐。', '短评打分': 3}
{'短评内容': '主要是离公司比较近，帮新同事定的，干净卫生，比较满意', '短评打分': 5}
{'短评内容': '住这个酒店就冲着酒店有餐厅去的（出差时间紧，能在酒店吃饭最好），结果让人出乎意料啊：所谓的“送餐”服务就是前台给一张外面快餐店的外卖电话给你；中震酒楼和温馨酒店毫无关系。\n好吧，吃饭我可以到外面找地方，可是酒店本身的设施该完善一点吧？我住的是标间单人间，只有一床被子，晚上睡冷得要命（空调没制热），我是把被子对折，勉强能盖住一个人，这才暖和些；网络经常断线，我下午6点半回来发邮件，愣是到了8点钟还没', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '价格贵了点，房间也不够大。。。。。。。。', '短评打分': 1}
{'短评内容': '价格适中，环境卫生还行，就是房间空调制冷效果差了点', '短评打分': 5}
{'短评内容': '酒店很好，价格公道，服务热情，房间干净整齐，住的很满意。', '短评打分': 5}
{'短评内容': '环境很安静，房间里很干净，设施完善，价格合理，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店住的很舒适，设施齐全，每个房间都电脑，吹风机，感觉很方便。', '短评打分': 5}
{'短评内容': '酒店很有特色，布置的很温馨，设施很好，该有都有。价格也挺实惠的，感觉很舒适。', '短评打分': 5}
{'短评内容': '经济型酒店，挺温馨的。', '短评打分': 5}
{'短评内容': '地方偏了点！！其它的还可以', '短评打分': 1}
{'短评内容': '性价比高&#183;&#183;房间相对于同等价格的酒店&#183;&#183;大很多&#183;&#183;', '短评打分': 5}
{'短评内容': '已经住过两次了，挺喜欢这家店，床单啦、被子啦、卫生间啦每次住之前都很干净，我很放心。', '短评打分': 5}
{'短评内容': '客房很宽敞，整理的很干净，床上用品也很舒服，没有异味，感觉不错!', '短评打分': 5}
{'短评内容': '服务员很懂礼貌，态度很好，感觉挺有素质的。', '短评打分': 5}
{'短评内容': '这家酒店就像它的名字一样，给人的感觉很温馨，很舒适。', '短评打分': 5}
{'短评内容': '房间的基本设施齐全，空调、电视的效果还不错啦，价格也不贵。', '短评打分': 5}
