{'短评内容': '酒店位置挺好，基本没有回头路', '短评打分': 4}
{'短评内容': '在山上风景秀丽，虽然山上最好的，可是比不下山下的好酒店.可住在酒店可以看到一片好景，就是房间暖活一点就好了……', '短评打分': 4}
{'短评内容': '价格过高，标间每晚586元，设施不好，及其简陋，连二星都不如，没有空调，冬天很冷。关键是服务极差，房间七扭八拐的也没人指路，早上7:30退房时，前台居然没人，问了几个工作人员都置之不理，只是说没到点上班，从未见过酒店前台不是24小时值岗的。', '短评打分': 3}
{'短评内容': '热水限时供应，洗澡很冷，要开空调另外加钱，五星级的价格，招待所的条件！！建议带好干粮，山上东西都不便宜！', '短评打分': 3}
{'短评内容': '山上的酒店能这样就不错了，关键是位置好，晚上有热水。', '短评打分': 5}
{'短评内容': '服务不错，第二天早上就确认好了', '短评打分': 5}
{'短评内容': '好评，家里买的食用油、日用品、纸、洗涤用品等都是在京东自营买的，实惠、方便、快捷。第1次在京东上订酒店，体验良好', '短评打分': 5}
{'短评内容': '住宿条件一般，服务态度一般，餐厅价格贵，不过量多，味道不错，住宿点餐送鸡汤。', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店房间设施在山上来说应该很不错了，现在预定还有餐券送，总的来说很不错的', '短评打分': 5}
{'短评内容': '首先三清山风景绝对是很棒的，房间位置也很好，正面大山。但是房间里卫生一般，樟脑丸的味道太刺鼻。早餐是每人一个馒头，一个肉包，一碟小菜再加不限量的白米粥。酒店下的食堂，炒菜虽然贵，但是分量足，加上都是江西口味，最后全部扫盘子！爬山累了值得去吃。', '短评打分': 4}
{'短评内容': '山上条件很一般，没有空调。热水只供应2小时。早上都没热水。', '短评打分': 3}
{'短评内容': '下次来三清山也要住这里，位置好，很喜欢向阳的平台.', '短评打分': 5}
{'短评内容': '整个景区位置最好的住宿地，两个环线游的起始连接交汇点，堪称游三清住宿山上的不二选择       ', '短评打分': 5}
{'短评内容': '酒店位置很好，到景区都很方便，服务很热情，有电热毯。总的来说不错       ', '短评打分': 5}
{'短评内容': '酒店很好！', '短评打分': 5}
{'短评内容': '天气太冷了，还好有电热毯，19:00-21:00有热水。', '短评打分': 3}
{'短评内容': '没有热空调', '短评打分': 4}
{'短评内容': '住在左边的房间超赞，走廊有小石桌可以喝茶看星星', '短评打分': 5}
{'短评内容': '因为是无窗房，有些潮，卫生也不是很理想。', '短评打分': 5}
