{'短评内容': '一般，有味道', '短评打分': 2}
{'短评内容': '还算可以吧', '短评打分': 4}
{'短评内容': '刚看评论不太好，纠结了很久也没订，后来考虑到离办事的地点近，就将久先订两晚。结果到酒店后看了房间很不错，酒店老板也很热情，我们买了杨梅还专门借给我们一个盆洗，还送了盐让我们泡了杨梅吃。被子床单很干净，我订房的时候没有有窗的户间了，结果到酒店后换了个有窗的，加了40元，后来我将后面6晚的房费全续了。这个酒店性价比还比较高，只是奇怪我在酒店直接订价格比网上还便宜。', '短评打分': 5}
{'短评内容': '房间很小，价钱很贵，性价比很差', '短评打分': 1}
{'短评内容': '很方便 出入公交 打车和自行车都很方便，卫生及其设施，怎么说呢，就这个价位的话 还是相对应的了 ，热水是24小时 暖和的', '短评打分': 5}
{'短评内容': '太差了', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 2}
{'短评内容': '还好', '短评打分': 2}
{'短评内容': '还可以吧', '短评打分': 2}
{'短评内容': '挺好挺实惠的价格，住在三楼无窗，还行', '短评打分': 5}
{'短评内容': '还行，一分钱一份价格。', '短评打分': 1}
{'短评内容': '客人说还不错', '短评打分': 4}
{'短评内容': '房间好差', '短评打分': 1}
{'短评内容': '被子稍微有点潮湿，其他都还好', '短评打分': 4}
{'短评内容': '有窗的房间，房间有点小，感觉空调不是很给力，觉得热。还有那排风扇整晚都在运作，吵。', '短评打分': 5}
{'短评内容': '无窗在房间，房间有些异味，总得来说还是不错的', '短评打分': 5}
{'短评内容': '还行，就是空调风机声音有点大，大概是楼上的还是隔壁的。总体，还行吧！', '短评打分': 3}
{'短评内容': '第一次去，感觉不好。是因为走道里有人说话都听得见，床也硬。第二次去，感觉好多了。我觉得服务还可以再提高，比如多问一句，是不是开车来的，需不需要停车票，这样就不会出来的时候被收停车费了，钱是不多，但少了一份关心客人的感觉。', '短评打分': 5}
{'短评内容': '隔音不好，床睡上去可以感觉到钢丝，说明质量不好。', '短评打分': 1}
{'短评内容': '很干净，洗澡空调都很棒，就是周围吃饭的地方少了那么点，毕竟开发区嘛~', '短评打分': 3}
{'短评内容': '房间很干净。客服很亲切，唯一的不足是房间的隔音效果不是非常好，但是总体是物廉价美的。', '短评打分': 5}
{'短评内容': '酒店不错，内部比较干净，老板服务也很好，只是隔音效果差点', '短评打分': 5}
{'短评内容': '一斑斑，   没窗子，   空气差了点，也不便宜', '短评打分': 1}
{'短评内容': '还挺满意的，房间不大，但还算整洁，壁挂的液晶电视，有机顶盒，宽带网速也还行，虽然靠街，关窗后也不会太吵，总之对得起这个价了', '短评打分': 3}
{'短评内容': '房间内不够干净,所以原订三天的取消。另外再找', '短评打分': 3}
{'短评内容': '滨江区宾馆少，这家宾馆物美价廉。周围公交有195路！', '短评打分': 5}
{'短评内容': '干净清爽', '短评打分': 3}
